年,四半期,全体（後方四半期移動平均）（％）,製造業（後方四半期移動平均）（％）,卸売業（後方四半期移動平均）（％）,小売業（後方四半期移動平均）（％）,サービス業（後方四半期移動平均）（％）
2008,Ⅰ,20.8,25.6,17.2,12.4,25.4
2008,Ⅱ,20.2,24.5,17.6,12.2,23.9
2008,Ⅲ,19.4,23.5,16.7,11.7,23.1
2008,Ⅳ,18.7,22.7,15.6,10.7,23
2009,Ⅰ,17.5,20.8,14.7,10.4,21.5
2009,Ⅱ,16.6,19.4,14,10.3,20.8
2009,Ⅲ,16,17.4,14,10.7,20.3
2009,Ⅳ,15.1,15.5,14.1,10.2,19.5
2010,Ⅰ,15.5,16.8,14,10.1,19.9
2010,Ⅱ,15.4,16.5,13.5,10.3,20.1
2010,Ⅲ,15.5,16.7,13,10.1,20.6
2010,Ⅳ,16,17.7,12,11.5,21.5
2011,Ⅰ,15.9,17.2,12.4,11.8,21
2011,Ⅱ,15.6,17.3,12.8,11.2,20
2011,Ⅲ,15.7,18.1,12.7,10.6,20
2011,Ⅳ,16,18.6,13.7,10.4,19.3
2012,Ⅰ,16,19,13.3,10.6,19.1
2012,Ⅱ,16.5,20.1,13.3,11.1,19.7
2012,Ⅲ,16.9,21.1,14.7,11.8,18.2
2012,Ⅳ,17.7,22.7,14.9,12.5,18.9
2013,Ⅰ,18.1,22.9,14.9,12.9,19.9
2013,Ⅱ,18.4,22.5,14.6,13.6,21
2013,Ⅲ,18.3,21.8,13.1,13.8,22.8
2013,Ⅳ,17.9,20.5,12.4,13.8,23.6
2014,Ⅰ,18.9,20.9,13.2,14.6,25.3
2014,Ⅱ,19,20.2,13.8,14.8,25.8
2014,Ⅲ,19.4,20.5,15,15.7,25.5
2014,Ⅳ,19.4,21.5,14.9,14.5,25.5
2015,Ⅰ,19.2,22,15.1,13.7,24.3
2015,Ⅱ,19.4,23.7,15.5,12.8,23.6
2015,Ⅲ,19,23.7,14.9,11.5,23.6
2015,Ⅳ,18.9,24,15.6,11.4,22.3
2016,Ⅰ,18.2,23.1,15.3,11,21.5
2016,Ⅱ,17.7,22,14.5,10.9,21.5
2016,Ⅲ,17.8,22.3,15.4,10.4,20.7
2016,Ⅳ,18.5,22.7,16.3,11.5,21.1
2017,Ⅰ,18.7,22.9,16.5,11.1,21.8
2017,Ⅱ,19.6,23.4,17.5,11.2,23.5
2017,Ⅲ,19.8,22.5,17.5,11.6,25.3
2017,Ⅳ,19.9,22.1,18,11.1,25.9
2018,Ⅰ,20.5,23.1,18.8,11.1,26.3
2018,Ⅱ,20.2,23.6,18.8,11.9,24.5
2018,Ⅲ,20.3,24,18.1,13.6,23.6
2018,Ⅳ,20.5,24.9,17.9,13.5,23.9
2019,Ⅰ,20.3,24.7,17.9,13.9,23.1
2019,Ⅱ,20.4,24.6,18.1,13.9,23.6
2019,Ⅲ,20.7,24.9,18.5,14,24
2019,Ⅳ,20.2,23.9,17.5,14.3,23.9
