項目,2012年,2014年,2016年
東京都事業所数（所）,"627,357","653,819","621,671"
東京都対前回比（％）,-8.4,4.2,-4.9
全　国事業所数（所） ,"5,453,635","5,541,634","5,340,783"
全　国対前回比（％）,-7.3,1.6,-3.6
事業所数の全国比（％） ,11.5,11.8,11.6
