年齢別人口　令和元年６月１日現在,,,,
年齢,男,女,合計,
0,465,412,877,
1,534,492,"1,026",
2,555,539,"1,094",
3,542,538,"1,080",
4,577,600,"1,177",
5,602,600,"1,202",
6,587,567,"1,154",
7,605,560,"1,165",
8,612,609,"1,221",
9,618,624,"1,242",
小計,"5,697","5,541","11,238",
10,685,621,"1,306",
11,622,613,"1,235",
12,640,621,"1,261",
13,616,562,"1,178",
14,608,557,"1,165",
15,633,634,"1,267",
16,630,590,"1,220",
17,638,597,"1,235",
18,701,660,"1,361",
19,704,668,"1,372",
小計,"6,477","6,123","12,600",
20,741,719,"1,460",
21,822,770,"1,592",
22,831,844,"1,675",
23,819,773,"1,592",
24,813,779,"1,592",
25,754,711,"1,465",
26,715,706,"1,421",
27,679,638,"1,317",
28,690,634,"1,324",
29,680,622,"1,302",
小計,"7,544","7,196","14,740",
30,704,705,"1,409",
31,750,684,"1,434",
32,824,747,"1,571",
33,811,799,"1,610",
34,879,850,"1,729",
35,952,881,"1,833",
36,910,955,"1,865",
37,959,920,"1,879",
38,"1,037",932,"1,969",
39,"1,046",930,"1,976",
小計,"8,872","8,403","17,275",
40,"1,099",990,"2,089",
41,"1,153","1,086","2,239",
42,"1,181","1,069","2,250",
43,"1,134","1,118","2,252",
44,"1,264","1,225","2,489",
45,"1,261","1,218","2,479",
46,"1,244","1,242","2,486",
47,"1,374","1,270","2,644",
48,"1,198","1,171","2,369",
49,"1,201","1,158","2,359",
小計,"12,109","11,547","23,656",
50,"1,239","1,162","2,401",
51,"1,173","1,087","2,260",
52,"1,085",953,"2,038",
53,978,962,"1,940",
54,"1,039","1,028","2,067",
55,981,912,"1,893",
56,916,910,"1,826",
57,882,846,"1,728",
58,806,805,"1,611",
59,785,807,"1,592",
小計,"9,884","9,472","19,356",
60,766,839,"1,605",
61,760,838,"1,598",
62,748,832,"1,580",
63,759,858,"1,617",
64,773,948,"1,721",
65,811,938,"1,749",
66,863,"1,054","1,917",
67,963,"1,069","2,032",
68,"1,006","1,198","2,204",
69,"1,092","1,329","2,421",
小計,"8,541","9,903","18,444",
70,"1,264","1,415","2,679",
71,"1,302","1,538","2,840",
72,"1,056","1,182","2,238",
73,696,818,"1,514",
74,850,961,"1,811",
75,951,"1,269","2,220",
76,910,"1,060","1,970",
77,922,"1,025","1,947",
78,781,991,"1,772",
79,706,837,"1,543",
小計,"9,438","11,096","20,534",
80,564,721,"1,285",
81,620,723,"1,343",
82,559,668,"1,227",
83,488,703,"1,191",
84,428,520,948,
85,379,488,867,
86,331,482,813,
87,250,429,679,
88,218,366,584,
89,158,293,451,
小計,"3,995","5,393","9,388",
90,139,263,402,
91,84,243,327,
92,68,189,257,
93,57,153,210,
94,41,142,183,
95,28,94,122,
96,18,69,87,
97,8,57,65,
98,9,48,57,
99,5,24,29,
小計,457,"1,282","1,739",
100以上,5,48,53,
合計,"73,019","76,004","149,023",
,,,,
