年齢,関戸１丁目,,関戸２丁目,,関戸３丁目,,関戸４丁目,,関戸５丁目,,関戸６丁目,,連光寺１丁目,,連光寺２丁目,,連光寺３丁目,,連光寺４丁目,,連光寺５丁目,,連光寺６丁目,,貝取,,乞田,,和田,,百草,,落川,,東寺方,,東寺方１丁目,,一ノ宮１丁目,,一ノ宮２丁目,,一ノ宮３丁目,,一ノ宮４丁目,,桜ヶ丘１丁目,,桜ヶ丘２丁目,,桜ヶ丘３丁目,,桜ヶ丘４丁目,,和田（百草団地）,,聖ヶ丘１丁目,,聖ヶ丘２丁目,,聖ヶ丘３丁目,,聖ヶ丘４丁目,,聖ヶ丘５丁目,,馬引沢１丁目,,馬引沢２丁目,,山王下１丁目,,中沢１丁目,,中沢２丁目,,唐木田１丁目,,諏訪１丁目,,諏訪２丁目,,諏訪３丁目,,諏訪４丁目,,諏訪５丁目,,永山１丁目,,永山２丁目,,永山３丁目,,永山４丁目,,永山５丁目,,永山６丁目,,永山７丁目,,貝取１丁目,,貝取２丁目,,貝取３丁目,,貝取４丁目,,貝取５丁目,,豊ヶ丘１丁目,,豊ヶ丘２丁目,,豊ヶ丘３丁目,,豊ヶ丘４丁目,,豊ヶ丘５丁目,,豊ヶ丘６丁目,,落合１丁目,,落合２丁目,,落合３丁目,,落合４丁目,,落合５丁目,,落合６丁目,,鶴牧１丁目,,鶴牧２丁目,,鶴牧３丁目,,鶴牧４丁目,,鶴牧５丁目,,鶴牧６丁目,,南野１、２丁目,,南野３丁目,,東寺方３丁目,,和田３丁目,,愛宕１丁目,,愛宕２丁目,,愛宕３丁目,,愛宕４丁目,,合計,,
,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,計
0,2,1,10,10,5,2,1,10,5,12,4,3,6,9,5,2,6,11,2,0,1,1,1,1,6,4,13,11,30,23,3,4,6,7,7,5,4,6,9,5,12,2,3,5,6,4,6,1,0,4,3,0,6,1,5,0,4,4,5,2,5,4,1,1,1,0,10,6,11,14,1,1,1,3,2,4,10,8,17,10,17,12,4,3,7,4,0,0,3,4,16,12,13,13,5,10,5,8,3,4,0,0,8,3,5,3,1,1,1,3,2,0,15,10,3,7,0,6,0,0,0,1,5,5,16,11,11,8,11,2,1,2,0,0,3,2,10,15,6,7,22,18,0,1,3,6,6,5,7,5,3,2,0,0,0,0,0,0,1,1,1,0,4,9,453,404,857
1,1,4,9,9,3,4,10,7,7,8,3,3,11,7,9,7,5,5,3,0,0,0,2,3,6,9,13,8,37,38,3,2,8,6,9,9,8,10,2,4,7,8,5,4,15,7,5,5,5,1,5,3,3,1,0,1,5,8,1,1,3,3,1,6,0,0,8,16,11,22,0,1,8,9,7,7,7,10,14,15,24,20,6,2,7,5,0,0,3,3,24,10,11,10,4,8,5,4,2,8,0,0,6,3,4,7,0,0,0,1,1,0,18,14,8,6,2,0,4,1,3,1,2,3,16,14,9,4,8,5,5,5,5,6,6,1,17,15,7,4,34,24,1,1,4,7,7,4,3,4,4,4,0,0,3,2,1,2,2,1,1,0,7,8,533,488,"1,021"
2,4,2,14,9,6,6,5,8,7,7,4,4,8,7,7,6,9,7,2,1,1,1,2,4,8,6,14,6,34,44,0,3,4,9,10,9,7,12,8,5,2,8,2,1,7,10,8,8,4,6,9,5,1,3,3,1,12,6,6,3,7,7,0,0,0,0,16,18,9,12,0,1,4,3,9,8,5,13,8,14,27,21,5,2,9,7,1,0,2,6,12,11,10,14,7,12,3,6,2,2,0,0,4,11,7,2,3,3,2,2,1,1,19,10,6,3,2,3,1,1,2,3,6,0,24,22,15,17,11,11,4,4,5,3,8,6,27,18,10,6,24,30,1,1,10,3,4,3,3,4,0,2,0,1,2,0,1,0,3,2,2,1,6,2,557,539,"1,096"
3,2,4,12,10,3,3,3,6,4,9,3,2,9,13,9,7,7,4,2,1,2,0,2,4,4,3,12,11,42,34,5,6,6,3,11,9,5,8,3,4,6,4,4,3,8,6,7,8,3,2,5,1,5,5,3,0,6,5,2,6,8,8,4,3,1,2,12,13,12,18,1,0,5,4,6,7,10,7,16,17,37,39,4,6,6,7,0,1,3,5,19,12,11,12,4,3,6,6,1,6,0,0,6,4,3,8,1,0,3,3,1,2,13,16,5,6,1,1,3,4,3,0,2,3,22,14,14,16,10,3,2,3,3,4,3,5,18,21,8,8,21,28,2,3,9,4,10,5,2,4,2,2,0,0,1,2,1,0,3,1,1,1,6,3,540,531,"1,071"
4,3,2,13,6,6,5,13,6,5,5,5,6,15,13,13,4,4,6,1,1,2,1,2,1,8,8,13,9,44,41,3,1,10,7,14,10,2,10,6,5,6,6,3,9,10,13,4,7,5,2,8,4,3,3,0,2,6,9,1,9,9,8,8,5,1,1,12,8,12,15,1,1,4,8,7,9,5,12,12,13,29,41,3,3,3,5,0,0,3,3,16,17,11,8,8,3,5,8,3,4,0,0,7,7,6,9,2,8,2,0,3,1,16,12,7,5,0,4,1,1,3,2,2,4,18,26,25,15,9,9,4,7,7,5,6,6,17,17,5,3,32,35,1,2,5,8,4,7,5,4,2,4,0,1,0,0,3,1,1,1,1,0,11,5,585,592,"1,177"
5,5,1,7,6,3,5,6,9,4,10,5,5,31,13,11,11,10,6,2,1,0,2,0,3,7,5,6,16,57,52,7,4,5,5,8,10,5,5,7,4,2,4,4,2,5,11,4,4,6,3,3,3,3,1,1,2,8,6,6,5,9,7,0,5,1,1,16,12,15,16,0,0,5,5,9,8,7,14,7,15,30,32,1,5,6,6,1,0,2,7,12,14,8,17,7,7,5,9,7,7,0,0,10,5,9,6,1,3,2,4,2,1,14,12,7,4,2,3,2,2,3,2,3,2,17,19,30,28,10,11,5,2,1,4,9,6,13,20,3,10,23,23,2,3,7,7,7,7,5,9,5,3,0,0,4,2,0,2,3,1,2,1,5,4,582,607,"1,189"
6,5,0,11,8,2,5,4,8,4,5,2,1,27,20,11,8,7,5,3,3,0,1,2,4,4,3,14,5,46,51,3,2,9,8,8,10,6,5,6,7,4,2,11,7,6,8,5,14,3,4,3,3,3,10,0,1,8,2,2,6,7,8,7,5,0,1,12,6,22,15,3,1,4,3,15,6,10,7,16,14,42,34,2,5,2,8,1,0,4,5,11,12,11,11,7,5,3,7,5,5,0,0,9,4,3,9,0,3,5,1,2,1,13,10,12,9,5,4,3,2,2,3,4,4,12,18,23,20,7,10,4,7,7,6,9,8,11,11,5,14,25,24,1,4,7,9,7,9,6,2,5,3,1,0,2,3,0,0,1,3,0,1,10,9,604,585,"1,189"
7,2,6,4,15,6,4,5,7,8,8,5,2,19,18,12,11,7,6,1,2,1,1,6,2,3,3,11,11,73,51,6,5,8,2,8,4,5,8,3,4,2,2,2,1,8,2,6,10,7,1,7,3,6,8,2,3,6,4,6,1,6,11,5,9,0,2,9,5,23,7,0,0,5,2,12,18,9,7,13,13,46,31,2,4,9,8,0,1,3,8,14,14,12,8,7,4,6,6,3,5,0,0,6,8,8,9,1,2,3,0,2,1,8,8,10,9,6,4,3,0,4,2,1,2,7,17,23,15,11,5,2,4,11,7,10,8,10,10,3,3,24,34,3,3,9,7,4,4,1,2,2,5,1,1,2,1,1,3,0,0,0,0,4,7,609,549,"1,158"
8,3,1,12,9,5,6,3,2,5,8,4,5,27,26,8,11,6,5,0,1,0,1,7,5,10,2,9,7,52,55,4,4,4,6,8,5,5,7,7,8,6,5,5,5,7,7,9,6,4,5,5,7,3,2,0,0,6,8,5,2,9,3,3,7,0,1,5,7,12,20,1,0,4,5,14,13,5,7,18,20,31,39,3,2,3,2,1,1,7,4,14,9,16,10,10,2,8,5,4,1,0,0,8,8,15,11,2,4,0,6,1,5,8,9,14,9,4,6,2,2,4,5,1,2,12,11,29,17,5,14,2,8,7,7,10,11,10,7,13,13,28,22,2,2,1,10,4,13,8,3,8,4,3,0,2,3,2,1,2,2,2,1,6,5,612,600,"1,212"
9,1,2,7,6,6,5,7,6,4,5,4,5,35,19,19,12,7,14,1,3,2,4,4,2,4,2,14,6,46,48,6,5,10,7,9,6,8,8,6,4,4,6,2,2,8,9,8,12,4,6,3,6,10,4,1,4,9,6,3,5,4,8,2,4,3,0,7,7,7,13,0,1,5,6,18,11,8,5,19,19,23,35,5,0,3,4,1,2,5,4,11,10,13,9,7,4,4,6,4,5,0,0,8,9,12,6,2,3,4,3,0,2,7,13,8,16,2,2,4,1,6,4,4,4,10,14,19,15,10,10,7,4,8,7,6,14,9,11,6,9,32,39,3,3,9,9,6,7,1,3,6,4,2,0,3,3,2,0,4,4,1,1,10,7,612,609,"1,221"
10,4,2,8,9,9,5,8,5,14,10,2,4,34,47,8,18,5,6,1,2,1,0,2,2,5,5,15,13,67,40,7,1,7,8,5,9,4,3,3,8,5,1,1,1,8,14,12,8,4,9,3,4,9,6,1,1,5,6,2,5,6,4,5,6,2,0,5,4,17,19,0,0,7,1,18,13,6,2,19,13,15,19,1,4,7,5,3,0,6,10,14,23,15,17,3,5,9,12,1,8,0,0,12,12,10,13,4,3,6,3,3,2,15,8,17,16,0,7,3,4,6,3,6,3,9,14,19,12,10,14,8,7,9,8,18,8,12,13,12,8,39,32,1,3,4,5,9,4,3,5,6,7,1,1,8,3,3,0,2,2,1,1,5,4,679,642,"1,321"
11,3,5,7,6,10,7,8,4,11,5,2,5,27,22,12,12,9,6,3,0,1,2,4,3,6,3,19,13,57,61,5,1,5,10,4,6,2,6,3,8,6,5,3,6,4,5,4,7,6,1,7,4,2,7,1,2,6,3,5,3,6,5,3,4,1,0,7,4,10,9,0,1,6,5,19,16,6,7,15,18,14,17,5,5,6,7,1,1,3,6,11,11,18,15,5,8,7,7,6,5,0,0,9,7,18,10,7,3,5,6,0,1,10,16,13,6,1,7,1,1,5,3,5,5,11,14,10,11,15,9,5,5,6,16,14,7,11,11,9,8,35,37,3,2,9,5,9,9,1,2,8,9,4,1,4,2,1,2,0,3,0,5,6,7,626,609,"1,235"
12,6,1,9,10,5,7,5,11,6,9,4,4,31,19,10,11,7,4,3,5,1,2,4,0,5,4,8,7,65,50,6,8,6,8,8,10,4,5,8,3,3,9,3,2,7,7,9,9,5,3,9,12,9,5,5,2,4,11,5,2,5,8,2,0,0,1,6,5,7,8,3,2,1,5,11,18,7,9,21,15,8,13,5,5,4,10,0,2,6,6,12,12,12,21,5,7,6,14,8,7,0,0,12,12,11,23,1,5,3,4,1,0,8,11,9,7,1,3,3,0,6,6,2,0,13,11,17,13,11,9,10,7,9,4,12,8,16,13,14,5,43,29,1,1,5,11,7,8,4,3,6,7,0,3,7,1,1,3,3,1,3,2,5,10,633,628,"1,261"
13,2,3,10,9,11,6,4,4,2,2,4,6,34,34,14,17,4,7,4,2,2,2,5,4,7,4,14,9,56,52,5,1,4,3,8,6,3,4,8,9,6,4,5,0,8,1,8,6,12,3,3,7,6,3,3,3,7,3,3,3,7,5,2,3,1,1,5,7,4,4,0,1,5,1,11,15,4,6,23,12,3,9,2,5,5,4,0,2,8,4,11,9,21,12,2,6,4,5,6,7,0,0,8,6,17,8,6,10,4,5,2,1,7,11,13,15,4,8,2,2,5,1,1,3,12,17,15,20,11,7,9,4,9,6,12,7,13,14,9,9,30,30,1,2,3,6,10,7,5,3,6,5,0,2,5,1,2,2,0,2,1,1,9,11,617,561,"1,178"
14,1,5,6,10,11,2,8,8,8,6,5,2,30,23,11,14,9,10,5,0,0,1,3,4,7,5,6,8,56,54,3,3,12,4,6,8,4,4,2,6,0,5,4,0,6,4,7,10,4,2,6,2,9,8,3,0,12,4,5,3,5,6,4,2,1,1,8,8,10,10,0,0,7,4,12,5,10,7,14,16,10,6,3,8,8,4,3,1,5,8,13,10,17,11,4,2,5,5,5,5,0,0,13,3,6,8,6,7,5,2,3,2,10,9,7,12,7,7,2,2,5,6,4,3,6,4,7,12,7,10,11,8,9,8,8,14,12,10,10,10,35,36,3,3,6,5,8,7,4,5,7,6,1,1,3,3,0,4,1,2,1,1,5,10,605,554,"1,159"
15,3,2,5,11,6,7,7,8,7,11,2,6,31,30,23,12,12,7,4,2,1,0,3,3,5,5,12,12,61,56,5,1,9,5,7,6,2,5,9,8,9,6,5,1,6,5,8,4,4,9,5,6,5,6,2,4,11,11,7,4,7,5,1,2,0,0,4,5,6,6,1,1,2,4,5,9,8,7,27,23,4,3,3,3,6,8,3,2,9,7,19,9,13,16,6,7,8,6,6,4,0,0,7,10,12,20,4,5,6,5,1,0,14,7,11,14,6,4,4,2,6,3,2,4,8,7,12,13,10,16,8,7,13,9,8,12,14,15,9,13,31,37,7,3,13,10,9,5,2,3,3,9,2,4,3,2,2,1,1,0,2,2,7,9,651,631,"1,282"
16,5,3,11,14,13,8,7,6,7,4,5,4,17,20,11,13,7,16,2,4,0,0,2,5,1,3,11,7,63,63,1,4,7,9,10,2,4,6,2,2,3,5,4,0,3,7,11,11,4,7,2,2,7,6,3,0,9,6,4,4,9,8,5,3,1,1,8,2,9,7,1,1,6,1,4,8,8,7,28,22,4,8,5,5,9,8,3,2,7,6,9,16,18,12,10,7,5,8,7,4,0,0,4,5,19,14,6,6,4,3,0,4,13,16,12,8,6,7,3,1,4,2,4,1,7,12,14,11,9,7,10,10,7,8,5,6,12,13,7,10,30,27,4,1,10,7,9,10,4,3,3,7,0,2,3,3,8,2,1,1,3,4,7,6,620,594,"1,214"
17,5,4,11,8,7,10,6,4,8,4,6,4,18,17,16,26,10,11,5,1,0,0,4,3,5,7,13,10,53,54,2,3,4,4,5,4,4,8,4,6,3,6,1,5,6,5,8,9,4,6,9,1,9,4,4,4,14,9,10,7,14,4,2,4,1,1,5,7,13,14,0,1,4,5,14,10,3,7,21,16,15,9,7,4,6,4,2,4,6,9,8,12,18,13,7,5,7,7,7,1,0,0,11,5,12,10,6,7,3,7,3,1,14,21,14,7,6,8,0,2,3,5,3,1,7,8,13,11,8,15,6,9,11,6,9,11,11,16,9,11,25,18,2,2,13,6,5,6,2,2,8,9,0,3,2,3,5,2,3,3,4,1,8,7,640,604,"1,244"
