年齢別人口　令和元年５月１日現在,,,,
年齢,男,女,合計,
0,459,398,857,
1,530,491,"1,021",
2,544,557,"1,101",
3,562,529,"1,091",
4,574,601,"1,175",
5,597,603,"1,200",
6,592,553,"1,145",
7,601,558,"1,159",
8,600,613,"1,213",
9,640,629,"1,269",
小計,"5,699","5,532","11,231",
10,668,607,"1,275",
11,634,619,"1,253",
12,640,628,"1,268",
13,618,546,"1,164",
14,600,568,"1,168",
15,638,652,"1,290",
16,623,569,"1,192",
17,644,604,"1,248",
18,684,649,"1,333",
19,717,659,"1,376",
小計,"6,466","6,101","12,567",
20,771,744,"1,515",
21,820,776,"1,596",
22,822,858,"1,680",
23,815,757,"1,572",
24,804,795,"1,599",
25,740,703,"1,443",
26,723,697,"1,420",
27,679,637,"1,316",
28,674,633,"1,307",
29,676,642,"1,318",
小計,"7,524","7,242","14,766",
30,702,679,"1,381",
31,771,715,"1,486",
32,812,745,"1,557",
33,804,788,"1,592",
34,881,853,"1,734",
35,963,884,"1,847",
36,920,950,"1,870",
37,933,934,"1,867",
38,"1,071",925,"1,996",
39,"1,055",926,"1,981",
小計,"8,912","8,399","17,311",
40,"1,098",997,"2,095",
41,"1,147","1,099","2,246",
42,"1,187","1,061","2,248",
43,"1,126","1,115","2,241",
44,"1,263","1,249","2,512",
45,"1,249","1,203","2,452",
46,"1,259","1,251","2,510",
47,"1,379","1,259","2,638",
48,"1,208","1,150","2,358",
49,"1,173","1,177","2,350",
小計,"12,089","11,561","23,650",
50,"1,241","1,157","2,398",
51,"1,190","1,078","2,268",
52,"1,041",953,"1,994",
53,"1,009",954,"1,963",
54,"1,044","1,038","2,082",
55,960,890,"1,850",
56,920,908,"1,828",
57,877,843,"1,720",
58,798,810,"1,608",
59,776,800,"1,576",
小計,"9,856","9,431","19,287",
60,769,843,"1,612",
61,763,832,"1,595",
62,739,827,"1,566",
63,765,891,"1,656",
64,774,929,"1,703",
65,820,954,"1,774",
66,855,"1,061","1,916",
67,981,"1,071","2,052",
68,988,"1,200","2,188",
69,"1,133","1,352","2,485",
小計,"8,587","9,960","18,547",
70,"1,250","1,409","2,659",
71,"1,319","1,525","2,844",
72,"1,017","1,138","2,155",
73,700,834,"1,534",
74,865,975,"1,840",
75,934,"1,259","2,193",
76,923,"1,059","1,982",
77,913,"1,027","1,940",
78,801,993,"1,794",
79,686,818,"1,504",
小計,"9,408","11,037","20,445",
80,568,731,"1,299",
81,633,712,"1,345",
82,536,674,"1,210",
83,491,690,"1,181",
84,432,515,947,
85,383,495,878,
86,323,485,808,
87,249,436,685,
88,208,351,559,
89,162,291,453,
小計,"3,985","5,380","9,365",
90,134,271,405,
91,83,235,318,
92,72,198,270,
93,58,155,213,
94,39,138,177,
95,29,97,126,
96,17,63,80,
97,7,63,70,
98,9,46,55,
99,5,22,27,
小計,453,"1,288","1,741",
100以上,5,49,54,
合計,"72,984","75,980","148,964",
,,,,
