年齢,関戸１丁目,,関戸２丁目,,関戸３丁目,,関戸４丁目,,関戸５丁目,,関戸６丁目,,連光寺１丁目,,連光寺２丁目,,連光寺３丁目,,連光寺４丁目,,連光寺５丁目,,連光寺６丁目,,貝取,,乞田,,和田,,百草,,落川,,東寺方,,東寺方１丁目,,一ノ宮１丁目,,一ノ宮２丁目,,一ノ宮３丁目,,一ノ宮４丁目,,桜ヶ丘１丁目,,桜ヶ丘２丁目,,桜ヶ丘３丁目,,桜ヶ丘４丁目,,和田（百草団地）,,聖ヶ丘１丁目,,聖ヶ丘２丁目,,聖ヶ丘３丁目,,聖ヶ丘４丁目,,聖ヶ丘５丁目,,馬引沢１丁目,,馬引沢２丁目,,山王下１丁目,,中沢１丁目,,中沢２丁目,,唐木田１丁目,,諏訪１丁目,,諏訪２丁目,,諏訪３丁目,,諏訪４丁目,,諏訪５丁目,,永山１丁目,,永山２丁目,,永山３丁目,,永山４丁目,,永山５丁目,,永山６丁目,,永山７丁目,,貝取１丁目,,貝取２丁目,,貝取３丁目,,貝取４丁目,,貝取５丁目,,豊ヶ丘１丁目,,豊ヶ丘２丁目,,豊ヶ丘３丁目,,豊ヶ丘４丁目,,豊ヶ丘５丁目,,豊ヶ丘６丁目,,落合１丁目,,落合２丁目,,落合３丁目,,落合４丁目,,落合５丁目,,落合６丁目,,鶴牧１丁目,,鶴牧２丁目,,鶴牧３丁目,,鶴牧４丁目,,鶴牧５丁目,,鶴牧６丁目,,南野１、２丁目,,南野３丁目,,東寺方３丁目,,和田３丁目,,愛宕１丁目,,愛宕２丁目,,愛宕３丁目,,愛宕４丁目,,合計,,
,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,計
0,1,2,9,13,3,4,1,9,6,8,6,4,7,7,6,2,9,10,2,0,0,1,1,2,8,4,16,10,30,32,1,3,4,6,4,3,4,8,4,7,9,2,5,5,7,7,7,2,2,4,3,0,5,2,3,0,5,4,5,0,3,3,1,1,1,0,9,9,17,14,1,1,0,3,3,4,13,7,17,12,19,15,4,4,8,5,0,0,2,7,15,10,15,14,6,12,7,4,3,3,0,0,10,1,3,5,1,1,0,2,1,1,15,13,2,5,1,4,0,0,1,0,4,4,18,13,5,9,10,5,2,3,1,0,4,1,8,14,5,11,25,19,0,0,3,6,6,6,7,5,2,2,0,0,1,0,0,0,2,1,1,0,5,11,460,431,891
1,0,4,10,8,4,2,6,7,7,11,2,2,10,7,4,6,3,7,1,0,1,0,1,4,5,6,13,10,39,35,5,5,5,5,10,8,8,9,3,4,6,9,4,2,15,3,5,4,4,2,5,1,4,1,2,0,5,8,3,2,3,4,1,4,0,0,11,16,4,20,0,1,7,6,4,6,3,7,12,16,23,16,6,3,5,4,0,0,4,2,20,14,17,19,3,9,4,8,2,9,0,0,4,3,7,6,0,1,1,2,3,0,19,10,6,9,1,1,4,1,3,1,4,3,14,13,13,5,9,4,0,5,3,5,5,3,14,12,9,2,31,22,1,2,5,7,8,3,4,4,3,4,0,0,2,1,1,0,1,1,1,0,4,6,499,472,971
2,4,3,16,7,5,7,4,7,5,7,5,4,9,8,11,7,9,6,3,0,2,1,4,3,6,9,14,7,38,44,0,4,7,10,10,10,8,13,5,3,4,5,3,2,7,10,7,9,5,4,7,4,2,2,2,2,10,6,6,4,8,6,0,2,0,0,14,14,13,12,0,0,4,4,11,7,9,15,9,10,24,24,4,0,9,7,1,0,3,5,19,10,14,18,7,9,4,3,2,4,0,0,4,9,7,3,2,3,1,2,1,1,16,11,9,3,3,3,1,1,2,1,3,1,21,20,13,12,9,8,8,4,4,3,6,4,26,19,9,5,25,24,0,1,13,5,3,4,2,3,2,1,0,1,2,1,0,2,3,2,1,1,5,3,574,519,"1,093"
3,1,4,12,11,3,3,4,8,4,5,2,4,9,12,9,6,8,6,2,2,2,0,1,3,6,2,9,11,37,36,4,5,7,4,12,6,5,6,4,6,6,5,4,3,6,9,8,7,3,3,8,3,4,5,3,0,7,3,2,2,6,9,4,2,0,2,12,16,9,14,0,1,6,3,5,5,7,10,14,15,33,33,3,5,8,7,0,1,2,3,19,13,13,18,6,4,4,8,1,4,0,0,7,7,2,6,2,1,4,2,0,1,15,17,5,4,1,2,2,2,2,2,4,3,26,18,10,19,12,9,3,3,6,4,6,5,18,21,6,10,21,27,3,2,8,3,10,4,3,5,2,3,0,0,2,1,1,0,3,1,2,1,10,6,540,542,"1,082"
4,1,1,12,8,3,1,12,5,6,6,5,5,13,11,9,6,6,7,1,1,1,0,2,3,8,9,13,9,47,37,3,2,6,4,13,12,2,12,7,4,5,4,3,5,11,8,5,7,4,2,7,4,2,3,1,0,8,10,1,9,7,6,6,3,2,1,12,9,10,15,2,1,4,6,9,10,8,12,13,11,37,39,5,5,2,5,0,0,4,6,10,14,12,14,6,3,8,7,2,5,0,0,4,7,6,8,1,7,1,1,4,2,15,13,7,6,0,4,2,3,3,2,1,3,15,20,26,13,9,6,3,6,7,5,4,6,21,19,7,3,28,36,1,4,6,8,5,5,3,3,1,4,0,1,0,1,3,1,2,0,1,0,12,4,574,568,"1,142"
5,3,2,10,5,7,7,8,10,3,9,5,2,22,11,14,10,8,4,2,1,1,3,1,3,7,3,9,13,55,59,7,3,7,6,7,7,6,3,4,3,4,5,5,7,4,14,3,7,8,3,4,2,5,2,1,2,7,4,2,8,12,9,2,7,0,0,18,13,14,16,0,0,3,4,6,8,5,12,8,15,28,29,2,4,7,5,1,0,2,5,18,18,6,18,5,6,5,8,6,5,0,0,12,5,9,10,1,3,3,3,2,0,16,14,5,3,1,3,2,0,2,2,4,3,19,16,30,31,7,12,2,5,1,3,9,4,12,16,3,6,26,26,1,2,7,7,4,9,4,6,6,3,0,0,2,2,1,1,2,2,2,0,5,5,577,602,"1,179"
6,7,0,9,8,2,7,3,8,4,8,2,5,34,20,9,7,9,6,2,1,0,2,2,4,6,5,14,8,46,46,2,1,8,5,10,11,5,5,7,5,3,2,9,5,8,8,4,9,1,4,2,4,3,9,0,1,6,6,5,5,8,8,4,3,1,1,14,9,23,14,1,1,6,7,14,6,10,9,14,16,44,39,2,7,3,5,1,0,3,5,10,11,14,10,11,7,3,8,3,8,0,0,8,2,4,11,1,0,3,2,2,1,11,7,10,7,4,4,2,3,3,1,2,4,15,22,22,14,10,10,6,6,4,6,7,8,10,15,6,12,25,29,1,4,7,9,9,7,8,5,3,2,1,0,4,3,0,1,2,3,0,1,9,8,610,596,"1,206"
7,2,4,8,14,2,3,7,5,7,6,6,2,20,21,16,15,6,6,3,3,1,0,5,0,0,2,11,5,58,51,7,7,8,6,10,8,5,10,4,6,3,0,4,3,7,4,7,13,7,2,7,2,4,8,1,1,7,3,5,2,7,11,8,11,0,2,9,6,21,6,2,0,3,1,15,16,8,6,14,10,40,29,1,5,6,7,0,1,4,6,17,13,10,11,5,4,4,7,5,1,0,0,7,10,6,7,1,5,3,0,1,1,10,8,12,8,4,5,4,1,2,3,3,2,6,15,22,20,9,6,3,3,11,7,9,10,8,11,2,9,24,25,2,3,10,6,4,7,0,2,4,5,1,0,1,0,0,2,0,0,0,1,5,2,591,549,"1,140"
8,2,3,10,8,7,4,3,4,5,8,3,5,21,18,6,9,6,5,0,2,0,1,8,5,8,2,11,12,63,50,4,2,7,5,6,4,4,4,5,7,4,7,5,4,8,6,7,7,4,4,4,5,4,3,1,2,7,8,5,3,8,5,2,6,0,4,2,6,14,19,1,0,4,4,13,16,7,8,15,19,38,39,4,1,5,3,1,0,5,4,13,12,16,9,9,1,8,3,4,5,0,0,7,8,14,8,2,3,2,5,1,3,6,8,13,9,6,6,1,2,6,2,1,2,13,13,27,12,8,12,2,8,10,8,10,7,12,7,12,8,25,29,3,2,2,9,3,9,7,1,7,4,2,1,3,3,3,2,2,2,0,1,6,9,613,574,"1,187"
9,2,1,11,9,6,8,6,3,5,6,4,1,34,23,15,14,8,12,1,2,0,4,4,4,8,3,13,6,47,52,6,6,9,9,10,4,9,8,9,5,5,3,0,1,9,9,5,11,5,6,5,7,10,3,1,1,10,8,4,3,3,7,2,5,2,0,7,7,8,14,0,1,4,6,17,9,8,6,16,18,22,33,5,1,3,4,0,2,4,7,14,9,16,11,8,3,6,10,5,3,0,0,7,10,13,9,1,4,2,4,1,3,11,14,6,13,3,2,5,0,4,9,3,4,7,13,26,18,9,9,5,6,7,6,8,12,9,10,8,13,30,32,3,4,8,11,6,11,2,3,4,4,3,0,1,4,2,0,2,3,3,0,4,7,614,626,"1,240"
10,2,3,3,5,9,5,9,6,10,11,3,8,34,44,14,12,6,7,1,2,3,2,2,2,5,5,13,13,69,45,6,3,8,6,5,10,4,6,2,7,2,4,3,2,7,10,14,10,4,5,3,6,7,5,0,2,5,4,1,5,6,5,6,4,3,0,5,3,15,20,0,0,8,3,13,12,7,2,23,16,19,27,0,1,7,3,3,1,4,8,9,20,16,15,3,6,7,9,1,7,0,0,11,5,9,11,5,3,6,2,3,2,12,7,16,18,1,6,3,4,8,1,4,3,12,14,14,16,9,11,8,5,8,7,16,10,12,13,8,7,36,33,2,2,5,3,10,5,3,4,7,5,0,0,9,2,3,0,2,2,1,2,9,6,661,626,"1,287"
11,4,3,7,9,8,5,8,4,12,5,1,4,31,24,10,14,7,7,2,1,1,1,2,3,4,0,20,13,56,53,6,0,5,12,2,7,2,6,4,9,9,5,2,6,4,8,6,6,4,4,5,2,5,7,2,1,6,6,4,5,6,3,2,5,1,0,10,5,12,10,0,1,7,4,24,19,4,6,17,18,12,18,3,6,5,7,2,1,6,6,15,15,17,17,5,7,7,8,4,7,0,0,11,11,15,12,3,1,5,5,0,1,11,16,16,7,1,5,0,2,3,5,5,3,9,14,12,10,14,12,7,6,9,15,10,6,10,10,12,9,37,42,2,2,5,7,8,7,2,4,7,7,6,2,4,2,0,1,2,3,0,3,2,5,626,628,"1,254"
12,6,3,11,7,6,7,2,11,8,8,4,4,32,22,10,11,7,4,4,5,2,2,5,0,8,5,10,6,62,50,5,8,5,8,9,4,4,4,8,4,5,8,4,2,6,6,8,8,5,3,9,10,7,6,5,3,3,8,6,0,7,9,2,1,0,1,5,5,5,7,1,2,1,5,13,9,5,8,19,16,11,10,6,5,6,10,0,1,4,5,13,12,15,19,6,6,5,10,7,8,0,0,10,12,14,19,5,3,5,5,0,1,9,9,9,9,1,3,3,0,5,4,4,3,14,12,17,13,13,11,7,5,10,8,13,11,15,14,11,4,42,27,2,2,10,11,8,8,2,4,6,11,0,4,5,1,2,3,3,2,3,4,8,8,653,607,"1,260"
13,2,3,8,9,11,5,6,3,3,4,5,5,34,26,14,18,5,4,3,1,1,3,5,3,7,4,12,7,60,51,6,2,3,4,9,12,3,5,8,8,5,5,5,1,5,3,7,5,11,3,5,9,4,4,2,2,5,6,2,5,5,6,3,2,1,1,5,6,6,3,2,1,3,2,9,22,7,9,21,13,3,11,3,6,2,5,0,2,7,4,9,10,16,15,1,7,6,9,6,6,0,0,9,6,17,15,5,11,3,6,3,1,6,13,12,13,3,11,3,1,7,3,2,3,11,19,17,17,13,7,11,4,5,2,17,4,17,13,11,8,34,33,0,2,1,8,9,9,4,2,5,3,0,0,8,1,2,3,0,1,1,1,8,13,615,593,"1,208"
14,2,7,9,10,13,3,7,9,6,5,4,3,27,29,11,15,8,12,5,1,1,0,4,5,5,6,9,13,56,56,3,5,11,4,6,5,4,2,3,7,1,3,4,0,8,5,10,12,6,2,2,4,8,7,0,2,14,4,6,2,4,6,1,2,1,1,7,8,10,8,0,0,8,2,11,6,8,7,18,17,10,7,2,6,7,3,3,2,8,9,11,11,19,13,4,2,5,3,6,5,0,0,9,3,10,7,7,7,4,1,3,1,13,9,10,10,6,5,1,3,5,4,3,3,7,4,8,16,6,9,6,6,12,9,5,12,11,12,8,9,34,35,4,2,7,3,9,6,6,3,11,8,1,2,2,4,0,1,1,2,1,0,7,8,613,560,"1,173"
15,3,2,4,12,5,6,6,5,8,10,3,5,31,27,18,12,9,10,3,2,1,1,0,0,6,4,9,8,61,55,4,0,8,5,8,9,2,7,5,7,8,6,5,1,8,4,7,5,4,10,8,4,6,6,4,2,10,9,6,5,9,4,2,2,0,0,7,5,6,11,1,0,3,4,7,5,8,4,19,21,5,5,3,5,5,7,1,1,5,4,18,8,14,16,5,6,3,3,7,2,0,0,12,7,8,19,3,8,6,3,1,1,13,9,9,17,6,4,4,2,7,4,2,4,9,4,11,12,9,12,9,9,12,10,10,13,12,12,11,11,36,34,4,4,9,10,8,6,4,5,3,5,2,2,3,1,2,4,0,1,0,3,7,10,620,598,"1,218"
16,4,2,12,11,10,7,8,8,6,6,3,4,21,23,17,11,10,12,4,3,0,0,5,6,1,5,12,8,60,64,3,6,9,7,7,2,5,6,5,4,3,7,3,0,2,7,9,6,4,4,2,4,9,6,4,1,12,6,4,3,6,8,4,4,0,0,5,4,8,8,1,2,5,3,6,13,9,7,29,16,4,7,6,3,10,7,4,1,11,6,15,15,16,15,9,6,9,12,5,5,0,0,4,7,17,16,6,4,4,6,0,3,12,14,11,10,4,7,4,1,5,2,2,1,7,13,10,7,8,7,10,9,10,9,6,9,13,15,7,14,27,28,4,1,14,7,7,10,2,4,2,8,0,3,3,4,7,2,2,1,3,2,5,8,632,613,"1,245"
17,3,5,10,11,9,10,6,5,9,2,7,5,17,20,13,21,8,14,4,1,1,0,4,5,6,5,11,10,54,54,1,3,5,7,9,4,2,5,5,4,3,5,2,5,7,6,9,12,4,9,7,1,8,4,3,3,11,10,7,8,12,3,4,3,2,2,8,5,11,7,0,0,4,4,11,7,3,9,27,22,9,7,6,7,8,4,3,5,4,10,7,14,22,10,5,5,7,6,10,1,0,0,11,5,14,4,6,5,6,5,3,1,12,19,15,7,6,8,0,2,2,2,4,1,6,11,17,13,8,15,9,7,8,7,9,10,13,11,10,11,23,21,5,1,10,6,8,5,4,3,4,9,1,3,3,2,2,2,3,3,6,3,6,6,642,593,"1,235"
18,5,4,6,12,7,13,9,4,6,9,7,3,26,13,17,21,9,8,4,1,0,0,5,7,5,3,13,11,67,60,5,2,7,5,7,8,6,4,2,3,4,3,2,3,10,5,6,7,4,4,7,5,9,5,3,1,11,12,10,4,13,12,5,1,0,0,8,8,11,13,3,6,5,4,11,8,7,8,19,21,14,8,7,3,7,4,1,3,12,7,13,13,7,14,8,8,9,10,5,5,0,0,8,7,16,22,2,12,0,5,2,2,12,16,13,10,6,12,3,0,2,7,5,2,7,7,11,12,7,14,12,10,11,7,9,9,7,19,11,6,20,22,2,3,13,11,4,9,5,3,11,5,2,1,2,2,8,2,2,2,2,0,13,13,672,648,"1,320"
