年齢別人口　令和元年９月１日現在,,,,
年齢,男,女,合計,
0,463,427,890,
1,514,467,981,
2,564,539,"1,103",
3,540,539,"1,079",
4,586,581,"1,167",
5,567,595,"1,162",
6,599,597,"1,196",
7,604,538,"1,142",
8,636,586,"1,222",
9,597,622,"1,219",
小計,"5,670","5,491","11,161",
10,669,627,"1,296",
11,632,631,"1,263",
12,644,609,"1,253",
13,603,576,"1,179",
14,617,573,"1,190",
15,631,609,"1,240",
16,623,596,"1,219",
17,645,601,"1,246",
18,690,657,"1,347",
19,683,659,"1,342",
小計,"6,437","6,138","12,575",
20,735,680,"1,415",
21,804,777,"1,581",
22,809,788,"1,597",
23,798,781,"1,579",
24,818,751,"1,569",
25,726,732,"1,458",
26,727,712,"1,439",
27,700,655,"1,355",
28,676,632,"1,308",
29,705,622,"1,327",
小計,"7,498","7,130","14,628",
30,649,691,"1,340",
31,756,665,"1,421",
32,846,761,"1,607",
33,784,799,"1,583",
34,889,837,"1,726",
35,922,879,"1,801",
36,936,935,"1,871",
37,973,917,"1,890",
38,"1,000",931,"1,931",
39,"1,040",955,"1,995",
小計,"8,795","8,370","17,165",
40,"1,090",950,"2,040",
41,"1,097","1,070","2,167",
42,"1,146","1,088","2,234",
43,"1,187","1,096","2,283",
44,"1,225","1,174","2,399",
45,"1,249","1,225","2,474",
46,"1,267","1,251","2,518",
47,"1,367","1,262","2,629",
48,"1,246","1,197","2,443",
49,"1,178","1,153","2,331",
小計,"12,052","11,466","23,518",
50,"1,220","1,173","2,393",
51,"1,216","1,150","2,366",
52,"1,125",989,"2,114",
53,969,887,"1,856",
54,"1,032","1,046","2,078",
55,994,956,"1,950",
56,940,875,"1,815",
57,881,865,"1,746",
58,827,843,"1,670",
59,770,779,"1,549",
小計,"9,974","9,563","19,537",
60,785,845,"1,630",
61,772,843,"1,615",
62,726,821,"1,547",
63,750,856,"1,606",
64,803,914,"1,717",
65,749,937,"1,686",
66,877,"1,046","1,923",
67,939,"1,048","1,987",
68,959,"1,155","2,114",
69,"1,065","1,311","2,376",
小計,"8,425","9,776","18,201",
70,"1,250","1,404","2,654",
71,"1,284","1,495","2,779",
72,"1,153","1,298","2,451",
73,693,860,"1,553",
74,860,941,"1,801",
75,913,"1,222","2,135",
76,904,"1,097","2,001",
77,955,"1,030","1,985",
78,807,982,"1,789",
79,704,900,"1,604",
小計,"9,523","11,229","20,752",
80,614,733,"1,347",
81,593,719,"1,312",
82,557,668,"1,225",
83,512,702,"1,214",
84,429,576,"1,005",
85,387,474,861,
86,325,464,789,
87,271,459,730,
88,210,340,550,
89,167,314,481,
小計,"4,065","5,449","9,514",
90,146,260,406,
91,89,253,342,
92,68,186,254,
93,56,159,215,
94,41,143,184,
95,30,90,120,
96,17,74,91,
97,10,53,63,
98,8,48,56,
99,4,23,27,
小計,469,"1,289","1,758",
100以上,5,49,54,
合計,"72,913","75,950","148,863",
,,,,
