年齢,関戸１丁目,,関戸２丁目,,関戸３丁目,,関戸４丁目,,関戸５丁目,,関戸６丁目,,連光寺１丁目,,連光寺２丁目,,連光寺３丁目,,連光寺４丁目,,連光寺５丁目,,連光寺６丁目,,貝取,,乞田,,和田,,百草,,落川,,東寺方,,東寺方１丁目,,一ノ宮１丁目,,一ノ宮２丁目,,一ノ宮３丁目,,一ノ宮４丁目,,桜ヶ丘１丁目,,桜ヶ丘２丁目,,桜ヶ丘３丁目,,桜ヶ丘４丁目,,和田（百草団地）,,聖ヶ丘１丁目,,聖ヶ丘２丁目,,聖ヶ丘３丁目,,聖ヶ丘４丁目,,聖ヶ丘５丁目,,馬引沢１丁目,,馬引沢２丁目,,山王下１丁目,,中沢１丁目,,中沢２丁目,,唐木田１丁目,,諏訪１丁目,,諏訪２丁目,,諏訪３丁目,,諏訪４丁目,,諏訪５丁目,,永山１丁目,,永山２丁目,,永山３丁目,,永山４丁目,,永山５丁目,,永山６丁目,,永山７丁目,,貝取１丁目,,貝取２丁目,,貝取３丁目,,貝取４丁目,,貝取５丁目,,豊ヶ丘１丁目,,豊ヶ丘２丁目,,豊ヶ丘３丁目,,豊ヶ丘４丁目,,豊ヶ丘５丁目,,豊ヶ丘６丁目,,落合１丁目,,落合２丁目,,落合３丁目,,落合４丁目,,落合５丁目,,落合６丁目,,鶴牧１丁目,,鶴牧２丁目,,鶴牧３丁目,,鶴牧４丁目,,鶴牧５丁目,,鶴牧６丁目,,南野１、２丁目,,南野３丁目,,東寺方３丁目,,和田３丁目,,愛宕１丁目,,愛宕２丁目,,愛宕３丁目,,愛宕４丁目,,合計,,
,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,計
0,0,1,10,6,5,2,11,6,5,9,0,2,7,7,5,4,3,5,2,0,0,0,2,3,6,5,11,7,38,32,4,3,6,6,8,6,7,6,6,4,8,6,3,3,11,6,5,4,3,1,6,1,6,1,3,1,3,6,2,2,4,4,1,2,1,0,10,9,8,24,1,1,7,5,1,5,7,8,15,12,21,18,3,2,5,3,0,0,3,3,15,10,8,11,3,8,2,5,2,5,0,0,4,2,5,3,0,0,1,3,1,0,22,14,5,8,1,4,3,2,3,3,4,3,12,10,15,6,10,1,3,5,2,2,5,4,8,13,7,6,27,23,0,1,3,5,7,5,4,7,4,4,0,0,1,1,0,0,0,1,1,0,4,3,465,419,884
1,5,4,8,8,1,4,4,8,5,9,4,3,12,10,10,7,5,7,3,0,1,1,4,4,7,10,13,10,33,31,1,3,8,7,8,8,9,10,7,5,9,8,4,3,10,8,6,5,3,3,2,5,2,0,3,1,10,8,1,3,5,3,1,4,0,0,11,18,14,14,0,1,3,7,12,5,6,14,9,11,24,18,6,0,8,5,1,0,4,5,25,9,11,13,6,11,7,4,2,4,0,0,6,7,6,6,1,2,0,2,1,1,13,12,7,5,4,2,0,0,1,2,4,1,21,23,13,10,6,8,7,5,4,5,6,4,25,20,8,2,23,22,1,2,7,7,5,4,2,2,0,0,0,1,3,1,0,2,3,1,1,1,9,6,540,505,"1,045"
2,1,3,17,8,6,4,5,5,8,5,2,3,6,11,9,5,8,4,2,2,1,1,1,3,6,3,6,6,31,38,1,3,9,4,12,9,7,9,4,6,3,4,5,2,6,10,9,9,5,4,11,3,3,4,5,2,7,1,6,2,6,10,2,1,0,2,16,11,10,16,0,1,6,3,6,6,6,11,14,23,30,25,4,4,9,6,1,1,2,4,20,12,10,14,6,4,1,7,0,4,0,0,7,10,4,5,2,1,5,1,1,0,18,18,6,3,2,2,2,2,4,2,5,3,30,18,10,16,9,7,3,6,6,5,4,4,21,23,9,8,21,26,2,0,9,2,9,4,3,5,3,2,0,0,1,1,0,0,2,3,1,1,5,5,555,521,"1,076"
3,1,3,7,11,4,2,10,5,6,5,6,6,9,8,10,9,5,8,2,1,0,0,2,3,6,10,14,12,45,33,5,5,5,5,15,10,1,12,5,2,6,5,3,4,11,7,2,8,5,3,7,5,2,6,4,3,9,9,1,8,6,4,7,4,2,0,10,10,16,12,1,1,3,5,6,10,9,12,11,12,41,44,5,6,2,6,0,0,2,7,15,15,8,11,7,4,9,8,2,2,0,0,2,5,3,6,3,4,1,2,3,3,16,11,7,9,0,1,3,3,1,2,1,2,19,24,20,11,13,8,2,2,5,3,8,6,20,16,5,5,22,28,1,4,8,7,5,6,4,3,0,3,0,1,1,1,2,1,4,0,1,0,13,4,563,562,"1,125"
4,4,2,13,4,6,4,8,7,4,8,5,2,21,16,13,6,6,5,2,1,2,1,1,2,6,3,11,11,51,48,5,2,7,7,4,7,6,3,5,6,6,6,4,8,5,12,5,7,8,2,7,3,4,2,1,1,7,7,2,6,10,8,3,6,0,1,13,10,13,20,1,0,5,4,8,7,4,12,10,16,22,36,1,2,5,6,1,0,4,4,16,19,10,10,8,6,3,5,6,6,0,0,11,4,9,10,1,6,2,0,2,0,18,16,3,3,1,5,0,1,4,3,5,3,15,18,33,28,7,11,2,7,3,4,7,4,15,19,4,5,26,30,0,0,9,6,4,8,5,6,6,6,0,0,1,1,2,1,0,1,3,0,7,5,577,588,"1,165"
5,5,0,7,8,2,5,3,11,5,12,2,6,29,16,9,11,6,4,2,1,0,2,1,5,7,5,14,11,54,48,3,2,6,5,7,10,4,4,8,6,4,3,9,4,7,11,4,5,1,5,5,3,4,5,0,1,8,6,5,7,9,8,3,4,1,1,15,8,20,10,1,0,4,7,12,7,8,10,12,17,43,37,2,5,5,7,0,0,4,6,11,11,12,12,10,5,3,12,3,7,0,0,8,4,6,11,2,0,3,4,1,2,12,9,9,6,3,2,4,3,3,0,3,3,17,21,23,18,9,11,7,4,5,5,8,7,13,17,5,9,22,26,2,2,7,9,6,9,5,5,3,1,1,1,4,2,1,1,3,3,0,1,4,7,598,599,"1,197"
6,3,3,10,6,2,3,7,5,5,6,5,3,25,21,17,8,3,4,3,3,0,0,5,1,3,2,9,3,44,41,7,5,9,6,10,10,7,8,4,6,3,3,4,3,4,5,8,16,5,2,6,2,2,11,1,2,5,1,2,2,6,10,9,6,0,1,10,6,21,12,2,1,3,0,17,11,10,6,15,16,44,32,2,6,6,7,1,0,4,6,12,12,9,11,8,5,4,6,4,3,0,0,5,6,5,4,0,4,4,1,3,1,11,8,13,11,5,8,3,2,1,3,3,0,4,18,22,19,7,6,4,8,7,8,9,8,9,12,2,10,24,22,2,3,9,5,6,6,4,1,4,6,1,0,2,2,0,2,1,1,0,1,9,6,584,540,"1,124"
7,3,5,8,14,5,4,3,5,5,9,4,3,17,16,7,11,6,8,0,2,2,1,7,4,7,4,13,13,66,56,3,2,7,3,6,3,3,6,4,5,3,4,4,5,9,5,8,6,5,1,5,5,6,4,1,2,8,9,8,1,6,7,2,10,0,2,4,5,14,11,1,0,7,3,10,20,9,6,19,17,39,38,3,1,9,5,1,1,4,5,17,12,10,9,9,2,10,4,4,6,0,0,7,9,10,9,2,1,2,4,1,3,7,8,12,8,5,4,0,1,6,2,0,3,13,13,27,14,8,11,2,7,9,9,8,11,11,5,8,7,24,27,1,4,4,9,3,5,5,1,3,4,2,1,2,3,3,2,1,2,0,0,4,9,601,576,"1,177"
8,3,0,11,10,7,7,4,3,4,7,4,2,36,25,13,13,8,7,1,2,0,3,5,3,6,1,11,6,49,53,5,6,7,7,10,6,8,5,8,6,4,6,4,1,10,8,6,11,6,7,4,8,8,2,1,1,8,6,4,4,6,7,1,5,0,1,5,8,12,17,0,1,4,5,18,9,8,8,17,20,24,38,5,2,1,3,0,1,5,8,12,11,16,11,10,4,6,8,3,3,0,0,7,6,18,11,3,6,2,3,1,2,9,15,7,11,4,4,4,1,2,5,2,2,7,15,32,22,6,11,4,7,8,6,14,12,10,9,8,13,30,31,3,4,6,12,7,12,4,3,7,3,1,0,1,3,2,0,3,1,3,1,8,4,631,631,"1,262"
