年齢別人口　令和元年８月１日現在,,,,
年齢,男,女,合計,
0,474,415,889,
1,528,477,"1,005",
2,559,534,"1,093",
3,543,536,"1,079",
4,582,592,"1,174",
5,581,592,"1,173",
6,590,602,"1,192",
7,618,555,"1,173",
8,615,577,"1,192",
9,606,625,"1,231",
小計,"5,696","5,505","11,201",
10,676,629,"1,305",
11,628,621,"1,249",
12,628,621,"1,249",
13,632,568,"1,200",
14,607,566,"1,173",
15,622,614,"1,236",
16,639,594,"1,233",
17,638,607,"1,245",
18,690,661,"1,351",
19,691,657,"1,348",
小計,"6,451","6,138","12,589",
20,729,697,"1,426",
21,817,768,"1,585",
22,842,808,"1,650",
23,781,772,"1,553",
24,806,775,"1,581",
25,721,724,"1,445",
26,727,724,"1,451",
27,698,643,"1,341",
28,676,620,"1,296",
29,705,631,"1,336",
小計,"7,502","7,162","14,664",
30,653,684,"1,337",
31,740,691,"1,431",
32,865,749,"1,614",
33,788,807,"1,595",
34,876,845,"1,721",
35,951,873,"1,824",
36,925,924,"1,849",
37,959,938,"1,897",
38,"1,018",908,"1,926",
39,"1,048",945,"1,993",
小計,"8,823","8,364","17,187",
40,"1,091",975,"2,066",
41,"1,127","1,080","2,207",
42,"1,135","1,080","2,215",
43,"1,168","1,091","2,259",
44,"1,256","1,208","2,464",
45,"1,239","1,228","2,467",
46,"1,273","1,233","2,506",
47,"1,359","1,290","2,649",
48,"1,229","1,172","2,401",
49,"1,195","1,157","2,352",
小計,"12,072","11,514","23,586",
50,"1,226","1,177","2,403",
51,"1,212","1,127","2,339",
52,"1,113",973,"2,086",
53,968,915,"1,883",
54,"1,023","1,040","2,063",
55,"1,006",933,"1,939",
56,935,886,"1,821",
57,873,868,"1,741",
58,827,837,"1,664",
59,771,766,"1,537",
小計,"9,954","9,522","19,476",
60,771,841,"1,612",
61,774,854,"1,628",
62,744,830,"1,574",
63,755,851,"1,606",
64,785,933,"1,718",
65,769,918,"1,687",
66,870,"1,044","1,914",
67,940,"1,059","1,999",
68,997,"1,189","2,186",
69,"1,060","1,298","2,358",
小計,"8,465","9,817","18,282",
70,"1,256","1,407","2,663",
71,"1,295","1,521","2,816",
72,"1,120","1,259","2,379",
73,688,846,"1,534",
74,858,938,"1,796",
75,942,"1,244","2,186",
76,894,"1,075","1,969",
77,942,"1,043","1,985",
78,800,972,"1,772",
79,699,881,"1,580",
小計,"9,494","11,186","20,680",
80,604,732,"1,336",
81,612,731,"1,343",
82,546,661,"1,207",
83,512,712,"1,224",
84,420,551,971,
85,389,480,869,
86,330,464,794,
87,264,456,720,
88,206,347,553,
89,169,309,478,
小計,"4,052","5,443","9,495",
90,141,264,405,
91,89,244,333,
92,68,189,257,
93,52,160,212,
94,46,136,182,
95,27,90,117,
96,20,75,95,
97,7,53,60,
98,8,48,56,
99,4,25,29,
小計,462,"1,284","1,746",
100以上,5,49,54,
合計,"72,976","75,984","148,960",
,,,,
