年齢,関戸１丁目,,関戸２丁目,,関戸３丁目,,関戸４丁目,,関戸５丁目,,関戸６丁目,,連光寺１丁目,,連光寺２丁目,,連光寺３丁目,,連光寺４丁目,,連光寺５丁目,,連光寺６丁目,,貝取,,乞田,,和田,,百草,,落川,,東寺方,,東寺方１丁目,,一ノ宮１丁目,,一ノ宮２丁目,,一ノ宮３丁目,,一ノ宮４丁目,,桜ヶ丘１丁目,,桜ヶ丘２丁目,,桜ヶ丘３丁目,,桜ヶ丘４丁目,,和田（百草団地）,,聖ヶ丘１丁目,,聖ヶ丘２丁目,,聖ヶ丘３丁目,,聖ヶ丘４丁目,,聖ヶ丘５丁目,,馬引沢１丁目,,馬引沢２丁目,,山王下１丁目,,中沢１丁目,,中沢２丁目,,唐木田１丁目,,諏訪１丁目,,諏訪２丁目,,諏訪３丁目,,諏訪４丁目,,諏訪５丁目,,永山１丁目,,永山２丁目,,永山３丁目,,永山４丁目,,永山５丁目,,永山６丁目,,永山７丁目,,貝取１丁目,,貝取２丁目,,貝取３丁目,,貝取４丁目,,貝取５丁目,,豊ヶ丘１丁目,,豊ヶ丘２丁目,,豊ヶ丘３丁目,,豊ヶ丘４丁目,,豊ヶ丘５丁目,,豊ヶ丘６丁目,,落合１丁目,,落合２丁目,,落合３丁目,,落合４丁目,,落合５丁目,,落合６丁目,,鶴牧１丁目,,鶴牧２丁目,,鶴牧３丁目,,鶴牧４丁目,,鶴牧５丁目,,鶴牧６丁目,,南野１、２丁目,,南野３丁目,,東寺方３丁目,,和田３丁目,,愛宕１丁目,,愛宕２丁目,,愛宕３丁目,,愛宕４丁目,,合計,,
,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,計
0,1,2,11,10,6,1,4,6,7,10,2,2,9,7,4,3,4,7,2,0,0,1,1,1,4,4,13,7,31,31,2,2,8,6,8,7,6,7,9,3,10,4,4,4,7,4,6,3,1,2,3,1,8,1,6,0,4,7,5,2,5,3,1,1,1,0,8,4,9,14,2,1,5,3,1,1,12,6,14,10,19,17,4,3,5,4,0,0,2,5,16,13,11,9,3,10,3,7,0,6,0,0,6,3,3,4,1,1,1,3,2,0,20,15,3,7,0,5,0,1,3,2,4,2,14,14,12,7,8,2,2,3,1,2,5,3,10,12,8,6,24,20,0,1,4,4,7,4,5,6,4,2,0,0,0,1,0,0,0,1,0,0,3,7,457,400,857
1,3,3,8,7,2,4,8,10,5,11,4,5,11,9,11,7,5,3,4,0,1,1,3,4,6,9,12,10,38,36,3,4,8,9,10,8,9,9,3,4,7,8,4,4,12,7,6,4,4,2,4,3,2,1,2,2,7,6,3,2,4,4,1,5,0,0,9,20,12,21,0,1,4,8,10,7,5,13,12,11,22,17,6,0,8,6,1,0,4,2,25,10,11,11,4,7,8,3,3,4,0,0,6,6,6,6,0,2,0,2,1,1,15,11,8,7,3,1,3,0,1,1,3,2,17,19,11,6,6,8,7,5,6,4,5,3,22,16,5,1,28,22,1,1,5,7,8,4,2,4,2,3,0,0,3,1,1,2,3,1,1,0,8,6,541,494,"1,035"
2,3,2,18,9,4,6,4,5,7,6,3,2,7,8,7,7,10,6,1,1,2,0,1,3,8,5,10,7,31,41,1,2,6,6,8,9,8,11,6,6,5,6,4,2,9,12,6,10,4,5,9,5,1,3,3,2,9,4,5,3,4,8,1,1,0,1,14,15,9,16,0,1,5,1,7,9,7,13,11,22,29,23,4,3,6,6,0,0,3,7,11,13,9,12,9,9,1,6,2,4,0,0,4,8,6,5,3,1,4,0,1,0,18,16,7,3,1,3,1,2,2,3,5,0,30,19,12,17,9,8,5,4,5,4,6,4,22,25,10,8,22,31,2,1,11,4,5,4,4,5,1,2,0,1,2,0,1,0,2,2,2,2,6,3,541,549,"1,090"
3,1,5,6,9,4,2,4,6,5,7,4,5,9,12,9,6,5,3,2,2,0,0,2,4,4,8,12,11,43,33,5,5,7,4,13,9,2,11,3,4,5,5,3,4,6,4,6,9,5,3,8,4,4,7,4,2,6,8,1,6,9,7,4,2,2,1,13,13,18,14,1,0,5,5,4,8,8,10,13,12,39,42,4,6,6,4,0,1,1,7,21,11,7,12,5,3,6,7,2,4,0,0,6,5,2,4,2,4,1,3,1,3,16,12,4,8,1,1,4,3,2,1,2,3,21,20,18,11,11,6,3,4,4,4,6,6,22,15,9,5,21,27,2,5,8,5,8,5,1,1,2,3,0,0,1,2,2,0,3,1,1,0,7,4,547,538,"1,085"
4,4,2,14,6,8,4,14,6,5,6,7,4,15,13,14,6,7,8,2,1,2,1,2,2,8,4,9,8,40,45,3,3,9,7,10,9,4,7,7,7,6,5,4,7,10,14,5,6,7,1,7,2,4,1,0,0,7,6,2,7,9,7,7,6,0,1,16,10,12,18,1,1,5,7,7,9,5,13,11,13,25,36,2,2,4,8,1,0,4,3,17,17,11,10,7,5,4,7,5,6,0,0,7,6,8,10,1,6,2,0,2,0,13,16,7,3,1,3,0,1,3,4,4,4,14,21,29,24,8,9,1,7,5,5,6,6,9,21,4,6,34,31,0,0,10,6,3,7,6,3,2,5,0,1,1,1,2,1,1,1,2,0,11,4,585,589,"1,174"
5,5,0,7,8,2,4,3,11,3,12,2,6,32,15,9,10,8,5,1,0,0,3,1,3,6,5,11,15,61,48,7,2,5,6,9,10,4,4,7,5,3,4,4,5,7,11,3,4,4,4,3,5,3,3,1,2,9,6,6,7,8,6,2,4,1,1,14,10,15,12,1,0,2,7,12,6,9,11,9,17,41,31,1,6,6,5,0,0,3,8,9,11,11,11,8,7,4,10,4,7,0,0,12,5,7,10,2,2,3,4,3,1,15,6,7,6,3,3,4,2,3,1,2,2,22,21,25,24,7,11,7,5,3,5,9,7,16,20,4,9,20,25,2,4,5,9,7,7,6,9,6,2,1,1,4,2,0,2,3,2,1,1,3,4,598,605,"1,203"
6,3,0,10,7,1,4,6,4,6,5,3,2,27,20,15,8,4,5,4,4,0,0,2,3,2,2,11,4,44,46,7,5,10,7,8,10,7,6,5,5,3,2,9,4,4,7,8,18,4,4,5,1,3,10,1,2,6,2,0,4,7,12,6,6,0,1,9,6,21,12,2,1,5,0,18,5,9,7,15,17,36,34,2,3,2,8,1,0,4,4,11,12,11,13,6,5,5,7,4,3,0,0,6,6,4,6,0,5,4,1,2,1,11,9,11,6,4,5,2,2,3,4,3,3,8,16,24,17,10,8,3,6,6,6,8,6,9,8,3,10,24,26,2,3,6,7,6,9,4,2,4,4,0,0,2,2,0,2,1,3,0,1,12,6,574,547,"1,121"
7,3,8,6,16,5,3,4,7,8,11,6,3,17,19,10,11,8,7,0,1,1,1,8,2,5,3,9,11,64,55,2,2,5,2,9,2,3,6,4,6,2,2,4,3,9,1,6,6,6,1,5,3,6,7,1,2,6,7,10,0,7,8,6,9,0,2,9,6,19,9,1,0,5,1,8,21,9,5,15,15,48,38,4,4,10,6,1,1,3,8,15,13,11,9,7,1,8,6,3,7,0,0,6,6,10,8,1,1,3,2,2,4,7,10,15,10,6,4,1,1,4,2,1,2,8,16,25,14,10,6,2,7,10,9,8,10,11,9,8,4,27,28,3,4,9,7,3,3,3,1,3,5,2,1,2,2,2,2,0,1,0,0,3,9,616,565,"1,181"
8,3,0,12,8,5,7,5,2,3,5,2,3,29,27,6,12,4,6,1,2,0,1,5,5,8,2,11,8,56,49,5,5,6,6,8,6,4,8,7,5,6,5,3,3,8,7,6,8,4,6,4,8,4,2,0,0,9,8,1,3,7,4,1,7,0,1,5,7,13,18,0,1,3,6,17,13,6,8,18,18,26,36,3,2,3,2,0,1,7,6,13,11,13,10,11,2,6,5,5,1,0,0,8,9,16,11,3,5,0,5,1,2,7,11,9,11,3,6,3,1,4,6,2,3,10,11,29,22,3,14,2,7,8,5,11,13,8,8,9,14,30,27,3,1,3,12,7,14,7,4,7,4,2,0,1,3,2,0,4,2,2,1,6,3,592,611,"1,203"
