年齢別人口　平成３１年３月１日現在,,,,
年齢,男,女,合計,
0,447,413,860,
1,544,493,"1,037",
2,552,540,"1,092",
3,554,547,"1,101",
4,576,586,"1,162",
5,607,608,"1,215",
6,555,544,"1,099",
7,627,575,"1,202",
8,609,606,"1,215",
9,641,618,"1,259",
小計,"5,712","5,530","11,242",
10,652,632,"1,284",
11,629,601,"1,230",
12,636,632,"1,268",
13,626,541,"1,167",
14,599,577,"1,176",
15,624,632,"1,256",
16,626,565,"1,191",
17,643,595,"1,238",
18,595,602,"1,197",
19,748,648,"1,396",
小計,"6,378","6,025","12,403",
20,733,722,"1,455",
21,820,732,"1,552",
22,829,793,"1,622",
23,820,753,"1,573",
24,781,785,"1,566",
25,747,723,"1,470",
26,692,683,"1,375",
27,692,631,"1,323",
28,701,631,"1,332",
29,628,655,"1,283",
小計,"7,443","7,108","14,551",
30,713,643,"1,356",
31,785,737,"1,522",
32,799,743,"1,542",
33,829,791,"1,620",
34,901,883,"1,784",
35,962,885,"1,847",
36,920,944,"1,864",
37,937,937,"1,874",
38,"1,069",918,"1,987",
39,"1,066",925,"1,991",
小計,"8,981","8,406","17,387",
40,"1,072","1,035","2,107",
41,"1,184","1,073","2,257",
42,"1,185","1,055","2,240",
43,"1,128","1,140","2,268",
44,"1,268","1,224","2,492",
45,"1,298","1,220","2,518",
46,"1,250","1,278","2,528",
47,"1,351","1,210","2,561",
48,"1,208","1,171","2,379",
49,"1,177","1,164","2,341",
小計,"12,121","11,570","23,691",
50,"1,249","1,183","2,432",
51,"1,193","1,061","2,254",
52,962,910,"1,872",
53,"1,062",981,"2,043",
54,"1,036","1,019","2,055",
55,943,886,"1,829",
56,914,898,"1,812",
57,872,849,"1,721",
58,787,804,"1,591",
59,768,784,"1,552",
小計,"9,786","9,375","19,161",
60,750,865,"1,615",
61,765,836,"1,601",
62,742,819,"1,561",
63,774,910,"1,684",
64,775,910,"1,685",
65,822,"1,008","1,830",
66,880,"1,037","1,917",
67,994,"1,103","2,097",
68,"1,000","1,202","2,202",
69,"1,150","1,396","2,546",
小計,"8,652","10,086","18,738",
70,"1,281","1,435","2,716",
71,"1,290","1,475","2,765",
72,917,"1,055","1,972",
73,752,870,"1,622",
74,894,"1,044","1,938",
75,948,"1,226","2,174",
76,931,"1,053","1,984",
77,880,"1,008","1,888",
78,778,976,"1,754",
79,686,804,"1,490",
小計,"9,357","10,946","20,303",
80,580,736,"1,316",
81,599,694,"1,293",
82,543,678,"1,221",
83,499,683,"1,182",
84,427,497,924,
85,369,518,887,
86,333,487,820,
87,239,401,640,
88,201,347,548,
89,163,293,456,
小計,"3,953","5,334","9,287",
90,119,284,403,
91,86,223,309,
92,71,188,259,
93,55,163,218,
94,33,123,156,
95,31,101,132,
96,18,63,81,
97,8,59,67,
98,7,50,57,
99,6,23,29,
小計,434,"1,277","1,711",
100以上,5,47,52,
合計,"72,822","75,704","148,526",
,,,,
