"年度","合計 利用登録者数[人]","合計 館外利用資料数","みなと 利用登録者数[人]","みなと 館外利用資料数","三田 利用登録者数[人]","三田 館外利用資料数","麻布 利用登録者数[人]","麻布 館外利用資料数","赤坂 利用登録者数[人]","赤坂 館外利用資料数","高輪 利用登録者数[人]","高輪 館外利用資料数","高輪分室 利用登録者数[人]","高輪分室 館外利用資料数","港南 利用登録者数[人]","港南 館外利用資料数"
"2014","178570","2405841","35990","407255","53924","561755","11809","251133","31069","378975","29515","450511","2056","74333","14207","281879"
"2015","164719","2382336","32136","369868","48676","536432","12526","316154","28122","362559","27176","438628","2551","81457","13532","277238"
"2016","128159","2396159","23595","360643","36411","538858","12555","328830","20830","361925","21034","435740","2933","84844","10801","285319"
"2017","109180","2386759","18987","344704","29458","531007","13175","339509","16899","361538","18323","430339","2669","91073","9669","288589"
"2018","99384","2316260","18268","339296","28305","522461","12148","343911","15858","350890","15694","387942","1397","87862","7714","283898"

"令和元年度港区行政資料集　施設利用状況一覧 図書館利用状況","Ver201903",,,,,,,,,,,,,,,
