地域階層,地域コード,東京都26町丁目コード,区市町村名称,町・大字名,丁目・字,地域名称,経営組織階層,経営組織コード,経営組織名称,従業者数（人）,従業者数／男（人）,従業者数／女（人）,従業者数／個人業主（人）,従業者数／個人業主／男（人）,従業者数／個人業主／女（人）,従業者数／無給の家族従業者（人）,従業者数／無給の家族従業者／男（人）,従業者数／無給の家族従業者／女（人）,従業者数／有給役員（人）,従業者数／有給役員／男（人）,従業者数／有給役員／女（人）,従業者数／雇用者（人）,従業者数／雇用者／男（人）,従業者数／雇用者／女（人）,従業者数／雇用者／常用雇用者（人）,従業者数／雇用者／常用雇用者／男（人）,従業者数／雇用者／常用雇用者／女（人）,従業者数／雇用者／常用雇用者／正社員・正職員（人）,従業者数／雇用者／常用雇用者／正社員・正職員／男（人）,従業者数／雇用者／常用雇用者／正社員・正職員／女（人）,従業者数／雇用者／常用雇用者／正社員・正職員以外（人）,従業者数／雇用者／常用雇用者／正社員・正職員以外／男（人）,従業者数／雇用者／常用雇用者／正社員・正職員以外／女（人）,従業者数／雇用者／臨時雇用者（人）,従業者数／雇用者／臨時雇用者／男（人）,従業者数／雇用者／臨時雇用者／女（人）,従業者数／（再掲）他への出向・派遣従業者（人）,従業者数／（再掲）他への出向・派遣従業者／男（人）,従業者数／（再掲）他への出向・派遣従業者／女（人）,他からの出向・派遣従業者（人）,他からの出向・派遣従業者／男（人）,他からの出向・派遣従業者／女（人）,事業従事者数（人）,事業従事者数／男（人）,事業従事者数／女（人）
4,13107,1310700000,墨田区,,,墨田区,1,1000,民営,170426,101553,68564,5085,3950,1134,1364,280,1084,13885,10355,3530,150092,86968,62816,143416,83961,59147,96608,66179,30131,46808,17782,29016,6676,3007,3669,2274,1425,849,7786,4032,3754,175938,104160,71469
4,13107,1310700000,墨田区,,,墨田区,2,1100,個人,13826,6895,6930,5085,3950,1134,1364,280,1084,-,-,-,7377,2665,4712,6748,2447,4301,3816,1527,2289,2932,920,2012,629,218,411,35,23,12,38,20,18,13829,6892,6936
4,13107,1310700000,墨田区,,,墨田区,3,1210,会社,142672,88099,54265,-,-,-,-,-,-,13308,9894,3414,129364,78205,50851,124108,75754,48046,83675,60108,23269,40433,15646,24777,5256,2451,2805,2088,1304,784,7432,3894,3538,148016,90689,57019
4,13107,1310700000,墨田区,,,墨田区,3,1220,会社以外の法人,13803,6503,7300,-,-,-,-,-,-,553,440,113,13250,6063,7187,12462,5728,6734,9053,4520,4533,3409,1208,2201,788,335,453,151,98,53,305,108,197,13957,6513,7444
4,13107,1310700000,墨田区,,,墨田区,2,1300,法人でない団体,125,56,69,-,-,-,-,-,-,24,21,3,101,35,66,98,32,66,64,24,40,34,8,26,3,3,-,-,-,-,11,10,1,136,66,70
5,13107,1310701200,墨田区,墨田区吾妻橋,,墨田区吾妻橋,1,1000,民営,6202,3487,2715,121,95,26,35,9,26,385,295,90,5661,3088,2573,5473,2979,2494,2796,2017,779,2677,962,1715,188,109,79,81,68,13,755,541,214,6876,3960,2916
5,13107,1310701200,墨田区,墨田区吾妻橋,,墨田区吾妻橋,2,1100,個人,412,190,222,121,95,26,35,9,26,-,-,-,256,86,170,233,79,154,115,45,70,118,34,84,23,7,16,-,-,-,-,-,-,412,190,222
5,13107,1310701200,墨田区,墨田区吾妻橋,,墨田区吾妻橋,3,1210,会社,5577,3188,2389,-,-,-,-,-,-,340,257,83,5237,2931,2306,5073,2830,2243,2562,1911,651,2511,919,1592,164,101,63,72,65,7,750,538,212,6255,3661,2594
5,13107,1310701200,墨田区,墨田区吾妻橋,,墨田区吾妻橋,3,1220,会社以外の法人,196,101,95,-,-,-,-,-,-,43,37,6,153,64,89,152,63,89,108,56,52,44,7,37,1,1,-,9,3,6,5,3,2,192,101,91
5,13107,1310701200,墨田区,墨田区吾妻橋,,墨田区吾妻橋,2,1300,法人でない団体,17,8,9,-,-,-,-,-,-,2,1,1,15,7,8,15,7,8,11,5,6,4,2,2,-,-,-,-,-,-,-,-,-,17,8,9
6,13107,1310701201,墨田区,墨田区吾妻橋,１丁目,墨田区吾妻橋１丁目,1,1000,民営,4052,2133,1919,45,36,9,18,5,13,186,157,29,3803,1935,1868,3735,1907,1828,1607,1168,439,2128,739,1389,68,28,40,37,30,7,708,508,200,4723,2611,2112
6,13107,1310701201,墨田区,墨田区吾妻橋,１丁目,墨田区吾妻橋１丁目,2,1100,個人,126,69,57,45,36,9,18,5,13,-,-,-,63,28,35,60,25,35,30,14,16,30,11,19,3,3,-,-,-,-,-,-,-,126,69,57
6,13107,1310701201,墨田区,墨田区吾妻橋,１丁目,墨田区吾妻橋１丁目,3,1210,会社,3790,1991,1799,-,-,-,-,-,-,159,134,25,3631,1857,1774,3566,1832,1734,1489,1107,382,2077,725,1352,65,25,40,28,27,1,704,506,198,4466,2470,1996
6,13107,1310701201,墨田区,墨田区吾妻橋,１丁目,墨田区吾妻橋１丁目,3,1220,会社以外の法人,119,65,54,-,-,-,-,-,-,25,22,3,94,43,51,94,43,51,77,42,35,17,1,16,-,-,-,9,3,6,4,2,2,114,64,50
6,13107,1310701201,墨田区,墨田区吾妻橋,１丁目,墨田区吾妻橋１丁目,2,1300,法人でない団体,17,8,9,-,-,-,-,-,-,2,1,1,15,7,8,15,7,8,11,5,6,4,2,2,-,-,-,-,-,-,-,-,-,17,8,9
6,13107,1310701202,墨田区,墨田区吾妻橋,２丁目,墨田区吾妻橋２丁目,1,1000,民営,1027,608,419,46,36,10,13,3,10,122,84,38,846,485,361,755,421,334,426,286,140,329,135,194,91,64,27,13,8,5,6,3,3,1020,603,417
6,13107,1310701202,墨田区,墨田区吾妻橋,２丁目,墨田区吾妻橋２丁目,2,1100,個人,148,55,93,46,36,10,13,3,10,-,-,-,89,16,73,77,16,61,30,10,20,47,6,41,12,-,12,-,-,-,-,-,-,148,55,93
6,13107,1310701202,墨田区,墨田区吾妻橋,２丁目,墨田区吾妻橋２丁目,3,1210,会社,820,522,298,-,-,-,-,-,-,109,71,38,711,451,260,633,388,245,368,262,106,265,126,139,78,63,15,13,8,5,6,3,3,813,517,296
6,13107,1310701202,墨田区,墨田区吾妻橋,２丁目,墨田区吾妻橋２丁目,3,1220,会社以外の法人,59,31,28,-,-,-,-,-,-,13,13,-,46,18,28,45,17,28,28,14,14,17,3,14,1,1,-,-,-,-,-,-,-,59,31,28
6,13107,1310701202,墨田区,墨田区吾妻橋,２丁目,墨田区吾妻橋２丁目,2,1300,法人でない団体,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,13107,1310701203,墨田区,墨田区吾妻橋,３丁目,墨田区吾妻橋３丁目,1,1000,民営,1123,746,377,30,23,7,4,1,3,77,54,23,1012,668,344,983,651,332,763,563,200,220,88,132,29,17,12,31,30,1,41,30,11,1133,746,387
6,13107,1310701203,墨田区,墨田区吾妻橋,３丁目,墨田区吾妻橋３丁目,2,1100,個人,138,66,72,30,23,7,4,1,3,-,-,-,104,42,62,96,38,58,55,21,34,41,17,24,8,4,4,-,-,-,-,-,-,138,66,72
6,13107,1310701203,墨田区,墨田区吾妻橋,３丁目,墨田区吾妻橋３丁目,3,1210,会社,967,675,292,-,-,-,-,-,-,72,52,20,895,623,272,874,610,264,705,542,163,169,68,101,21,13,8,31,30,1,40,29,11,976,674,302
6,13107,1310701203,墨田区,墨田区吾妻橋,３丁目,墨田区吾妻橋３丁目,3,1220,会社以外の法人,18,5,13,-,-,-,-,-,-,5,2,3,13,3,10,13,3,10,3,-,3,10,3,7,-,-,-,-,-,-,1,1,-,19,6,13
6,13107,1310701203,墨田区,墨田区吾妻橋,３丁目,墨田区吾妻橋３丁目,2,1300,法人でない団体,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,13107,1310700900,墨田区,墨田区石原,,墨田区石原,1,1000,民営,4445,2771,1674,187,153,34,44,7,37,587,433,154,3627,2178,1449,3253,1932,1321,2361,1530,831,892,402,490,374,246,128,11,3,8,33,22,11,4467,2790,1677
5,13107,1310700900,墨田区,墨田区石原,,墨田区石原,2,1100,個人,524,309,215,187,153,34,44,7,37,-,-,-,293,149,144,260,132,128,146,76,70,114,56,58,33,17,16,4,2,2,4,4,-,524,311,213
5,13107,1310700900,墨田区,墨田区石原,,墨田区石原,3,1210,会社,3576,2327,1249,-,-,-,-,-,-,584,430,154,2992,1897,1095,2652,1669,983,1916,1346,570,736,323,413,340,228,112,7,1,6,27,18,9,3596,2344,1252
5,13107,1310700900,墨田区,墨田区石原,,墨田区石原,3,1220,会社以外の法人,344,134,210,-,-,-,-,-,-,3,3,-,341,131,210,340,130,210,298,107,191,42,23,19,1,1,-,-,-,-,2,-,2,346,134,212
5,13107,1310700900,墨田区,墨田区石原,,墨田区石原,2,1300,法人でない団体,1,1,-,-,-,-,-,-,-,-,-,-,1,1,-,1,1,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-
6,13107,1310700901,墨田区,墨田区石原,１丁目,墨田区石原１丁目,1,1000,民営,844,526,318,40,32,8,12,2,10,149,111,38,643,381,262,632,376,256,452,293,159,180,83,97,11,5,6,1,-,1,9,8,1,852,534,318
