地域階層,地域コード,東京都26町丁目コード,区市町村名称,町・大字名,丁目・字,地域名称,資本金階級階層,資本金階級コード,資本金階級名称,A～R全産業（Ｓ公務を除く）／会社企業数,A～R全産業（Ｓ公務を除く）／企業従業者数（人）,A～B農林漁業／会社企業数,A～B農林漁業／企業従業者数（人）,A農業，林業／会社企業数,A農業，林業／企業従業者数（人）,B漁業／会社企業数,B漁業／企業従業者数（人）,C～R非農林漁業（Ｓ公務を除く）／会社企業数,C～R非農林漁業（Ｓ公務を除く）／企業従業者数（人）,C鉱業，採石業，砂利採取業／会社企業数,C鉱業，採石業，砂利採取業／企業従業者数（人）,D建設業／会社企業数,D建設業／企業従業者数（人）,E製造業／会社企業数,E製造業／企業従業者数（人）,F電気・ガス・熱供給・水道業／会社企業数,F電気・ガス・熱供給・水道業／企業従業者数（人）,G情報通信業／会社企業数,G情報通信業／企業従業者数（人）,H運輸業，郵便業／会社企業数,H運輸業，郵便業／企業従業者数（人）,I卸売業，小売業／会社企業数,I卸売業，小売業／企業従業者数（人）,J金融業，保険業／会社企業数,J金融業，保険業／企業従業者数（人）,K不動産業，物品賃貸業／会社企業数,K不動産業，物品賃貸業／企業従業者数（人）,L学術研究，専門・技術サービス業／会社企業数,L学術研究，専門・技術サービス業／企業従業者数（人）,M宿泊業，飲食サービス業／会社企業数,M宿泊業，飲食サービス業／企業従業者数（人）,N生活関連サービス業，娯楽業／会社企業数,N生活関連サービス業，娯楽業／企業従業者数（人）,O教育，学習支援業／会社企業数,O教育，学習支援業／企業従業者数（人）,P医療，福祉／会社企業数,P医療，福祉／企業従業者数（人）,Q複合サービス事業／会社企業数,Q複合サービス事業／企業従業者数（人）,Rサービス業（他に分類されないもの）／会社企業数,Rサービス業（他に分類されないもの）／企業従業者数（人）
4,13210,1321000000,小金井市,,,小金井市,0,00,総数（資本金階級）,1057,11839,2,20,2,20,-,-,1055,11819,-,-,143,1006,61,2026,-,-,39,431,10,553,271,2443,12,43,195,672,85,369,85,1066,65,1057,29,388,33,585,-,-,27,1180
4,13210,1321000000,小金井市,,,小金井市,1,01,資本金300万円未満,94,585,-,-,-,-,-,-,94,585,-,-,7,28,8,66,-,-,6,10,-,-,21,166,1,1,13,31,13,30,12,176,4,12,4,23,5,42,-,-,-,-
4,13210,1321000000,小金井市,,,小金井市,1,02,資本金300万～500万円未満,423,2098,-,-,-,-,-,-,423,2098,-,-,46,239,19,82,-,-,14,72,2,6,117,660,4,9,92,280,31,107,34,283,34,181,8,46,13,98,-,-,9,35
4,13210,1321000000,小金井市,,,小金井市,1,03,資本金500万～1000万円未満,111,897,-,-,-,-,-,-,111,897,-,-,13,71,3,4,-,-,3,5,1,26,32,305,-,-,13,51,10,52,12,126,9,82,4,45,6,64,-,-,5,66
4,13210,1321000000,小金井市,,,小金井市,1,04,資本金1000万～3000万円未満,330,3815,2,20,2,20,-,-,328,3795,-,-,58,473,21,290,-,-,14,329,6,505,80,796,7,33,65,234,27,142,16,187,11,142,7,144,6,342,-,-,10,178
4,13210,1321000000,小金井市,,,小金井市,1,05,資本金3000万～5000万円未満,20,1132,-,-,-,-,-,-,20,1132,-,-,6,63,3,35,-,-,-,-,-,-,6,79,-,-,3,5,-,-,-,-,-,-,1,77,-,-,-,-,1,873
4,13210,1321000000,小金井市,,,小金井市,1,06,資本金5000万～1億円未満,13,1444,-,-,-,-,-,-,13,1444,-,-,3,71,3,801,-,-,1,1,1,16,1,4,-,-,2,9,1,6,-,-,1,536,-,-,-,-,-,-,-,-
4,13210,1321000000,小金井市,,,小金井市,1,07,資本金1億～3億円未満,4,363,-,-,-,-,-,-,4,363,-,-,2,10,1,161,-,-,-,-,-,-,1,192,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13210,1321000000,小金井市,,,小金井市,1,08,資本金3億～10億円未満,3,619,-,-,-,-,-,-,3,619,-,-,-,-,2,586,-,-,-,-,-,-,-,-,-,-,1,33,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13210,1321000000,小金井市,,,小金井市,1,09,資本金10億～50億円未満,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
