地域階層,地域コード,東京都26町丁目コード,区市町村名称,町・大字名,丁目・字,地域名称,経営組織階層,経営組織コード,経営組織名称,従業者数（人）,従業者数／男（人）,従業者数／女（人）,従業者数／個人業主（人）,従業者数／個人業主／男（人）,従業者数／個人業主／女（人）,従業者数／無給の家族従業者（人）,従業者数／無給の家族従業者／男（人）,従業者数／無給の家族従業者／女（人）,従業者数／有給役員（人）,従業者数／有給役員／男（人）,従業者数／有給役員／女（人）,従業者数／雇用者（人）,従業者数／雇用者／男（人）,従業者数／雇用者／女（人）,従業者数／雇用者／常用雇用者（人）,従業者数／雇用者／常用雇用者／男（人）,従業者数／雇用者／常用雇用者／女（人）,従業者数／雇用者／常用雇用者／正社員・正職員（人）,従業者数／雇用者／常用雇用者／正社員・正職員／男（人）,従業者数／雇用者／常用雇用者／正社員・正職員／女（人）,従業者数／雇用者／常用雇用者／正社員・正職員以外（人）,従業者数／雇用者／常用雇用者／正社員・正職員以外／男（人）,従業者数／雇用者／常用雇用者／正社員・正職員以外／女（人）,従業者数／雇用者／臨時雇用者（人）,従業者数／雇用者／臨時雇用者／男（人）,従業者数／雇用者／臨時雇用者／女（人）,従業者数／（再掲）他への出向・派遣従業者（人）,従業者数／（再掲）他への出向・派遣従業者／男（人）,従業者数／（再掲）他への出向・派遣従業者／女（人）,他からの出向・派遣従業者（人）,他からの出向・派遣従業者／男（人）,他からの出向・派遣従業者／女（人）,事業従事者数（人）,事業従事者数／男（人）,事業従事者数／女（人）
4,13103,1310300000,港区,,,港区,1,1000,民営,1002027,651054,348824,5253,3999,1254,742,177,565,43795,35698,8097,952237,611180,338908,924239,598029,324061,736911,517345,217417,187328,80684,106644,27998,13151,14847,61643,45712,15931,79472,47638,31834,1019856,652980,364727
4,13103,1310300000,港区,,,港区,2,1100,個人,20774,9818,10956,5253,3999,1254,742,177,565,-,-,-,14779,5642,9137,13693,5289,8404,8521,3756,4765,5172,1533,3639,1086,353,733,68,39,29,260,137,123,20966,9916,11050
4,13103,1310300000,港区,,,港区,3,1210,会社,906994,601948,302897,-,-,-,-,-,-,39871,32297,7574,867123,569651,295323,844020,558863,283008,680803,488415,190239,163217,70448,92769,23103,10788,12315,60148,44534,15614,74369,44818,29551,921215,602232,316834
4,13103,1310300000,港区,,,港区,3,1220,会社以外の法人,73107,38647,34460,-,-,-,-,-,-,3762,3255,507,69345,35392,33953,65573,33402,32171,46923,24802,22121,18650,8600,10050,3772,1990,1782,1421,1133,288,4667,2549,2118,76353,40063,36290
4,13103,1310300000,港区,,,港区,2,1300,法人でない団体,1152,641,511,-,-,-,-,-,-,162,146,16,990,495,495,953,475,478,664,372,292,289,103,186,37,20,17,6,6,-,176,134,42,1322,769,553
5,13103,1310302200,港区,港区赤坂,,港区赤坂,1,1000,民営,117751,75392,41850,632,470,162,88,19,69,5388,4450,938,111643,70453,40681,108759,69309,38941,88265,60879,26877,20494,8430,12064,2884,1144,1740,7214,5026,2188,12537,7147,5390,123074,77513,45052
5,13103,1310302200,港区,港区赤坂,,港区赤坂,2,1100,個人,2737,1289,1448,632,470,162,88,19,69,-,-,-,2017,800,1217,1898,755,1143,1193,540,653,705,215,490,119,45,74,11,6,5,47,23,24,2773,1306,1467
5,13103,1310302200,港区,港区赤坂,,港区赤坂,3,1210,会社,109511,71218,37784,-,-,-,-,-,-,4901,4005,896,104610,67213,36888,102094,66273,35312,83242,58452,24281,18852,7821,11031,2516,940,1576,7138,4970,2168,11796,6799,4997,114169,73047,40613
5,13103,1310302200,港区,港区赤坂,,港区赤坂,3,1220,会社以外の法人,5341,2794,2547,-,-,-,-,-,-,476,435,41,4865,2359,2506,4619,2200,2419,3743,1847,1896,876,353,523,246,159,87,65,50,15,677,314,363,5953,3058,2895
5,13103,1310302200,港区,港区赤坂,,港区赤坂,2,1300,法人でない団体,162,91,71,-,-,-,-,-,-,11,10,1,151,81,70,148,81,67,87,40,47,61,41,20,3,-,3,-,-,-,17,11,6,179,102,77
