地域階層,地域コード,東京都26町丁目コード,区市町村名称,町・大字名,丁目・字,地域名称,資本金階級階層,資本金階級コード,資本金階級名称,A～R全産業（Ｓ公務を除く）／会社企業数,A～R全産業（Ｓ公務を除く）／企業従業者数（人）,A～B農林漁業／会社企業数,A～B農林漁業／企業従業者数（人）,A農業，林業／会社企業数,A農業，林業／企業従業者数（人）,B漁業／会社企業数,B漁業／企業従業者数（人）,C～R非農林漁業（Ｓ公務を除く）／会社企業数,C～R非農林漁業（Ｓ公務を除く）／企業従業者数（人）,C鉱業，採石業，砂利採取業／会社企業数,C鉱業，採石業，砂利採取業／企業従業者数（人）,D建設業／会社企業数,D建設業／企業従業者数（人）,E製造業／会社企業数,E製造業／企業従業者数（人）,F電気・ガス・熱供給・水道業／会社企業数,F電気・ガス・熱供給・水道業／企業従業者数（人）,G情報通信業／会社企業数,G情報通信業／企業従業者数（人）,H運輸業，郵便業／会社企業数,H運輸業，郵便業／企業従業者数（人）,I卸売業，小売業／会社企業数,I卸売業，小売業／企業従業者数（人）,J金融業，保険業／会社企業数,J金融業，保険業／企業従業者数（人）,K不動産業，物品賃貸業／会社企業数,K不動産業，物品賃貸業／企業従業者数（人）,L学術研究，専門・技術サービス業／会社企業数,L学術研究，専門・技術サービス業／企業従業者数（人）,M宿泊業，飲食サービス業／会社企業数,M宿泊業，飲食サービス業／企業従業者数（人）,N生活関連サービス業，娯楽業／会社企業数,N生活関連サービス業，娯楽業／企業従業者数（人）,O教育，学習支援業／会社企業数,O教育，学習支援業／企業従業者数（人）,P医療，福祉／会社企業数,P医療，福祉／企業従業者数（人）,Q複合サービス事業／会社企業数,Q複合サービス事業／企業従業者数（人）,Rサービス業（他に分類されないもの）／会社企業数,Rサービス業（他に分類されないもの）／企業従業者数（人）
4,13103,1310300000,港区,,,港区,0,00,総数（資本金階級）,18919,2017044,17,197,15,184,2,13,18902,2016847,40,1743,634,109388,1144,444669,36,10765,2422,215856,477,103929,4151,295319,564,74886,2172,59976,2485,71500,2003,257038,1111,60333,256,11124,238,24892,-,-,1169,275429
4,13103,1310300000,港区,,,港区,1,01,資本金300万円未満,840,6260,1,1,1,1,-,-,839,6259,1,10,8,35,21,212,1,1,116,899,7,20,137,1558,29,147,71,192,187,791,121,1229,58,400,20,96,14,171,-,-,48,498
4,13103,1310300000,港区,,,港区,1,02,資本金300万～500万円未満,3145,19488,2,6,2,6,-,-,3143,19482,-,-,78,307,154,679,1,34,275,1688,22,128,617,3588,51,144,425,1222,437,1617,605,5917,239,1823,50,454,53,459,-,-,136,1422
4,13103,1310300000,港区,,,港区,1,03,資本金500万～1000万円未満,1190,10869,2,11,2,11,-,-,1188,10858,-,-,21,113,41,260,-,-,121,1002,18,347,236,2646,32,207,140,529,170,984,201,2068,95,659,25,429,25,563,-,-,63,1051
4,13103,1310300000,港区,,,港区,1,04,資本金1000万～3000万円未満,7083,186608,3,56,3,56,-,-,7080,186552,3,2,288,3572,363,11586,3,4,1027,20288,167,6014,1615,31809,135,1063,988,6527,1058,11174,470,56566,348,8020,90,2690,47,4092,-,-,478,23145
4,13103,1310300000,港区,,,港区,1,05,資本金3000万～5000万円未満,1204,116129,2,23,2,23,-,-,1202,116106,-,-,50,1640,84,28373,1,6,193,7217,51,2552,327,13931,22,416,112,1075,127,3596,59,12018,57,2795,6,148,5,383,-,-,108,41956
4,13103,1310300000,港区,,,港区,1,06,資本金5000万～1億円未満,1387,145811,2,18,2,18,-,-,1385,145793,-,-,55,6436,99,14435,1,7,184,14302,65,9810,384,26580,59,1490,141,4241,150,11267,45,5438,75,8572,9,1668,11,4770,-,-,107,36777
4,13103,1310300000,港区,,,港区,1,07,資本金1億～3億円未満,1017,268230,1,11,-,-,1,11,1016,268219,2,8,42,13432,91,26125,8,373,162,25038,48,6975,231,64627,62,2433,106,7251,97,7420,39,32273,31,16534,11,3383,6,2808,-,-,80,59539
4,13103,1310300000,港区,,,港区,1,08,資本金3億～10億円未満,644,209215,-,-,-,-,-,-,644,209215,5,50,28,12505,70,18344,9,203,121,37536,32,6077,153,42517,67,4206,32,7096,62,11854,14,50445,11,5036,3,974,5,172,-,-,32,12200
4,13103,1310300000,港区,,,港区,1,09,資本金10億～50億円未満,365,213840,-,-,-,-,-,-,365,213840,12,19,16,11725,60,30051,4,408,63,43135,22,11189,70,32263,35,3537,35,17213,24,2714,10,42471,7,10656,1,190,-,-,-,-,6,8269
