地域階層,地域コード,地域名,産業分類階層,大分類,分類名,総数／事業所数（事業所）,総数／従業者数／総数（人）,総数／売上（収入）金額（百万円）,従業者規模別／1～4人／事業所数（事業所）,従業者規模別／1～4人／従業者数（人）,従業者規模別／1～4人／売上（収入）金額（百万円）,従業者規模別／5～9人／事業所数（事業所）,従業者規模別／5～9人／従業者数（人）,従業者規模別／5～9人／売上（収入）金額（百万円）,従業者規模別／10～19人／事業所数（事業所）,従業者規模別／10～19人／従業者数（人）,従業者規模別／10～19人／売上（収入）金額（百万円）,従業者規模別／20～29人／事業所数（事業所）,従業者規模別／20～29人／従業者数（人）,従業者規模別／20～29人／売上（収入）金額（百万円）,従業者規模別／30～49人／事業所数（事業所）,従業者規模別／30～49人／従業者数（人）,従業者規模別／30～49人／売上（収入）金額（百万円）,従業者規模別／50人以上／事業所数（事業所）,従業者規模別／50人以上／従業者数（人）,従業者規模別／50人以上／売上（収入）金額（百万円）,従業者規模別／出向・派遣従業員のみ／事業所数（事業所）,従業者規模別／出向・派遣従業員のみ／従業者数（人）,従業者規模別／出向・派遣従業員のみ／売上（収入）金額（百万円）
1,13100,区部,1,H,運輸業，郵便業,5754,64562,…,3951,5552,…,617,4190,…,522,7191,…,246,5931,…,165,6223,…,240,35475,…,13,-,…
1,13100,区部,1,I,卸売業，小売業,97293,1360899,177827272,50706,118204,4166257,20661,135280,7762116,13683,186149,12679775,4900,115944,8711025,3104,117170,10496571,3812,688152,133290512,427,-,721017
1,13100,区部,1,J,金融業，保険業,2785,28957,…,1650,3653,…,509,3291,…,269,3517,…,93,2176,…,77,2910,…,100,13410,…,87,-,…
1,13100,区部,1,K,不動産業，物品賃貸業,36941,229542,13645876,29113,57212,1131868,4679,29216,1069181,1595,21149,986231,479,11216,637040,332,12404,823038,503,98345,8944013,240,-,54505
1,13100,区部,1,L,学術研究，専門・技術サービス業,27122,324178,13105967,16770,37364,619383,5478,35168,816636,2512,33413,849444,755,18016,723680,588,22248,1197830,890,177969,8807532,129,-,91462
1,13100,区部,1,M,宿泊業，飲食サービス業,49459,485799,3109600,25707,58114,362294,10552,69500,434715,7212,98397,648293,3136,74413,435924,1889,70017,343437,869,115358,879629,94,-,5308
1,13100,区部,1,N,生活関連サービス業，娯楽業,25234,179711,6459894,17997,37087,511312,3739,23893,416317,1772,23926,729559,644,15287,463538,511,19360,682381,430,60158,3624544,141,-,32243
1,13100,区部,1,O,教育，学習支援業,7997,94443,…,4222,8203,…,1442,9618,…,1179,16274,…,505,11905,…,334,12355,…,280,36088,…,35,-,…
1,13100,区部,2,O1,教育，学習支援業（学校教育）,540,17187,…,16,43,…,77,574,…,199,2750,…,96,2292,…,64,2373,…,87,9155,…,1,-,…
1,13100,区部,2,O2,教育，学習支援業（その他の教育，学習支援業）,7457,77256,584068,4206,8160,46966,1365,9044,56145,980,13524,81971,409,9613,60507,270,9982,59183,193,26933,276255,34,-,3041
1,13100,区部,1,P,医療，福祉,26346,432906,32735193,10543,25507,341742,7876,52171,671220,4218,56142,851191,1323,31461,749515,1154,43535,846078,1175,224090,29110340,57,-,165107
1,13100,区部,1,Q,複合サービス事業,163,1326,…,87,174,…,22,148,…,34,495,…,5,106,…,3,101,…,4,302,…,8,-,…
1,13100,区部,2,Q1,複合サービス事業（郵便局）,5,28,…,2,4,…,2,11,…,1,13,…,-,-,…,-,-,…,-,-,…,-,-,…
1,13100,区部,2,Q2,複合サービス事業（協同組合）,158,1298,27953,85,170,2776,20,137,5260,33,482,10037,5,106,2527,3,101,1470,4,302,5324,8,-,558
1,13100,区部,1,R,サービス業（他に分類されないもの）,21848,664496,…,10097,23027,…,4233,27716,…,2750,37275,…,1185,28190,…,1127,42846,…,2172,505442,…,284,-,…
1,13100,区部,2,R1,サービス業（政治・経済・文化団体，宗教）,5850,34271,…,3838,8821,…,1177,7486,…,414,5399,…,134,3158,…,77,2888,…,56,6519,…,154,-,…
1,13100,区部,2,R2,サービス業（政治・経済・文化団体，宗教を除く）,15998,630225,8158471,6259,14206,313829,3056,20230,468289,2336,31876,607635,1051,25032,564912,1050,39958,738283,2116,498923,5433689,130,-,31833
4,13101,千代田区,1,A～B,農林漁業（Ａ～Ｂ）,6,32,1515,4,11,x,1,6,x,1,15,x,-,-,-,-,-,-,-,-,-,-,-,-
4,13101,千代田区,1,C,鉱業，採石業，砂利採取業,20,375,45595,5,10,3751,9,54,1635,2,26,x,1,21,x,1,34,x,1,230,x,1,-,x
4,13101,千代田区,1,D,建設業,281,2543,…,109,277,…,79,515,…,67,877,…,10,221,…,10,391,…,4,262,…,2,-,…
4,13101,千代田区,1,E,製造業,966,44786,480271,370,899,48338,232,1519,61182,129,1747,51981,54,1295,33822,69,2691,76965,100,36635,207142,12,-,841
4,13101,千代田区,1,F,電気・ガス・熱供給・水道業,9,71,…,4,6,…,3,21,…,-,-,…,2,44,…,-,-,…,-,-,…,-,-,…
4,13101,千代田区,1,G,情報通信業,1905,64206,…,585,1460,…,403,2698,…,330,4491,…,175,4239,…,154,5896,…,248,45422,…,10,-,…
4,13101,千代田区,2,G1,情報通信業（通信業，放送業，映像・音声・文字情報制作業）,672,8049,…,297,726,…,167,1073,…,104,1407,…,40,965,…,35,1332,…,26,2546,…,3,-,…
4,13101,千代田区,2,G2,情報通信業（情報サービス業，インターネット附随サービス業）,1233,56157,1551120,288,734,17382,236,1625,44654,226,3084,58178,135,3274,45359,119,4564,77601,222,42876,1305883,7,-,2063
4,13101,千代田区,1,H,運輸業，郵便業,71,916,…,23,54,…,23,160,…,12,151,…,6,144,…,2,76,…,3,331,…,2,-,…
4,13101,千代田区,1,I,卸売業，小売業,6305,147771,53185546,2450,6292,458215,1574,10329,1131782,1075,14360,1406936,424,10113,1587470,305,11643,1552894,426,95034,46997968,51,-,50280
4,13101,千代田区,1,J,金融業，保険業,442,8386,…,188,437,…,77,516,…,70,918,…,32,755,…,21,807,…,29,4953,…,25,-,…
4,13101,千代田区,1,K,不動産業，物品賃貸業,1824,30319,2897068,1153,2489,176169,334,2133,86722,134,1780,95703,56,1321,93673,38,1446,136103,88,21150,2290806,21,-,17890
4,13101,千代田区,1,L,学術研究，専門・技術サービス業,3592,65177,3364504,1957,4450,107445,730,4768,338407,425,5697,121669,163,3922,113210,102,3905,358801,191,42435,2314739,24,-,10233
4,13101,千代田区,1,M,宿泊業，飲食サービス業,2781,43923,395924,789,2079,16398,710,4756,39282,705,9750,89675,328,7779,51170,168,6236,33113,75,13323,165974,6,-,313
