地域階層,地域コード,地域名,産業分類階層,大分類,産業分類名,企業等／総数／企業数（企業）,企業等／総数／事業所数（事業所）,企業等／総数／企業従業者数（人）,企業等／総数／売上（収入）金額（百万円）,個人経営／企業数（企業）,個人経営／事業所数（事業所）,個人経営／企業従業者数（人）,個人経営／売上（収入）金額（百万円）,法人／会社企業／総数／企業数（企業）,法人／会社企業／総数／事業所数（事業所）,法人／会社企業／総数／企業従業者数（人）,法人／会社企業／総数／売上（収入）金額（百万円）,法人／会社企業／資本金階級／300万円未満／企業数（企業）,法人／会社企業／資本金階級／300万円未満／事業所数（事業所）,法人／会社企業／資本金階級／300万円未満／企業従業者数（人）,法人／会社企業／資本金階級／300万円未満／売上（収入）金額（百万円）,法人／会社企業／資本金階級／300万～500万円未満／企業数（企業）,法人／会社企業／資本金階級／300万～500万円未満／事業所数（事業所）,法人／会社企業／資本金階級／300万～500万円未満／企業従業者数（人）,法人／会社企業／資本金階級／300万～500万円未満／売上（収入）（百万円）,法人／会社企業／資本金階級／500万～1000万円未満／企業数（企業）,法人／会社企業／資本金階級／500万～1000万円未満／事業所数（事業所）,法人／会社企業／資本金階級／500万～1000万円未満／企業従業者数（人）,法人／会社企業／資本金階級／500万～1000万円未満／売上（収入）（百万円）,法人／会社企業／資本金階級／1000万～3000万円未満／企業数（企業）,法人／会社企業／資本金階級／1000万～3000万円未満／事業所数（事業所）,法人／会社企業／資本金階級／1000万～3000万円未満／企業従業者数（人）,法人／会社企業／資本金階級／1000万～3000万円未満／売上（収入）（百万円）,法人／会社企業／資本金階級／3000万～5000万円未満／企業数（企業）,法人／会社企業／資本金階級／3000万～5000万円未満／事業所数（事業所）,法人／会社企業／資本金階級／3000万～5000万円未満／企業従業者数（人）,法人／会社企業／資本金階級／3000万～5000万円未満／売上（収入）（百万円）,法人／会社企業／資本金階級／5000万～1億円未満／企業数（企業）,法人／会社企業／資本金階級／5000万～1億円未満／事業所数（事業所）,法人／会社企業／資本金階級／5000万～1億円未満／企業従業者数（人）,法人／会社企業／資本金階級／5000万～1億円未満／売上（収入）（百万円）,法人／会社企業／資本金階級／1億円～3億円未満／企業数（企業）,法人／会社企業／資本金階級／1億円～3億円未満／事業所数（事業所）,法人／会社企業／資本金階級／1億円～3億円未満／企業従業者数（人）,法人／会社企業／資本金階級／1億円～3億円未満／売上（収入）（百万円）,法人／会社企業／資本金階級／3億円～10億円未満／企業数（企業）,法人／会社企業／資本金階級／3億円～10億円未満／事業所数（事業所）,法人／会社企業／資本金階級／3億円～10億円未満／企業従業者数（人）,法人／会社企業／資本金階級／3億円～10億円未満／売上（収入）（百万円）,法人／会社企業／資本金階級／10億円～50億円未満／企業数（企業）,法人／会社企業／資本金階級／10億円～50億円未満／事業所数（事業所）,法人／会社企業／資本金階級／10億円～50億円未満／企業従業者数（人）,法人／会社企業／資本金階級／10億円～50億円未満／売上（収入）（百万円）,法人／会社企業／資本金階級／50億円以上／企業数（企業）,法人／会社企業／資本金階級／50億円以上／事業所数（事業所）,法人／会社企業／資本金階級／50億円以上／企業従業者数（人）,法人／会社企業／資本金階級／50億円以上／売上（収入）（百万円）,法人／会社以外の法人／企業数（企業）,法人／会社以外の法人／事業所数（事業所）,法人／会社以外の法人／企業従業者数（人）,法人／会社以外の法人／売上（収入）金額（百万円）
0,13000,東京都,0,A-R,全産業（Ｓ公務を除く）,369462,725242,12790971,666408996,143202,144208,417093,2484522,206613,538351,11060287,563383315,11913,13162,77063,928772,64325,69952,357962,3971801,19905,22901,149780,2265223,78284,121242,1430388,28685796,9844,31522,551402,16714227,8871,47859,1015279,28129597,4499,64160,1457716,41387702,2520,34526,973505,41977949,1408,42071,1035991,63053813,1116,86901,3988360,335935462,19647,42683,1313591,100541159
0,13000,東京都,0,A-B,農林漁業（Ａ～Ｂ）,348,512,5716,x,-,-,-,-,323,450,5111,x,24,26,120,766,130,133,886,6383,44,45,293,x,90,106,999,14480,9,9,121,x,13,52,851,14422,8,37,573,21226,3,25,322,x,2,17,946,x,-,-,-,-,25,62,605,x
0,13000,東京都,1,A,農業，林業,338,502,5643,x,-,-,-,-,315,442,5055,x,24,26,120,766,128,131,873,x,43,44,277,2070,87,103,987,13268,9,9,121,x,12,51,847,x,7,36,562,x,3,25,322,x,2,17,946,x,-,-,-,-,23,60,588,x
0,13000,東京都,1,B,漁業,10,10,73,x,-,-,-,-,8,8,56,x,-,-,-,-,2,2,13,x,1,1,16,x,3,3,12,1212,-,-,-,-,1,1,4,x,1,1,11,x,-,-,-,-,-,-,-,-,-,-,-,-,2,2,17,x
0,13000,東京都,1,C,鉱業，採石業，砂利採取業,70,151,4300,x,1,4,36,x,69,147,4264,x,-,-,-,-,4,6,23,x,1,2,41,x,17,26,141,x,1,7,71,x,4,10,102,11125,7,24,329,13822,3,6,143,x,13,13,47,x,19,53,3367,x,-,-,-,-
0,13000,東京都,1,D,建設業,29388,43732,511515,25870210,5089,5099,11717,x,24267,38594,499570,25783721,818,861,3933,51681,8252,8377,38157,487946,2648,2706,15031,213255,9737,10896,98787,2273978,1224,2053,28798,937978,781,2667,44607,1914647,256,2181,42331,1887530,107,1707,36791,1988019,64,2682,53280,3804781,49,4105,135724,12142416,32,39,228,x
0,13000,東京都,1,E,製造業,37430,66473,2137770,145398696,8772,8805,18832,70008,28610,57605,2113821,145248239,725,773,3759,46364,8987,9423,41844,457402,2633,2857,15166,182051,11504,15267,181089,3319103,1469,3436,97280,3635223,1269,4226,120360,3921786,625,3793,132373,6029261,397,3482,135004,6892977,326,4177,188914,11060894,352,9842,1196506,109679411,48,63,5117,80449
0,13000,東京都,1,F,電気・ガス・熱供給・水道業,107,935,57005,9749973,-,-,-,-,107,935,57005,9749973,5,5,5,72,2,5,35,x,2,3,7,x,18,39,495,9080,5,34,289,x,9,29,332,9139,25,228,3419,106458,25,69,1201,326860,6,48,716,111134,9,474,50492,9181377,-,-,-,-
0,13000,東京都,1,G,情報通信業,13972,21727,831456,37015395,228,229,503,x,13571,20968,809515,x,1097,1135,5574,67307,2474,2561,12212,133799,1000,1061,8052,99977,5807,6666,112365,1711217,919,1356,48200,687880,894,1924,77675,1634569,593,1627,103218,2893498,375,1764,113005,3053628,160,1419,100498,5884688,73,1276,227780,20003246,173,530,21438,828209
0,13000,東京都,1,H,運輸業，郵便業,8137,24523,765474,23883145,3709,3711,4734,x,4337,20473,756008,21930475,97,110,1203,7544,726,785,7401,61782,460,553,9106,96413,1959,3476,93165,1054789,334,908,34398,394391,346,2407,74497,1424933,184,1668,51293,1272974,105,1456,42954,2060399,62,1374,44792,2004284,40,7710,396993,13541654,91,339,4732,x
0,13000,東京都,1,I,卸売業，小売業,79669,171352,2099821,194983649,26389,26663,80477,628189,52836,143026,1994684,187044245,2616,3032,21057,354581,15905,18038,92794,1569604,4918,5968,34169,1103242,21196,36970,300348,13336295,2610,9625,113939,8105700,2372,16462,227422,13473243,1057,16244,299292,19500773,661,12237,206876,20879147,286,15116,278383,28805888,151,8240,413594,79792981,444,1663,24660,7311214
0,13000,東京都,1,J,金融業，保険業,3953,27725,801494,97340579,274,275,544,4157,3404,24929,740120,66745682,239,253,958,16190,860,911,3492,40111,215,240,1073,12676,926,1395,10157,218913,137,273,2602,59987,204,443,6874,190732,225,953,18516,665205,234,836,24059,822529,145,1779,39350,1720402,176,17803,632834,62990713,275,2521,60830,30590740
