地域階層,地域コード,東京都26町丁目コード,区市町村名称,町・大字名,丁目・字,地域名称,経営組織階層,経営組織コード,経営組織名称,従業者数（人）,従業者数／男（人）,従業者数／女（人）,従業者数／個人業主（人）,従業者数／個人業主／男（人）,従業者数／個人業主／女（人）,従業者数／無給の家族従業者（人）,従業者数／無給の家族従業者／男（人）,従業者数／無給の家族従業者／女（人）,従業者数／有給役員（人）,従業者数／有給役員／男（人）,従業者数／有給役員／女（人）,従業者数／雇用者（人）,従業者数／雇用者／男（人）,従業者数／雇用者／女（人）,従業者数／雇用者／常用雇用者（人）,従業者数／雇用者／常用雇用者／男（人）,従業者数／雇用者／常用雇用者／女（人）,従業者数／雇用者／常用雇用者／正社員・正職員（人）,従業者数／雇用者／常用雇用者／正社員・正職員／男（人）,従業者数／雇用者／常用雇用者／正社員・正職員／女（人）,従業者数／雇用者／常用雇用者／正社員・正職員以外（人）,従業者数／雇用者／常用雇用者／正社員・正職員以外／男（人）,従業者数／雇用者／常用雇用者／正社員・正職員以外／女（人）,従業者数／雇用者／臨時雇用者（人）,従業者数／雇用者／臨時雇用者／男（人）,従業者数／雇用者／臨時雇用者／女（人）,従業者数／（再掲）他への出向・派遣従業者（人）,従業者数／（再掲）他への出向・派遣従業者／男（人）,従業者数／（再掲）他への出向・派遣従業者／女（人）,他からの出向・派遣従業者（人）,他からの出向・派遣従業者／男（人）,他からの出向・派遣従業者／女（人）,事業従事者数（人）,事業従事者数／男（人）,事業従事者数／女（人）
4,13116,1311600000,豊島区,,,豊島区,1,1000,民営,271272,158955,112234,4696,3453,1243,1067,225,842,16172,12026,4146,249337,143251,106003,230993,134042,96868,136636,92676,43889,94357,41366,52979,18344,9209,9135,10107,6178,3929,21891,9917,11955,283056,162694,120260
4,13116,1311600000,豊島区,,,豊島区,2,1100,個人,15044,7135,7909,4696,3453,1243,1067,225,842,-,-,-,9281,3457,5824,8366,3121,5245,4371,1785,2586,3995,1336,2659,915,336,579,64,34,30,68,19,49,15048,7120,7928
4,13116,1311600000,豊島区,,,豊島区,3,1210,会社,229597,139054,90460,-,-,-,-,-,-,14984,11121,3863,214613,127933,86597,199825,120215,79527,118359,83937,34351,81466,36278,45176,14788,7718,7070,9965,6118,3847,21205,9670,11516,240837,142606,98129
4,13116,1311600000,豊島区,,,豊島区,3,1220,会社以外の法人,26218,12521,13697,-,-,-,-,-,-,1135,864,271,25083,11657,13426,22456,10511,11945,13617,6781,6836,8839,3730,5109,2627,1146,1481,78,26,52,612,223,389,26752,12718,14034
4,13116,1311600000,豊島区,,,豊島区,2,1300,法人でない団体,413,245,168,-,-,-,-,-,-,53,41,12,360,204,156,346,195,151,289,173,116,57,22,35,14,9,5,-,-,-,6,5,1,419,250,169
5,13116,1311601000,豊島区,豊島区池袋,,豊島区池袋,1,1000,民営,19380,11815,7565,467,326,141,100,23,77,1704,1274,430,17109,10192,6917,16447,9877,6570,10449,7102,3347,5998,2775,3223,662,315,347,383,279,104,400,263,137,19397,11799,7598
5,13116,1311601000,豊島区,豊島区池袋,,豊島区池袋,2,1100,個人,1633,712,921,467,326,141,100,23,77,-,-,-,1066,363,703,971,346,625,544,234,310,427,112,315,95,17,78,4,2,2,4,2,2,1633,712,921
5,13116,1311601000,豊島区,豊島区池袋,,豊島区池袋,3,1210,会社,16417,10503,5914,-,-,-,-,-,-,1639,1228,411,14778,9275,5503,14278,8997,5281,9036,6438,2598,5242,2559,2683,500,278,222,375,273,102,370,244,126,16412,10474,5938
5,13116,1311601000,豊島区,豊島区池袋,,豊島区池袋,3,1220,会社以外の法人,1327,597,730,-,-,-,-,-,-,65,46,19,1262,551,711,1195,531,664,869,430,439,326,101,225,67,20,47,4,4,-,26,17,9,1349,610,739
5,13116,1311601000,豊島区,豊島区池袋,,豊島区池袋,2,1300,法人でない団体,3,3,-,-,-,-,-,-,-,-,-,-,3,3,-,3,3,-,-,-,-,3,3,-,-,-,-,-,-,-,-,-,-,3,3,-
