地域階層,地域コード,東京都26町丁目コード,区市町村名称,町・大字名,丁目・字,地域名称,経営組織階層,経営組織コード,経営組織名称,従業者数（人）,従業者数／男（人）,従業者数／女（人）,従業者数／個人業主（人）,従業者数／個人業主／男（人）,従業者数／個人業主／女（人）,従業者数／無給の家族従業者（人）,従業者数／無給の家族従業者／男（人）,従業者数／無給の家族従業者／女（人）,従業者数／有給役員（人）,従業者数／有給役員／男（人）,従業者数／有給役員／女（人）,従業者数／雇用者（人）,従業者数／雇用者／男（人）,従業者数／雇用者／女（人）,従業者数／雇用者／常用雇用者（人）,従業者数／雇用者／常用雇用者／男（人）,従業者数／雇用者／常用雇用者／女（人）,従業者数／雇用者／常用雇用者／正社員・正職員（人）,従業者数／雇用者／常用雇用者／正社員・正職員／男（人）,従業者数／雇用者／常用雇用者／正社員・正職員／女（人）,従業者数／雇用者／常用雇用者／正社員・正職員以外（人）,従業者数／雇用者／常用雇用者／正社員・正職員以外／男（人）,従業者数／雇用者／常用雇用者／正社員・正職員以外／女（人）,従業者数／雇用者／臨時雇用者（人）,従業者数／雇用者／臨時雇用者／男（人）,従業者数／雇用者／臨時雇用者／女（人）,従業者数／（再掲）他への出向・派遣従業者（人）,従業者数／（再掲）他への出向・派遣従業者／男（人）,従業者数／（再掲）他への出向・派遣従業者／女（人）,他からの出向・派遣従業者（人）,他からの出向・派遣従業者／男（人）,他からの出向・派遣従業者／女（人）,事業従事者数（人）,事業従事者数／男（人）,事業従事者数／女（人）
4,13102,1310200000,中央区,,,中央区,1,1000,民営,750039,462425,285064,5226,3926,1300,779,201,578,42874,35196,7670,701160,423102,275516,680464,413820,264102,491386,344087,145038,189078,69733,119064,20696,9282,11414,68274,35630,32644,40705,22906,17798,722470,449701,270218
4,13102,1310200000,中央区,,,中央区,2,1100,個人,19121,8578,10543,5226,3926,1300,779,201,578,-,-,-,13116,4451,8665,11916,4086,7830,6840,2831,4009,5076,1255,3821,1200,365,835,52,24,28,120,42,78,19189,8596,10593
4,13102,1310200000,中央区,,,中央区,3,1210,会社,695516,435425,257541,-,-,-,-,-,-,40315,32942,7365,655201,402483,250176,637315,394286,240487,460527,328540,129726,176788,65746,110761,17886,8197,9689,67593,35086,32507,38052,21382,16669,665975,421721,241703
4,13102,1310200000,中央区,,,中央区,3,1220,会社以外の法人,34176,17691,16485,-,-,-,-,-,-,2391,2098,293,31785,15593,16192,30252,14906,15346,23239,12245,10994,7013,2661,4352,1533,687,846,615,510,105,2252,1263,989,35813,18444,17369
4,13102,1310200000,中央区,,,中央区,2,1300,法人でない団体,1226,731,495,-,-,-,-,-,-,168,156,12,1058,575,483,981,542,439,780,471,309,201,71,130,77,33,44,14,10,4,281,219,62,1493,940,553
5,13102,1310200700,中央区,中央区明石町,,中央区明石町,1,1000,民営,15187,8025,7161,19,16,3,-,-,-,431,382,49,14737,7627,7109,14025,7370,6654,10521,6109,4411,3504,1261,2243,712,257,455,458,402,56,634,295,339,15363,7918,7444
5,13102,1310200700,中央区,中央区明石町,,中央区明石町,2,1100,個人,63,28,35,19,16,3,-,-,-,-,-,-,44,12,32,31,12,19,26,12,14,5,-,5,13,-,13,-,-,-,-,-,-,63,28,35
5,13102,1310200700,中央区,中央区明石町,,中央区明石町,3,1210,会社,9476,6331,3144,-,-,-,-,-,-,406,359,47,9070,5972,3097,8935,5920,3014,7025,5251,1773,1910,669,1241,135,52,83,439,392,47,619,287,332,9656,6226,3429
5,13102,1310200700,中央区,中央区明石町,,中央区明石町,3,1220,会社以外の法人,5644,1666,3978,-,-,-,-,-,-,25,23,2,5619,1643,3976,5055,1438,3617,3466,846,2620,1589,592,997,564,205,359,19,10,9,13,7,6,5638,1663,3975
5,13102,1310200700,中央区,中央区明石町,,中央区明石町,2,1300,法人でない団体,4,-,4,-,-,-,-,-,-,-,-,-,4,-,4,4,-,4,4,-,4,-,-,-,-,-,-,-,-,-,2,1,1,6,1,5
5,13102,1310200500,中央区,中央区入船,,中央区入船,1,1000,民営,7759,5679,2080,80,69,11,14,4,10,636,523,113,7029,5083,1946,6643,4831,1812,5574,4238,1336,1069,593,476,386,252,134,726,657,69,413,282,131,7446,5304,2142
5,13102,1310200500,中央区,中央区入船,,中央区入船,2,1100,個人,205,119,86,80,69,11,14,4,10,-,-,-,111,46,65,108,45,63,75,29,46,33,16,17,3,1,2,3,2,1,2,2,-,204,119,85
5,13102,1310200500,中央区,中央区入船,,中央区入船,3,1210,会社,7454,5503,1951,-,-,-,-,-,-,627,515,112,6827,4988,1839,6446,4738,1708,5439,4177,1262,1007,561,446,381,250,131,723,655,68,364,237,127,7095,5085,2010
5,13102,1310200500,中央区,中央区入船,,中央区入船,3,1220,会社以外の法人,97,55,42,-,-,-,-,-,-,8,8,-,89,47,42,87,46,41,58,30,28,29,16,13,2,1,1,-,-,-,47,43,4,144,98,46
5,13102,1310200500,中央区,中央区入船,,中央区入船,2,1300,法人でない団体,3,2,1,-,-,-,-,-,-,1,-,1,2,2,-,2,2,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,3,2,1
6,13102,1310200501,中央区,中央区入船,１丁目,中央区入船１丁目,1,1000,民営,1366,929,437,35,30,5,4,1,3,172,129,43,1155,769,386,1104,742,362,728,552,176,376,190,186,51,27,24,27,20,7,14,10,4,1353,919,434
6,13102,1310200501,中央区,中央区入船,１丁目,中央区入船１丁目,2,1100,個人,89,53,36,35,30,5,4,1,3,-,-,-,50,22,28,47,21,26,40,18,22,7,3,4,3,1,2,1,1,-,2,2,-,90,54,36
6,13102,1310200501,中央区,中央区入船,１丁目,中央区入船１丁目,3,1210,会社,1246,857,389,-,-,-,-,-,-,170,128,42,1076,729,347,1028,703,325,675,525,150,353,178,175,48,26,22,26,19,7,10,8,2,1230,846,384
6,13102,1310200501,中央区,中央区入船,１丁目,中央区入船１丁目,3,1220,会社以外の法人,30,19,11,-,-,-,-,-,-,1,1,-,29,18,11,29,18,11,13,9,4,16,9,7,-,-,-,-,-,-,2,-,2,32,19,13
6,13102,1310200501,中央区,中央区入船,１丁目,中央区入船１丁目,2,1300,法人でない団体,1,-,1,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1
6,13102,1310200502,中央区,中央区入船,２丁目,中央区入船２丁目,1,1000,民営,2612,1899,713,21,19,2,6,3,3,230,193,37,2355,1684,671,2348,1678,670,2016,1516,500,332,162,170,7,6,1,341,295,46,186,150,36,2457,1754,703
6,13102,1310200502,中央区,中央区入船,２丁目,中央区入船２丁目,2,1100,個人,56,34,22,21,19,2,6,3,3,-,-,-,29,12,17,29,12,17,18,5,13,11,7,4,-,-,-,-,-,-,-,-,-,56,34,22
6,13102,1310200502,中央区,中央区入船,２丁目,中央区入船２丁目,3,1210,会社,2523,1846,677,-,-,-,-,-,-,224,187,37,2299,1659,640,2292,1653,639,1979,1502,477,313,151,162,7,6,1,341,295,46,146,110,36,2328,1661,667
6,13102,1310200502,中央区,中央区入船,２丁目,中央区入船２丁目,3,1220,会社以外の法人,31,17,14,-,-,-,-,-,-,6,6,-,25,11,14,25,11,14,17,7,10,8,4,4,-,-,-,-,-,-,40,40,-,71,57,14
6,13102,1310200502,中央区,中央区入船,２丁目,中央区入船２丁目,2,1300,法人でない団体,2,2,-,-,-,-,-,-,-,-,-,-,2,2,-,2,2,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-
6,13102,1310200503,中央区,中央区入船,３丁目,中央区入船３丁目,1,1000,民営,3781,2851,930,24,20,4,4,-,4,234,201,33,3519,2630,889,3191,2411,780,2830,2170,660,361,241,120,328,219,109,358,342,16,213,122,91,3636,2631,1005
6,13102,1310200503,中央区,中央区入船,３丁目,中央区入船３丁目,2,1100,個人,60,32,28,24,20,4,4,-,4,-,-,-,32,12,20,32,12,20,17,6,11,15,6,9,-,-,-,2,1,1,-,-,-,58,31,27
6,13102,1310200503,中央区,中央区入船,３丁目,中央区入船３丁目,3,1210,会社,3685,2800,885,-,-,-,-,-,-,233,200,33,3452,2600,852,3126,2382,744,2785,2150,635,341,232,109,326,218,108,356,341,15,208,119,89,3537,2578,959
6,13102,1310200503,中央区,中央区入船,３丁目,中央区入船３丁目,3,1220,会社以外の法人,36,19,17,-,-,-,-,-,-,1,1,-,35,18,17,33,17,16,28,14,14,5,3,2,2,1,1,-,-,-,5,3,2,41,22,19
6,13102,1310200503,中央区,中央区入船,３丁目,中央区入船３丁目,2,1300,法人でない団体,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,13102,1310203600,中央区,中央区勝どき,,中央区勝どき,1,1000,民営,9340,6163,3170,100,64,36,24,7,17,520,410,110,8696,5682,3007,8464,5599,2858,6179,4662,1511,2285,937,1347,232,83,149,577,515,62,499,294,205,9262,5942,3313
5,13102,1310203600,中央区,中央区勝どき,,中央区勝どき,2,1100,個人,367,142,225,100,64,36,24,7,17,-,-,-,243,71,172,189,52,137,89,32,57,100,20,80,54,19,35,-,-,-,2,-,2,369,142,227
5,13102,1310203600,中央区,中央区勝どき,,中央区勝どき,3,1210,会社,8754,5895,2852,-,-,-,-,-,-,499,392,107,8255,5503,2745,8081,5439,2635,5972,4565,1401,2109,874,1234,174,64,110,562,510,52,442,252,190,8634,5637,2990
5,13102,1310203600,中央区,中央区勝どき,,中央区勝どき,3,1220,会社以外の法人,216,124,92,-,-,-,-,-,-,20,17,3,196,107,89,192,107,85,116,64,52,76,43,33,4,-,4,15,5,10,55,42,13,256,161,95
5,13102,1310203600,中央区,中央区勝どき,,中央区勝どき,2,1300,法人でない団体,3,2,1,-,-,-,-,-,-,1,1,-,2,1,1,2,1,1,2,1,1,-,-,-,-,-,-,-,-,-,-,-,-,3,2,1
6,13102,1310203601,中央区,中央区勝どき,１丁目,中央区勝どき１丁目,1,1000,民営,2119,1345,774,34,22,12,9,3,6,83,68,15,1993,1252,741,1913,1238,675,1222,880,342,691,358,333,80,14,66,9,9,-,148,69,79,2258,1405,853
6,13102,1310203601,中央区,中央区勝どき,１丁目,中央区勝どき１丁目,2,1100,個人,137,52,85,34,22,12,9,3,6,-,-,-,94,27,67,74,23,51,31,11,20,43,12,31,20,4,16,-,-,-,2,-,2,139,52,87
6,13102,1310203601,中央区,中央区勝どき,１丁目,中央区勝どき１丁目,3,1210,会社,1862,1222,640,-,-,-,-,-,-,78,63,15,1784,1159,625,1728,1149,579,1126,833,293,602,316,286,56,10,46,9,9,-,93,28,65,1946,1241,705
6,13102,1310203601,中央区,中央区勝どき,１丁目,中央区勝どき１丁目,3,1220,会社以外の法人,120,71,49,-,-,-,-,-,-,5,5,-,115,66,49,111,66,45,65,36,29,46,30,16,4,-,4,-,-,-,53,41,12,173,112,61
6,13102,1310203601,中央区,中央区勝どき,１丁目,中央区勝どき１丁目,2,1300,法人でない団体,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,13102,1310203602,中央区,中央区勝どき,２丁目,中央区勝どき２丁目,1,1000,民営,1407,918,489,27,18,9,7,1,6,158,111,47,1215,788,427,1136,768,368,798,617,181,338,151,187,79,20,59,37,24,13,8,8,-,1378,902,476
6,13102,1310203602,中央区,中央区勝どき,２丁目,中央区勝どき２丁目,2,1100,個人,115,38,77,27,18,9,7,1,6,-,-,-,81,19,62,60,11,49,27,8,19,33,3,30,21,8,13,-,-,-,-,-,-,115,38,77
6,13102,1310203602,中央区,中央区勝どき,２丁目,中央区勝どき２丁目,3,1210,会社,1247,860,387,-,-,-,-,-,-,144,100,44,1103,760,343,1045,748,297,750,602,148,295,146,149,58,12,46,22,19,3,8,8,-,1233,849,384
6,13102,1310203602,中央区,中央区勝どき,２丁目,中央区勝どき２丁目,3,1220,会社以外の法人,44,19,25,-,-,-,-,-,-,13,10,3,31,9,22,31,9,22,21,7,14,10,2,8,-,-,-,15,5,10,-,-,-,29,14,15
6,13102,1310203602,中央区,中央区勝どき,２丁目,中央区勝どき２丁目,2,1300,法人でない団体,1,1,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-
6,13102,1310203603,中央区,中央区勝どき,３丁目,中央区勝どき３丁目,1,1000,民営,2500,1500,993,27,15,12,4,1,3,99,76,23,2370,1408,955,2316,1376,933,1700,1203,491,616,173,442,54,32,22,162,138,24,181,103,78,2519,1465,1047
6,13102,1310203603,中央区,中央区勝どき,３丁目,中央区勝どき３丁目,2,1100,個人,75,35,40,27,15,12,4,1,3,-,-,-,44,19,25,33,14,19,20,11,9,13,3,10,11,5,6,-,-,-,-,-,-,75,35,40
