地域階層,地域コード,東京都26町丁目コード,区市町村名称,町・大字名,丁目・字,地域名称,経営組織階層,経営組織コード,経営組織名称,従業者数（人）,従業者数／男（人）,従業者数／女（人）,従業者数／個人業主（人）,従業者数／個人業主／男（人）,従業者数／個人業主／女（人）,従業者数／無給の家族従業者（人）,従業者数／無給の家族従業者／男（人）,従業者数／無給の家族従業者／女（人）,従業者数／有給役員（人）,従業者数／有給役員／男（人）,従業者数／有給役員／女（人）,従業者数／雇用者（人）,従業者数／雇用者／男（人）,従業者数／雇用者／女（人）,従業者数／雇用者／常用雇用者（人）,従業者数／雇用者／常用雇用者／男（人）,従業者数／雇用者／常用雇用者／女（人）,従業者数／雇用者／常用雇用者／正社員・正職員（人）,従業者数／雇用者／常用雇用者／正社員・正職員／男（人）,従業者数／雇用者／常用雇用者／正社員・正職員／女（人）,従業者数／雇用者／常用雇用者／正社員・正職員以外（人）,従業者数／雇用者／常用雇用者／正社員・正職員以外／男（人）,従業者数／雇用者／常用雇用者／正社員・正職員以外／女（人）,従業者数／雇用者／臨時雇用者（人）,従業者数／雇用者／臨時雇用者／男（人）,従業者数／雇用者／臨時雇用者／女（人）,従業者数／（再掲）他への出向・派遣従業者（人）,従業者数／（再掲）他への出向・派遣従業者／男（人）,従業者数／（再掲）他への出向・派遣従業者／女（人）,他からの出向・派遣従業者（人）,他からの出向・派遣従業者／男（人）,他からの出向・派遣従業者／女（人）,事業従事者数（人）,事業従事者数／男（人）,事業従事者数／女（人）
4,13202,1320200000,立川市,,,立川市,1,1000,民営,108457,57640,50551,1937,1430,507,508,111,397,4462,3195,1267,101550,52904,48380,95398,50296,44836,51591,34753,16668,43807,15543,28168,6152,2608,3544,3473,1610,1863,6196,2697,3499,111180,58727,52187
4,13202,1320200000,立川市,,,立川市,2,1100,個人,6892,2925,3967,1937,1430,507,508,111,397,-,-,-,4447,1384,3063,3887,1216,2671,1525,583,942,2362,633,1729,560,168,392,34,4,30,53,3,50,6911,2924,3987
4,13202,1320200000,立川市,,,立川市,3,1210,会社,85772,48598,36973,-,-,-,-,-,-,4145,2965,1180,81627,45633,35793,76810,43450,33159,41382,30279,10980,35428,13171,22179,4817,2183,2634,3336,1520,1816,5803,2490,3313,88239,49568,38470
4,13202,1320200000,立川市,,,立川市,3,1220,会社以外の法人,15618,5987,9566,-,-,-,-,-,-,308,225,83,15310,5762,9483,14548,5514,8969,8554,3783,4724,5994,1731,4245,762,248,514,103,86,17,339,203,136,15854,6104,9685
4,13202,1320200000,立川市,,,立川市,2,1300,法人でない団体,175,130,45,-,-,-,-,-,-,9,5,4,166,125,41,153,116,37,130,108,22,23,8,15,13,9,4,-,-,-,1,1,-,176,131,45
5,13202,1320201200,立川市,立川市曙町,,立川市曙町,1,1000,民営,33146,16351,16656,202,142,60,47,10,37,603,440,163,32294,15759,16396,30204,14872,15193,16624,10639,5890,13580,4233,9303,2090,887,1203,1918,573,1345,4103,1261,2842,35331,17039,18153
5,13202,1320201200,立川市,立川市曙町,,立川市曙町,2,1100,個人,851,332,519,202,142,60,47,10,37,-,-,-,602,180,422,488,170,318,172,74,98,316,96,220,114,10,104,26,1,25,27,1,26,852,332,520
5,13202,1320201200,立川市,立川市曙町,,立川市曙町,3,1210,会社,30475,15199,15137,-,-,-,-,-,-,552,406,146,29923,14793,14991,28099,13954,14006,15246,9924,5227,12853,4030,8779,1824,839,985,1857,539,1318,4035,1232,2803,32653,15892,16622
5,13202,1320201200,立川市,立川市曙町,,立川市曙町,3,1220,会社以外の法人,1712,726,986,-,-,-,-,-,-,51,34,17,1661,692,969,1509,654,855,1105,549,556,404,105,299,152,38,114,35,33,2,41,28,13,1718,721,997
5,13202,1320201200,立川市,立川市曙町,,立川市曙町,2,1300,法人でない団体,108,94,14,-,-,-,-,-,-,-,-,-,108,94,14,108,94,14,101,92,9,7,2,5,-,-,-,-,-,-,-,-,-,108,94,14
