地域階層,地域コード,東京都26町丁目コード,区市町村名称,町・大字名,丁目・字,地域名称,産業分類階層,大分類,中分類,産業分類名称,総数（経営組織）／事業所数／総数（従業者規模）（事業所）,総数（経営組織）／事業所数／従業者規模1～4人（事業所）,総数（経営組織）／事業所数／従業者規模5～9人（事業所）,総数（経営組織）／事業所数／従業者規模10～19人（事業所）,総数（経営組織）／事業所数／従業者規模20～29人（事業所）,総数（経営組織）／事業所数／従業者規模30～49人（事業所）,総数（経営組織）／事業所数／従業者規模50～99人（事業所）,総数（経営組織）／事業所数／従業者規模100～199人（事業所）,総数（経営組織）／事業所数／従業者規模200～299人（事業所）,総数（経営組織）／事業所数／従業者規模300人以上（事業所）,総数（経営組織）／事業所数／出向・派遣従業者のみ（事業所）,総数（経営組織）／従業者数（人）,総数（経営組織）／従業者数／男（人）,総数（経営組織）／従業者数／女（人）,民営／事業所数／総数（従業者規模）（事業所）,民営／事業所数／従業者規模1～4人（事業所）,民営／事業所数／従業者規模5～9人（事業所）,民営／事業所数／従業者規模10～19人（事業所）,民営／事業所数／従業者規模20～29人（事業所）,民営／事業所数／従業者規模30～49人（事業所）,民営／事業所数／従業者規模50～99人（事業所）,民営／事業所数／従業者規模100～199人（事業所）,民営／事業所数／従業者規模200～299人（事業所）,民営／事業所数／従業者規模300人以上（事業所）,民営／事業所数／出向・派遣従業者のみ（事業所）,民営／従業者数（人）,民営／従業者数／男（人）,民営／従業者数／女（人）,国、地方公共団体／事業所数／総数（従業者規模）（事業所）,国、地方公共団体／事業所数／従業者規模1～4人（事業所）,国、地方公共団体／事業所数／従業者規模5～9人（事業所）,国、地方公共団体／事業所数／従業者規模10～19人（事業所）,国、地方公共団体／事業所数／従業者規模20～29人（事業所）,国、地方公共団体／事業所数／従業者規模30～49人（事業所）,国、地方公共団体／事業所数／従業者規模50～99人（事業所）,国、地方公共団体／事業所数／従業者規模100～199人（事業所）,国、地方公共団体／事業所数／従業者規模200～299人（事業所）,国、地方公共団体／事業所数／従業者規模300人以上（事業所）,国、地方公共団体／事業所数／出向・派遣従業者のみ（事業所）,国、地方公共団体／従業者数（人）,国、地方公共団体／従業者数／男（人）,国、地方公共団体／従業者数／女（人）
4,13421,1342100000,小笠原村,,,小笠原村,0,A-S,00,全産業,306,202,53,34,7,2,5,1,-,-,2,1865,1112,753,272,192,44,24,6,-,4,-,-,-,2,1384,732,652,34,10,9,10,1,2,1,1,-,-,-,481,380,101
4,13421,1342100000,小笠原村,,,小笠原村,9,A-R,00,全産業（Ｓ公務を除く）,290,197,49,30,7,1,4,-,-,-,2,1575,855,720,272,192,44,24,6,-,4,-,-,-,2,1384,732,652,18,5,5,6,1,1,-,-,-,-,-,191,123,68
4,13421,1342100000,小笠原村,,,小笠原村,1,A-B,00,農林漁業,4,2,1,-,-,-,1,-,-,-,-,64,44,20,3,1,1,-,-,-,1,-,-,-,-,61,41,20,1,1,-,-,-,-,-,-,-,-,-,3,3,-
4,13421,1342100000,小笠原村,,,小笠原村,2,A,00,農業，林業,4,2,1,-,-,-,1,-,-,-,-,64,44,20,3,1,1,-,-,-,1,-,-,-,-,61,41,20,1,1,-,-,-,-,-,-,-,-,-,3,3,-
4,13421,1342100000,小笠原村,,,小笠原村,3,A,01,農業,3,1,1,-,-,-,1,-,-,-,-,61,41,20,3,1,1,-,-,-,1,-,-,-,-,61,41,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13421,1342100000,小笠原村,,,小笠原村,3,A,02,林業,1,1,-,-,-,-,-,-,-,-,-,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,3,3,-
4,13421,1342100000,小笠原村,,,小笠原村,2,B,00,漁業,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13421,1342100000,小笠原村,,,小笠原村,3,B,03,漁業（水産養殖業を除く）,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13421,1342100000,小笠原村,,,小笠原村,3,B,04,水産養殖業,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13421,1342100000,小笠原村,,,小笠原村,1,C-S,00,非農林漁業,302,200,52,34,7,2,4,1,-,-,2,1801,1068,733,269,191,43,24,6,-,3,-,-,-,2,1323,691,632,33,9,9,10,1,2,1,1,-,-,-,478,377,101
