地域階層,地域コード,地域名,経営組織階層,経営組織コード,経営組織,産業分類階層,大分類,中分類,産業分類,総数／事業所数（事業所）,総数／従業者数／総数（人）,総数／従業者数／男（人）,総数／従業者数／女（人）,総数／従業者数／うち常用雇用者／総数（人）,総数／従業者数／うち常用雇用者／男（人）,総数／従業者数／うち常用雇用者／女（人）,従業者規模1～4人／事業所数（事業所）,従業者規模1～4人／従業者数／総数（人）,従業者規模1～4人／従業者数／男（人）,従業者規模1～4人／従業者数／女（人）,従業者規模1～4人／従業者数／うち常用雇用者／総数（人）,従業者規模1～4人／従業者数／うち常用雇用者／男（人）,従業者規模1～4人／従業者数／うち常用雇用者／女（人）,従業者規模1人／事業所数（事業所）,従業者規模1人／従業者数／総数（人）,従業者規模1人／従業者数／男（人）,従業者規模1人／従業者数／女（人）,従業者規模1人／従業者数／うち常用雇用者／総数（人）,従業者規模1人／従業者数／うち常用雇用者／男（人）,従業者規模1人／従業者数／うち常用雇用者／女（人）,従業者規模2人／事業所数（事業所）,従業者規模2人／従業者数／総数（人）,従業者規模2人／従業者数／男（人）,従業者規模2人／従業者数／女（人）,従業者規模2人／従業者数／うち常用雇用者／総数（人）,従業者規模2人／従業者数／うち常用雇用者／男（人）,従業者規模2人／従業者数／うち常用雇用者／女（人）,従業者規模3人／事業所数（事業所）,従業者規模3人／従業者数／総数（人）,従業者規模3人／従業者数／男（人）,従業者規模3人／従業者数／女（人）,従業者規模3人／従業者数／うち常用雇用者／総数（人）,従業者規模3人／従業者数／うち常用雇用者／男（人）,従業者規模3人／従業者数／うち常用雇用者／女（人）,従業者規模4人／事業所数（事業所）,従業者規模4人／従業者数／総数（人）,従業者規模4人／従業者数／男（人）,従業者規模4人／従業者数／女（人）,従業者規模4人／従業者数／うち常用雇用者／総数（人）,従業者規模4人／従業者数／うち常用雇用者／男（人）,従業者規模4人／従業者数／うち常用雇用者／女（人）,従業者規模5～9人／事業所数（事業所）,従業者規模5～9人／従業者数／総数（人）,従業者規模5～9人／従業者数／男（人）,従業者規模5～9人／従業者数／女（人）,従業者規模5～9人／従業者数／うち常用雇用者／総数（人）,従業者規模5～9人／従業者数／うち常用雇用者／男（人）,従業者規模5～9人／従業者数／うち常用雇用者／女（人）,従業者規模10～19人／事業所数（事業所）,従業者規模10～19人／従業者数／総数（人）,従業者規模10～19人／従業者数／男（人）,従業者規模10～19人／従業者数／女（人）,従業者規模10～19人／従業者数／うち常用雇用者／総数（人）,従業者規模10～19人／従業者数／うち常用雇用者／男（人）,従業者規模10～19人／従業者数／うち常用雇用者／女（人）,従業者規模20～29人／事業所数（事業所）,従業者規模20～29人／従業者数／総数（人）,従業者規模20～29人／従業者数／男（人）,従業者規模20～29人／従業者数／女（人）,従業者規模20～29人／従業者数／うち常用雇用者／総数（人）,従業者規模20～29人／従業者数／うち常用雇用者／男（人）,従業者規模20～29人／従業者数／うち常用雇用者／女（人）,従業者規模30～49人／事業所数（事業所）,従業者規模30～49人／従業者数／総数（人）,従業者規模30～49人／従業者数／男（人）,従業者規模30～49人／従業者数／女（人）,従業者規模30～49人／従業者数／うち常用雇用者／総数（人）,従業者規模30～49人／従業者数／うち常用雇用者／男（人）,従業者規模30～49人／従業者数／うち常用雇用者／女（人）,従業者規模50～99人／事業所数（事業所）,従業者規模50～99人／従業者数／総数（人）,従業者規模50～99人／従業者数／男（人）,従業者規模50～99人／従業者数／女（人）,従業者規模50～99人／従業者数／うち常用雇用者／総数（人）,従業者規模50～99人／従業者数／うち常用雇用者／男（人）,従業者規模50～99人／従業者数／うち常用雇用者／女（人）,従業者規模100～199人／事業所数（事業所）,従業者規模100～199人／従業者数／総数（人）,従業者規模100～199人／従業者数／男（人）,従業者規模100～199人／従業者数／女（人）,従業者規模100～199人／従業者数／うち常用雇用者／総数（人）,従業者規模100～199人／従業者数／うち常用雇用者／男（人）,従業者規模100～199人／従業者数／うち常用雇用者／女（人）,従業者規模200～299人／事業所数（事業所）,従業者規模200～299人／従業者数／総数（人）,従業者規模200～299人／従業者数／男（人）,従業者規模200～299人／従業者数／女（人）,従業者規模200～299人／従業者数／うち常用雇用者／総数（人）,従業者規模200～299人／従業者数／うち常用雇用者／男（人）,従業者規模200～299人／従業者数／うち常用雇用者／女（人）,従業者規模300～499人／事業所数（事業所）,従業者規模300～499人／従業者数／総数（人）,従業者規模300～499人／従業者数／男（人）,従業者規模300～499人／従業者数／女（人）,従業者規模300～499人／従業者数／うち常用雇用者／総数（人）,従業者規模300～499人／従業者数／うち常用雇用者／男（人）,従業者規模300～499人／従業者数／うち常用雇用者／女（人）,従業者規模500～999人／事業所数（事業所）,従業者規模500～999人／従業者数／総数（人）,従業者規模500～999人／従業者数／男（人）,従業者規模500～999人／従業者数／女（人）,従業者規模500～999人／従業者数／うち常用雇用者／総数（人）,従業者規模500～999人／従業者数／うち常用雇用者／男（人）,従業者規模500～999人／従業者数／うち常用雇用者／女（人）,従業者規模1000人以上／事業所数（事業所）,従業者規模1000人以上／従業者数／総数（人）,従業者規模1000人以上／従業者数／男（人）,従業者規模1000人以上／従業者数／女（人）,従業者規模1000人以上／従業者数／うち常用雇用者／総数（人）,従業者規模1000人以上／従業者数／うち常用雇用者／男（人）,従業者規模1000人以上／従業者数／うち常用雇用者／女（人）,従業者規模出向・派遣従業者のみ／事業所数（事業所）
4,13112,世田谷区,0,0000,総数,0,A-S,00,全産業（Ａ～Ｓ）,28994,288580,151915,136592,243867,125274,118523,17101,36894,19426,17468,17756,7438,10318,5763,5763,3756,2007,1159,759,400,5422,10844,5645,5199,4176,1448,2728,3377,10131,5139,4992,5767,2430,3337,2539,10156,4886,5270,6654,2801,3853,5826,38000,18723,19252,29418,13479,15914,3179,42921,22709,20164,37268,19238,17985,1166,27662,14551,13111,24703,12801,11902,900,34119,16390,17729,30891,14745,16146,482,32387,16905,15482,29886,15558,14328,190,25442,15150,10292,24207,14598,9609,40,9504,5407,4097,9023,5203,3820,31,11599,7473,4126,11108,7351,3757,21,15036,8536,6500,14662,8285,6377,9,15016,6645,8371,14945,6578,8367,49
4,13112,世田谷区,0,0000,総数,0,A-R,00,全産業（Ａ～Ｒ）Ｓ公務を除く,28906,282049,147457,134519,237338,120816,116452,17090,36883,19415,17468,17745,7427,10318,5752,5752,3745,2007,1148,748,400,5422,10844,5645,5199,4176,1448,2728,3377,10131,5139,4992,5767,2430,3337,2539,10156,4886,5270,6654,2801,3853,5800,37788,18637,19126,29206,13393,15788,3172,42815,22656,20111,37162,19185,17932,1157,27444,14407,13037,24485,12657,11828,884,33506,15923,17583,30278,14278,16000,478,32110,16734,15376,29609,15387,14222,182,24275,14278,9997,23040,13726,9314,38,9073,5198,3875,8592,4994,3598,27,10065,6064,4001,9574,5942,3632,21,15036,8536,6500,14662,8285,6377,8,13054,5609,7445,12985,5542,7443,49
4,13112,世田谷区,0,0000,総数,0,A-B,00,農林漁業（Ａ～Ｂ）,53,291,219,72,212,164,48,28,70,53,17,35,28,7,7,7,6,1,3,2,1,6,12,8,4,5,3,2,9,27,19,8,13,10,3,6,24,20,4,14,13,1,17,116,84,32,89,67,22,7,83,70,13,66,57,9,1,22,12,10,22,12,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13112,世田谷区,0,0000,総数,1,A,00,農業，林業,52,288,216,72,212,164,48,27,67,50,17,35,28,7,7,7,6,1,3,2,1,6,12,8,4,5,3,2,8,24,16,8,13,10,3,6,24,20,4,14,13,1,17,116,84,32,89,67,22,7,83,70,13,66,57,9,1,22,12,10,22,12,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13112,世田谷区,0,0000,総数,2,A,01,農業,51,285,215,70,211,164,47,26,64,49,15,34,28,6,7,7,6,1,3,2,1,6,12,8,4,5,3,2,7,21,15,6,12,10,2,6,24,20,4,14,13,1,17,116,84,32,89,67,22,7,83,70,13,66,57,9,1,22,12,10,22,12,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13112,世田谷区,0,0000,総数,2,A,02,林業,1,3,1,2,1,-,1,1,3,1,2,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,3,1,2,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13112,世田谷区,0,0000,総数,1,B,00,漁業,1,3,3,-,-,-,-,1,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13112,世田谷区,0,0000,総数,2,B,03,漁業（水産養殖業を除く）,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13112,世田谷区,0,0000,総数,2,B,04,水産養殖業,1,3,3,-,-,-,-,1,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13112,世田谷区,0,0000,総数,0,C-S,00,非農林漁業（Ｃ～Ｓ）,28941,288289,151696,136520,243655,125110,118475,17073,36824,19373,17451,17721,7410,10311,5756,5756,3750,2006,1156,757,399,5416,10832,5637,5195,4171,1445,2726,3368,10104,5120,4984,5754,2420,3334,2533,10132,4866,5266,6640,2788,3852,5809,37884,18639,19220,29329,13412,15892,3172,42838,22639,20151,37202,19181,17976,1165,27640,14539,13101,24681,12789,11892,900,34119,16390,17729,30891,14745,16146,482,32387,16905,15482,29886,15558,14328,190,25442,15150,10292,24207,14598,9609,40,9504,5407,4097,9023,5203,3820,31,11599,7473,4126,11108,7351,3757,21,15036,8536,6500,14662,8285,6377,9,15016,6645,8371,14945,6578,8367,49
