地域階層,地域コード,東京都26町丁目コード,区市町村名称,町・大字名,丁目・字,地域名称,経営組織階層,経営組織コード,経営組織名称,従業者数（人）,従業者数／男（人）,従業者数／女（人）,従業者数／個人業主（人）,従業者数／個人業主／男（人）,従業者数／個人業主／女（人）,従業者数／無給の家族従業者（人）,従業者数／無給の家族従業者／男（人）,従業者数／無給の家族従業者／女（人）,従業者数／有給役員（人）,従業者数／有給役員／男（人）,従業者数／有給役員／女（人）,従業者数／雇用者（人）,従業者数／雇用者／男（人）,従業者数／雇用者／女（人）,従業者数／雇用者／常用雇用者（人）,従業者数／雇用者／常用雇用者／男（人）,従業者数／雇用者／常用雇用者／女（人）,従業者数／雇用者／常用雇用者／正社員・正職員（人）,従業者数／雇用者／常用雇用者／正社員・正職員／男（人）,従業者数／雇用者／常用雇用者／正社員・正職員／女（人）,従業者数／雇用者／常用雇用者／正社員・正職員以外（人）,従業者数／雇用者／常用雇用者／正社員・正職員以外／男（人）,従業者数／雇用者／常用雇用者／正社員・正職員以外／女（人）,従業者数／雇用者／臨時雇用者（人）,従業者数／雇用者／臨時雇用者／男（人）,従業者数／雇用者／臨時雇用者／女（人）,従業者数／（再掲）他への出向・派遣従業者（人）,従業者数／（再掲）他への出向・派遣従業者／男（人）,従業者数／（再掲）他への出向・派遣従業者／女（人）,他からの出向・派遣従業者（人）,他からの出向・派遣従業者／男（人）,他からの出向・派遣従業者／女（人）,事業従事者数（人）,事業従事者数／男（人）,事業従事者数／女（人）
4,13114,1311400000,中野区,,,中野区,1,1000,民営,122290,69266,52863,4683,3434,1249,1223,260,963,9783,6892,2891,106601,58680,47760,100352,55992,44199,61690,40348,21181,38662,15644,23018,6249,2688,3561,2218,1716,502,4155,2135,2020,124227,69685,54381
4,13114,1311400000,中野区,,,中野区,2,1100,個人,12533,5977,6556,4683,3434,1249,1223,260,963,-,-,-,6627,2283,4344,5928,2063,3865,2764,1025,1739,3164,1038,2126,699,220,479,31,16,15,44,21,23,12546,5982,6564
4,13114,1311400000,中野区,,,中野区,3,1210,会社,95012,57560,37291,-,-,-,-,-,-,9107,6429,2678,85905,51131,34613,80922,48869,31892,49878,35637,14080,31044,13232,17812,4983,2262,2721,2043,1612,431,3867,2017,1850,96836,57965,38710
4,13114,1311400000,中野区,,,中野区,3,1220,会社以外の法人,14624,5671,8953,-,-,-,-,-,-,658,449,209,13966,5222,8744,13410,5021,8389,8983,3652,5331,4427,1369,3058,556,201,355,144,88,56,243,96,147,14723,5679,9044
4,13114,1311400000,中野区,,,中野区,2,1300,法人でない団体,121,58,63,-,-,-,-,-,-,18,14,4,103,44,59,92,39,53,65,34,31,27,5,22,11,5,6,-,-,-,1,1,-,122,59,63
5,13114,1311400800,中野区,中野区新井,,中野区新井,1,1000,民営,6409,3707,2702,312,232,80,84,14,70,665,459,206,5348,3002,2346,5035,2872,2163,3060,2023,1037,1975,849,1126,313,130,183,260,239,21,55,32,23,6204,3500,2704
5,13114,1311400800,中野区,中野区新井,,中野区新井,2,1100,個人,890,448,442,312,232,80,84,14,70,-,-,-,494,202,292,439,189,250,248,111,137,191,78,113,55,13,42,-,-,-,8,4,4,898,452,446
5,13114,1311400800,中野区,中野区新井,,中野区新井,3,1210,会社,4947,3073,1874,-,-,-,-,-,-,633,440,193,4314,2633,1681,4112,2520,1592,2511,1775,736,1601,745,856,202,113,89,259,238,21,38,22,16,4726,2857,1869
5,13114,1311400800,中野区,中野区新井,,中野区新井,3,1220,会社以外の法人,551,174,377,-,-,-,-,-,-,32,19,13,519,155,364,464,152,312,291,130,161,173,22,151,55,3,52,1,1,-,8,5,3,558,178,380
5,13114,1311400800,中野区,中野区新井,,中野区新井,2,1300,法人でない団体,21,12,9,-,-,-,-,-,-,-,-,-,21,12,9,20,11,9,10,7,3,10,4,6,1,1,-,-,-,-,1,1,-,22,13,9
