地域階層,地域コード,地域名,産業分類階層,大分類,中分類,小分類,小分類の内訳,産業分類名称,企業常用雇用者規模階層,企業常用雇用者規模コード,企業常用雇用者規模名称,総数（経営組織）／企業等数,総数（経営組織）／企業事業所数（事業所）,総数（経営組織）／企業従業者数（人）,総数（経営組織）／企業従業者数のうち常用労働者数（人）,個人／企業等数,個人／企業事業所数（事業所）,個人／企業従業者数（人）,個人／企業従業者数のうち常用労働者数（人）,会社企業／総数（資本金階級）／企業等数,会社企業／総数（資本金階級）／企業事業所数（事業所）,会社企業／総数（資本金階級）／企業従業者数（人）,会社企業／総数（資本金階級）／企業従業者数のうち常用労働者数（人）,会社企業／資本金300万円未満／企業等数,会社企業／資本金300万円未満／企業事業所数（事業所）,会社企業／資本金300万円未満／企業従業者数（人）,会社企業／資本金300万円未満／企業従業者数のうち常用労働者数（人）,会社企業／資本金300万～500万円未満／企業等数,会社企業／資本金300万～500万円未満／企業事業所数（事業所）,会社企業／資本金300万～500万円未満／企業従業者数（人）,会社企業／資本金300万～500万円未満／企業従業者数のうち常用労働者数（人）,会社企業／資本金500万～1000万円未満／企業等数,会社企業／資本金500万～1000万円未満／企業事業所数（事業所）,会社企業／資本金500万～1000万円未満／企業従業者数（人）,会社企業／資本金500万～1000万円未満／企業従業者数のうち常用労働者数（人）,会社企業／資本金1000万～3000万円未満／企業等数,会社企業／資本金1000万～3000万円未満／企業事業所数（事業所）,会社企業／資本金1000万～3000万円未満／企業従業者数（人）,会社企業／資本金1000万～3000万円未満／企業従業者数のうち常用労働者数（人）,会社企業／資本金3000万～5000万円未満／企業等数,会社企業／資本金3000万～5000万円未満／企業事業所数（事業所）,会社企業／資本金3000万～5000万円未満／企業従業者数（人）,会社企業／資本金3000万～5000万円未満／企業従業者数のうち常用労働者数（人）,会社企業／資本金5000万～1億円未満／企業等数,会社企業／資本金5000万～1億円未満／企業事業所数（事業所）,会社企業／資本金5000万～1億円未満／企業従業者数（人）,会社企業／資本金5000万～1億円未満／企業従業者数のうち常用労働者数（人）,会社企業／資本金1億～3億円未満／企業等数,会社企業／資本金1億～3億円未満／企業事業所数（事業所）,会社企業／資本金1億～3億円未満／企業従業者数（人）,会社企業／資本金1億～3億円未満／企業従業者数のうち常用労働者数（人）,会社企業／資本金3億～10億円未満／企業等数,会社企業／資本金3億～10億円未満／企業事業所数（事業所）,会社企業／資本金3億～10億円未満／企業従業者数（人）,会社企業／資本金3億～10億円未満／企業従業者数のうち常用労働者数（人）,会社企業／資本金10億～50億円未満／企業等数,会社企業／資本金10億～50億円未満／企業事業所数（事業所）,会社企業／資本金10億～50億円未満／企業従業者数（人）,会社企業／資本金10億～50億円未満／企業従業者数のうち常用労働者数（人）,会社企業／資本金50億円以上／企業等数,会社企業／資本金50億円以上／企業事業所数（事業所）,会社企業／資本金50億円以上／企業従業者数（人）,会社企業／資本金50億円以上／企業従業者数のうち常用労働者数（人）,会社企業／（再掲）資本金1000万円以下／企業等数,会社企業／（再掲）資本金1000万円以下／企業事業所数（事業所）,会社企業／（再掲）資本金1000万円以下／企業従業者数（人）,会社企業／（再掲）資本金1000万円以下／企業従業者数のうち常用労働者数（人）,会社企業／（再掲）資本金5000万円以下／企業等数,会社企業／（再掲）資本金5000万円以下／企業事業所数（事業所）,会社企業／（再掲）資本金5000万円以下／企業従業者数（人）,会社企業／（再掲）資本金5000万円以下／企業従業者数のうち常用労働者数（人）,会社企業／（再掲）資本金1億円以下／企業等数,会社企業／（再掲）資本金1億円以下／企業事業所数（事業所）,会社企業／（再掲）資本金1億円以下／企業従業者数（人）,会社企業／（再掲）資本金1億円以下／企業従業者数のうち常用労働者数（人）,会社企業／（再掲）資本金3億円以下／企業等数,会社企業／（再掲）資本金3億円以下／企業事業所数（事業所）,会社企業／（再掲）資本金3億円以下／企業従業者数（人）,会社企業／（再掲）資本金3億円以下／企業従業者数のうち常用労働者数（人）,会社以外の法人／企業等数,会社以外の法人／企業事業所数（事業所）,会社以外の法人／企業従業者数（人）,会社以外の法人／企業従業者数のうち常用労働者数（人）
4,13223,武蔵村山市,0,A-R,00,000,000,全産業（Ｓ公務を除く）,0,00,総数（企業常用雇用者規模）,1821,2083,16413,12916,690,697,2045,1017,1064,1307,12298,9987,66,76,508,391,477,503,2662,1822,145,191,1446,1153,290,372,4560,3818,33,71,1531,1427,6,12,413,397,5,18,368,351,-,-,-,-,-,-,-,-,1,2,356,344,912,1046,7489,5689,1013,1219,10828,8728,1018,1227,11132,9016,1022,1243,11488,9359,67,79,2070,1912
4,13223,武蔵村山市,0,A-R,00,000,000,全産業（Ｓ公務を除く）,1,01,企業常用雇用者0～4人,1337,1364,3702,1521,638,643,1432,482,680,702,2213,1001,49,51,120,54,369,374,1144,527,92,97,326,140,139,144,514,226,5,5,29,12,-,-,-,-,1,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,627,644,2002,899,654,671,2133,959,654,671,2133,959,655,672,2135,959,19,19,57,38
4,13223,武蔵村山市,0,A-R,00,000,000,全産業（Ｓ公務を除く）,1,02,企業常用雇用者5～9人,218,245,1883,1445,30,32,228,190,173,197,1505,1146,6,6,51,35,70,77,604,464,27,32,229,182,56,63,496,363,6,7,56,48,1,1,12,9,1,2,12,8,-,-,-,-,-,-,-,-,-,-,-,-,144,162,1243,950,165,185,1436,1092,167,188,1460,1109,167,188,1460,1109,15,16,150,109
4,13223,武蔵村山市,0,A-R,00,000,000,全産業（Ｓ公務を除く）,1,03,企業常用雇用者10～19人,139,164,2268,1907,17,17,264,231,109,134,1823,1505,4,4,88,60,27,33,427,371,16,17,240,209,49,60,845,667,8,11,135,120,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,84,101,1406,1144,104,125,1735,1427,104,125,1735,1427,104,125,1735,1427,13,13,181,171
4,13223,武蔵村山市,0,A-R,00,000,000,全産業（Ｓ公務を除く）,1,04,企業常用雇用者20～29人,43,72,1259,1054,5,5,121,114,35,60,1051,858,4,7,98,96,5,7,138,126,5,7,132,122,15,27,432,372,2,2,61,56,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,24,35,651,589,31,50,861,772,31,50,861,772,31,50,861,772,3,7,87,82
4,13223,武蔵村山市,0,A-R,00,000,000,全産業（Ｓ公務を除く）,1,05,企業常用雇用者30～49人,33,63,1342,1272,-,-,-,-,28,58,1155,1086,2,3,74,73,4,6,180,170,2,2,93,85,13,20,492,468,4,18,169,157,2,5,94,92,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18,26,716,682,26,53,1056,1000,27,54,1102,1045,27,54,1102,1045,5,5,187,186
4,13223,武蔵村山市,0,A-R,00,000,000,全産業（Ｓ公務を除く）,1,06,企業常用雇用者50～99人,35,81,2566,2466,-,-,-,-,26,70,2000,1911,1,5,77,73,2,6,169,164,2,12,165,159,13,38,974,926,4,4,340,324,2,3,136,129,2,2,139,136,-,-,-,-,-,-,-,-,-,-,-,-,12,44,923,882,23,67,1798,1716,24,68,1861,1775,26,70,2000,1911,9,11,566,555
4,13223,武蔵村山市,0,A-R,00,000,000,全産業（Ｓ公務を除く）,1,07,企業常用雇用者100～299人,13,85,2226,2167,-,-,-,-,11,79,1891,1832,-,-,-,-,-,-,-,-,1,24,261,256,5,20,807,796,3,19,437,406,1,3,171,167,1,13,215,207,-,-,-,-,-,-,-,-,-,-,-,-,3,34,548,543,9,63,1505,1458,10,66,1676,1625,11,79,1891,1832,2,6,335,335
4,13223,武蔵村山市,0,A-R,00,000,000,全産業（Ｓ公務を除く）,1,08,企業常用雇用者300～999人,3,9,1167,1084,-,-,-,-,2,7,660,648,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,5,304,304,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,356,344,-,-,-,-,1,5,304,304,1,5,304,304,1,5,304,304,1,2,507,436
4,13223,武蔵村山市,0,A-R,00,000,000,全産業（Ｓ公務を除く）,1,09,企業常用雇用者1000～1999人,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
