地域階層,地域コード,東京都26町丁目コード,区市町村名称,町・大字名,丁目・字,地域名称,経営組織階層,経営組織コード,経営組織名称,従業者数（人）,従業者数／男（人）,従業者数／女（人）,従業者数／個人業主（人）,従業者数／個人業主／男（人）,従業者数／個人業主／女（人）,従業者数／無給の家族従業者（人）,従業者数／無給の家族従業者／男（人）,従業者数／無給の家族従業者／女（人）,従業者数／有給役員（人）,従業者数／有給役員／男（人）,従業者数／有給役員／女（人）,従業者数／雇用者（人）,従業者数／雇用者／男（人）,従業者数／雇用者／女（人）,従業者数／雇用者／常用雇用者（人）,従業者数／雇用者／常用雇用者／男（人）,従業者数／雇用者／常用雇用者／女（人）,従業者数／雇用者／常用雇用者／正社員・正職員（人）,従業者数／雇用者／常用雇用者／正社員・正職員／男（人）,従業者数／雇用者／常用雇用者／正社員・正職員／女（人）,従業者数／雇用者／常用雇用者／正社員・正職員以外（人）,従業者数／雇用者／常用雇用者／正社員・正職員以外／男（人）,従業者数／雇用者／常用雇用者／正社員・正職員以外／女（人）,従業者数／雇用者／臨時雇用者（人）,従業者数／雇用者／臨時雇用者／男（人）,従業者数／雇用者／臨時雇用者／女（人）,従業者数／（再掲）他への出向・派遣従業者（人）,従業者数／（再掲）他への出向・派遣従業者／男（人）,従業者数／（再掲）他への出向・派遣従業者／女（人）,他からの出向・派遣従業者（人）,他からの出向・派遣従業者／男（人）,他からの出向・派遣従業者／女（人）,事業従事者数（人）,事業従事者数／男（人）,事業従事者数／女（人）
4,13110,1311000000,目黒区,,,目黒区,1,1000,民営,133033,71318,61411,3265,2303,962,654,162,492,9583,6562,3020,119531,62291,56937,113318,59425,53590,71603,44538,26777,41715,14887,26813,6213,2866,3347,4114,2322,1792,3124,1577,1547,132043,70573,61166
4,13110,1311000000,目黒区,,,目黒区,2,1100,個人,9740,4426,5314,3265,2303,962,654,162,492,-,-,-,5821,1961,3860,5266,1763,3503,2643,989,1654,2623,774,1849,555,198,357,24,11,13,69,40,29,9785,4455,5330
4,13110,1311000000,目黒区,,,目黒区,3,1210,会社,104538,58904,45330,-,-,-,-,-,-,8971,6134,2836,95567,52770,42494,90433,50322,39808,57015,38081,18646,33418,12241,21162,5134,2448,2686,3991,2235,1756,2784,1482,1302,103331,58151,44876
4,13110,1311000000,目黒区,,,目黒区,3,1220,会社以外の法人,18262,7796,10466,-,-,-,-,-,-,573,393,180,17689,7403,10286,17171,7184,9987,11731,5379,6352,5440,1805,3635,518,219,299,97,74,23,269,53,216,18434,7775,10659
4,13110,1311000000,目黒区,,,目黒区,2,1300,法人でない団体,493,192,301,-,-,-,-,-,-,39,35,4,454,157,297,448,156,292,214,89,125,234,67,167,6,1,5,2,2,-,2,2,-,493,192,301
5,13110,1311000200,目黒区,目黒区青葉台,,目黒区青葉台,1,1000,民営,11048,6116,4923,66,53,13,12,2,10,507,370,137,10463,5691,4763,10056,5529,4518,6854,4443,2402,3202,1086,2116,407,162,245,975,667,308,326,116,210,10399,5565,4825
5,13110,1311000200,目黒区,目黒区青葉台,,目黒区青葉台,2,1100,個人,227,119,108,66,53,13,12,2,10,-,-,-,149,64,85,143,61,82,83,35,48,60,26,34,6,3,3,-,-,-,-,-,-,227,119,108
5,13110,1311000200,目黒区,目黒区青葉台,,目黒区青葉台,3,1210,会社,10494,5801,4684,-,-,-,-,-,-,495,359,136,9999,5442,4548,9604,5288,4307,6522,4255,2258,3082,1033,2049,395,154,241,973,665,308,318,115,203,9839,5251,4579
5,13110,1311000200,目黒区,目黒区青葉台,,目黒区青葉台,3,1220,会社以外の法人,273,159,114,-,-,-,-,-,-,10,9,1,263,150,113,257,145,112,199,119,80,58,26,32,6,5,1,2,2,-,8,1,7,279,158,121
5,13110,1311000200,目黒区,目黒区青葉台,,目黒区青葉台,2,1300,法人でない団体,54,37,17,-,-,-,-,-,-,2,2,-,52,35,17,52,35,17,50,34,16,2,1,1,-,-,-,-,-,-,-,-,-,54,37,17
6,13110,1311000201,目黒区,目黒区青葉台,１丁目,目黒区青葉台１丁目,1,1000,民営,2408,1210,1198,40,32,8,9,2,7,230,148,82,2129,1028,1101,1958,927,1031,1384,730,654,574,197,377,171,101,70,46,6,40,38,11,27,2400,1215,1185
6,13110,1311000201,目黒区,目黒区青葉台,１丁目,目黒区青葉台１丁目,2,1100,個人,139,64,75,40,32,8,9,2,7,-,-,-,90,30,60,84,27,57,49,19,30,35,8,27,6,3,3,-,-,-,-,-,-,139,64,75
6,13110,1311000201,目黒区,目黒区青葉台,１丁目,目黒区青葉台１丁目,3,1210,会社,2227,1122,1105,-,-,-,-,-,-,228,146,82,1999,976,1023,1840,883,957,1315,697,618,525,186,339,159,93,66,46,6,40,34,11,23,2215,1127,1088
6,13110,1311000201,目黒区,目黒区青葉台,１丁目,目黒区青葉台１丁目,3,1220,会社以外の法人,42,24,18,-,-,-,-,-,-,2,2,-,40,22,18,34,17,17,20,14,6,14,3,11,6,5,1,-,-,-,4,-,4,46,24,22
6,13110,1311000201,目黒区,目黒区青葉台,１丁目,目黒区青葉台１丁目,2,1300,法人でない団体,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,13110,1311000202,目黒区,目黒区青葉台,２丁目,目黒区青葉台２丁目,1,1000,民営,3098,1624,1474,4,3,1,-,-,-,102,78,24,2992,1543,1449,2980,1534,1446,1677,1029,648,1303,505,798,12,9,3,527,481,46,45,5,40,2616,1148,1468
6,13110,1311000202,目黒区,目黒区青葉台,２丁目,目黒区青葉台２丁目,2,1100,個人,25,22,3,4,3,1,-,-,-,-,-,-,21,19,2,21,19,2,6,4,2,15,15,-,-,-,-,-,-,-,-,-,-,25,22,3
6,13110,1311000202,目黒区,目黒区青葉台,２丁目,目黒区青葉台２丁目,3,1210,会社,3049,1595,1454,-,-,-,-,-,-,98,75,23,2951,1520,1431,2939,1511,1428,1657,1023,634,1282,488,794,12,9,3,527,481,46,45,5,40,2567,1119,1448
6,13110,1311000202,目黒区,目黒区青葉台,２丁目,目黒区青葉台２丁目,3,1220,会社以外の法人,12,4,8,-,-,-,-,-,-,2,1,1,10,3,7,10,3,7,4,1,3,6,2,4,-,-,-,-,-,-,-,-,-,12,4,8
6,13110,1311000202,目黒区,目黒区青葉台,２丁目,目黒区青葉台２丁目,2,1300,法人でない団体,12,3,9,-,-,-,-,-,-,2,2,-,10,1,9,10,1,9,10,1,9,-,-,-,-,-,-,-,-,-,-,-,-,12,3,9
6,13110,1311000203,目黒区,目黒区青葉台,３丁目,目黒区青葉台３丁目,1,1000,民営,3265,2110,1155,13,10,3,2,-,2,124,102,22,3126,1998,1128,2906,1949,957,2314,1690,624,592,259,333,220,49,171,399,177,222,111,59,52,2977,1992,985
6,13110,1311000203,目黒区,目黒区青葉台,３丁目,目黒区青葉台３丁目,2,1100,個人,41,23,18,13,10,3,2,-,2,-,-,-,26,13,13,26,13,13,16,10,6,10,3,7,-,-,-,-,-,-,-,-,-,41,23,18
6,13110,1311000203,目黒区,目黒区青葉台,３丁目,目黒区青葉台３丁目,3,1210,会社,3043,1988,1055,-,-,-,-,-,-,122,100,22,2921,1888,1033,2701,1839,862,2138,1590,548,563,249,314,220,49,171,399,177,222,107,58,49,2751,1869,882
6,13110,1311000203,目黒区,目黒区青葉台,３丁目,目黒区青葉台３丁目,3,1220,会社以外の法人,139,65,74,-,-,-,-,-,-,2,2,-,137,63,74,137,63,74,120,57,63,17,6,11,-,-,-,-,-,-,4,1,3,143,66,77
6,13110,1311000203,目黒区,目黒区青葉台,３丁目,目黒区青葉台３丁目,2,1300,法人でない団体,42,34,8,-,-,-,-,-,-,-,-,-,42,34,8,42,34,8,40,33,7,2,1,1,-,-,-,-,-,-,-,-,-,42,34,8
6,13110,1311000204,目黒区,目黒区青葉台,４丁目,目黒区青葉台４丁目,1,1000,民営,2277,1172,1096,9,8,1,1,-,1,51,42,9,2216,1122,1085,2212,1119,1084,1479,994,476,733,125,608,4,3,1,3,3,-,132,41,91,2406,1210,1187
6,13110,1311000204,目黒区,目黒区青葉台,４丁目,目黒区青葉台４丁目,2,1100,個人,22,10,12,9,8,1,1,-,1,-,-,-,12,2,10,12,2,10,12,2,10,-,-,-,-,-,-,-,-,-,-,-,-,22,10,12
6,13110,1311000204,目黒区,目黒区青葉台,４丁目,目黒区青葉台４丁目,3,1210,会社,2175,1096,1070,-,-,-,-,-,-,47,38,9,2128,1058,1061,2124,1055,1060,1412,945,458,712,110,602,4,3,1,1,1,-,132,41,91,2306,1136,1161
6,13110,1311000204,目黒区,目黒区青葉台,４丁目,目黒区青葉台４丁目,3,1220,会社以外の法人,80,66,14,-,-,-,-,-,-,4,4,-,76,62,14,76,62,14,55,47,8,21,15,6,-,-,-,2,2,-,-,-,-,78,64,14
6,13110,1311000204,目黒区,目黒区青葉台,４丁目,目黒区青葉台４丁目,2,1300,法人でない団体,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,13110,1311002100,目黒区,目黒区大岡山,,目黒区大岡山,1,1000,民営,3328,1825,1503,51,32,19,27,14,13,111,81,30,3139,1698,1441,3118,1695,1423,1533,1144,389,1585,551,1034,21,3,18,34,22,12,37,18,19,3331,1821,1510
5,13110,1311002100,目黒区,目黒区大岡山,,目黒区大岡山,2,1100,個人,99,54,45,51,32,19,27,14,13,-,-,-,21,8,13,21,8,13,12,5,7,9,3,6,-,-,-,-,-,-,-,-,-,99,54,45
5,13110,1311002100,目黒区,目黒区大岡山,,目黒区大岡山,3,1210,会社,744,341,403,-,-,-,-,-,-,99,70,29,645,271,374,627,268,359,290,177,113,337,91,246,18,3,15,8,8,-,13,7,6,749,340,409
5,13110,1311002100,目黒区,目黒区大岡山,,目黒区大岡山,3,1220,会社以外の法人,2473,1427,1046,-,-,-,-,-,-,12,11,1,2461,1416,1045,2458,1416,1042,1231,962,269,1227,454,773,3,-,3,26,14,12,24,11,13,2471,1424,1047
5,13110,1311002100,目黒区,目黒区大岡山,,目黒区大岡山,2,1300,法人でない団体,12,3,9,-,-,-,-,-,-,-,-,-,12,3,9,12,3,9,-,-,-,12,3,9,-,-,-,-,-,-,-,-,-,12,3,9
6,13110,1311002101,目黒区,目黒区大岡山,１丁目,目黒区大岡山１丁目,1,1000,民営,699,333,366,39,24,15,23,13,10,90,63,27,547,233,314,532,230,302,265,154,111,267,76,191,15,3,12,8,8,-,13,7,6,704,332,372
6,13110,1311002101,目黒区,目黒区大岡山,１丁目,目黒区大岡山１丁目,2,1100,個人,79,45,34,39,24,15,23,13,10,-,-,-,17,8,9,17,8,9,11,5,6,6,3,3,-,-,-,-,-,-,-,-,-,79,45,34
