地域階層,地域コード,東京都26町丁目コード,区市町村名称,町・大字名,丁目・字,地域名称,経営組織階層,経営組織コード,経営組織名称,従業者数（人）,従業者数／男（人）,従業者数／女（人）,従業者数／個人業主（人）,従業者数／個人業主／男（人）,従業者数／個人業主／女（人）,従業者数／無給の家族従業者（人）,従業者数／無給の家族従業者／男（人）,従業者数／無給の家族従業者／女（人）,従業者数／有給役員（人）,従業者数／有給役員／男（人）,従業者数／有給役員／女（人）,従業者数／雇用者（人）,従業者数／雇用者／男（人）,従業者数／雇用者／女（人）,従業者数／雇用者／常用雇用者（人）,従業者数／雇用者／常用雇用者／男（人）,従業者数／雇用者／常用雇用者／女（人）,従業者数／雇用者／常用雇用者／正社員・正職員（人）,従業者数／雇用者／常用雇用者／正社員・正職員／男（人）,従業者数／雇用者／常用雇用者／正社員・正職員／女（人）,従業者数／雇用者／常用雇用者／正社員・正職員以外（人）,従業者数／雇用者／常用雇用者／正社員・正職員以外／男（人）,従業者数／雇用者／常用雇用者／正社員・正職員以外／女（人）,従業者数／雇用者／臨時雇用者（人）,従業者数／雇用者／臨時雇用者／男（人）,従業者数／雇用者／臨時雇用者／女（人）,従業者数／（再掲）他への出向・派遣従業者（人）,従業者数／（再掲）他への出向・派遣従業者／男（人）,従業者数／（再掲）他への出向・派遣従業者／女（人）,他からの出向・派遣従業者（人）,他からの出向・派遣従業者／男（人）,他からの出向・派遣従業者／女（人）,事業従事者数（人）,事業従事者数／男（人）,事業従事者数／女（人）
4,13118,1311800000,荒川区,,,荒川区,1,1000,民営,78958,46449,32482,3551,2670,881,992,232,760,7591,5445,2146,66824,38102,28695,63186,36498,26661,40869,27722,13132,22317,8776,13529,3638,1604,2034,1156,876,280,1284,794,490,79086,46367,32692
4,13118,1311800000,荒川区,,,荒川区,2,1100,個人,8812,4485,4327,3551,2670,881,992,232,760,-,-,-,4269,1583,2686,3883,1425,2458,2270,943,1327,1613,482,1131,386,158,228,21,12,9,22,14,8,8813,4487,4326
4,13118,1311800000,荒川区,,,荒川区,3,1210,会社,59399,37898,21474,-,-,-,-,-,-,7073,5084,1989,52326,32814,19485,49784,31648,18109,31854,24223,7616,17930,7425,10493,2542,1166,1376,1072,819,253,1089,713,376,59416,37792,21597
4,13118,1311800000,荒川区,,,荒川区,3,1220,会社以外の法人,10657,4018,6639,-,-,-,-,-,-,510,356,154,10147,3662,6485,9438,3382,6056,6690,2522,4168,2748,860,1888,709,280,429,62,44,18,171,65,106,10766,4039,6727
4,13118,1311800000,荒川区,,,荒川区,2,1300,法人でない団体,90,48,42,-,-,-,-,-,-,8,5,3,82,43,39,81,43,38,55,34,21,26,9,17,1,-,1,1,1,-,2,2,-,91,49,42
5,13118,1311800200,荒川区,荒川区荒川,,荒川区荒川,1,1000,民営,10924,6442,4474,625,469,156,199,41,158,1020,722,298,9080,5210,3862,8616,5011,3597,5245,3696,1541,3371,1315,2056,464,199,265,176,131,45,255,203,52,11003,6514,4481
5,13118,1311800200,荒川区,荒川区荒川,,荒川区荒川,2,1100,個人,1521,773,748,625,469,156,199,41,158,-,-,-,697,263,434,654,247,407,366,147,219,288,100,188,43,16,27,3,2,1,3,2,1,1521,773,748
5,13118,1311800200,荒川区,荒川区荒川,,荒川区荒川,3,1210,会社,7977,5028,2941,-,-,-,-,-,-,887,624,263,7090,4404,2678,6752,4252,2492,4129,3191,930,2623,1061,1562,338,152,186,170,128,42,212,183,29,8019,5083,2928
5,13118,1311800200,荒川区,荒川区荒川,,荒川区荒川,3,1220,会社以外の法人,1412,636,776,-,-,-,-,-,-,132,97,35,1280,539,741,1198,508,690,743,355,388,455,153,302,82,31,51,3,1,2,40,18,22,1449,653,796
5,13118,1311800200,荒川区,荒川区荒川,,荒川区荒川,2,1300,法人でない団体,14,5,9,-,-,-,-,-,-,1,1,-,13,4,9,12,4,8,7,3,4,5,1,4,1,-,1,-,-,-,-,-,-,14,5,9
6,13118,1311800201,荒川区,荒川区荒川,１丁目,荒川区荒川１丁目,1,1000,民営,1120,645,475,70,55,15,18,5,13,126,82,44,906,503,403,844,467,377,531,373,158,313,94,219,62,36,26,3,2,1,4,1,3,1121,644,477
6,13118,1311800201,荒川区,荒川区荒川,１丁目,荒川区荒川１丁目,2,1100,個人,153,79,74,70,55,15,18,5,13,-,-,-,65,19,46,62,17,45,30,9,21,32,8,24,3,2,1,-,-,-,-,-,-,153,79,74
