地域階層,地域コード,東京都26町丁目コード,区市町村名称,町・大字名,丁目・字,地域名称,資本金階級階層,資本金階級コード,資本金階級名称,A～R全産業（Ｓ公務を除く）／会社企業数,A～R全産業（Ｓ公務を除く）／企業従業者数（人）,A～B農林漁業／会社企業数,A～B農林漁業／企業従業者数（人）,A農業，林業／会社企業数,A農業，林業／企業従業者数（人）,B漁業／会社企業数,B漁業／企業従業者数（人）,C～R非農林漁業（Ｓ公務を除く）／会社企業数,C～R非農林漁業（Ｓ公務を除く）／企業従業者数（人）,C鉱業，採石業，砂利採取業／会社企業数,C鉱業，採石業，砂利採取業／企業従業者数（人）,D建設業／会社企業数,D建設業／企業従業者数（人）,E製造業／会社企業数,E製造業／企業従業者数（人）,F電気・ガス・熱供給・水道業／会社企業数,F電気・ガス・熱供給・水道業／企業従業者数（人）,G情報通信業／会社企業数,G情報通信業／企業従業者数（人）,H運輸業，郵便業／会社企業数,H運輸業，郵便業／企業従業者数（人）,I卸売業，小売業／会社企業数,I卸売業，小売業／企業従業者数（人）,J金融業，保険業／会社企業数,J金融業，保険業／企業従業者数（人）,K不動産業，物品賃貸業／会社企業数,K不動産業，物品賃貸業／企業従業者数（人）,L学術研究，専門・技術サービス業／会社企業数,L学術研究，専門・技術サービス業／企業従業者数（人）,M宿泊業，飲食サービス業／会社企業数,M宿泊業，飲食サービス業／企業従業者数（人）,N生活関連サービス業，娯楽業／会社企業数,N生活関連サービス業，娯楽業／企業従業者数（人）,O教育，学習支援業／会社企業数,O教育，学習支援業／企業従業者数（人）,P医療，福祉／会社企業数,P医療，福祉／企業従業者数（人）,Q複合サービス事業／会社企業数,Q複合サービス事業／企業従業者数（人）,Rサービス業（他に分類されないもの）／会社企業数,Rサービス業（他に分類されないもの）／企業従業者数（人）
4,13123,1312300000,江戸川区,,,江戸川区,0,00,総数（資本金階級）,9024,130359,11,109,11,109,-,-,9013,130250,-,-,1661,15530,1908,21840,-,-,107,1029,438,17766,2116,27148,75,662,961,5970,269,2161,405,17516,318,4335,68,1598,179,4272,-,-,508,10423
4,13123,1312300000,江戸川区,,,江戸川区,1,01,資本金300万円未満,410,2166,1,9,1,9,-,-,409,2157,-,-,59,265,42,136,-,-,21,71,7,88,95,588,6,24,46,139,27,131,23,162,21,99,7,30,28,286,-,-,27,138
4,13123,1312300000,江戸川区,,,江戸川区,1,02,資本金300万～500万円未満,3489,20142,4,23,4,23,-,-,3485,20119,-,-,676,3499,737,3847,-,-,32,77,86,966,814,4804,33,109,387,1154,105,396,172,1493,148,1129,24,257,63,836,-,-,208,1552
4,13123,1312300000,江戸川区,,,江戸川区,1,03,資本金500万～1000万円未満,1046,7877,2,24,2,24,-,-,1044,7853,-,-,209,1657,192,1071,-,-,8,28,64,933,235,1781,9,38,117,370,23,153,64,603,36,285,6,39,27,452,-,-,54,443
4,13123,1312300000,江戸川区,,,江戸川区,1,04,資本金1000万～3000万円未満,3092,48031,3,40,3,40,-,-,3089,47991,-,-,579,6544,780,9627,-,-,35,377,209,7998,731,10374,20,106,320,1841,83,706,69,2504,55,1669,20,1082,27,835,-,-,161,4328
4,13123,1312300000,江戸川区,,,江戸川区,1,05,資本金3000万～5000万円未満,272,9272,1,13,1,13,-,-,271,9259,-,-,60,1326,58,1785,-,-,3,413,27,1946,65,2223,-,-,30,391,6,156,3,74,7,396,1,26,-,-,-,-,11,523
4,13123,1312300000,江戸川区,,,江戸川区,1,06,資本金5000万～1億円未満,170,13107,-,-,-,-,-,-,170,13107,-,-,25,914,35,2352,-,-,-,-,15,2838,47,3224,1,3,29,1226,4,480,2,114,4,146,-,-,1,1058,-,-,7,752
4,13123,1312300000,江戸川区,,,江戸川区,1,07,資本金1億～3億円未満,37,7972,-,-,-,-,-,-,37,7972,-,-,4,241,7,537,-,-,1,8,2,296,7,2230,1,5,7,115,1,10,2,2627,1,17,-,-,-,-,-,-,4,1886
4,13123,1312300000,江戸川区,,,江戸川区,1,08,資本金3億～10億円未満,23,13870,-,-,-,-,-,-,23,13870,-,-,3,574,5,1381,-,-,-,-,2,1542,3,297,2,349,3,109,-,-,1,9170,1,28,-,-,1,361,-,-,2,59
4,13123,1312300000,江戸川区,,,江戸川区,1,09,資本金10億～50億円未満,3,693,-,-,-,-,-,-,3,693,-,-,-,-,1,192,-,-,-,-,-,-,1,18,-,-,1,483,-,-,-,-,-,-,-,-,-,-,-,-,-,-
