地域階層,地域コード,東京都26町丁目コード,区市町村名称,町・大字名,丁目・字,地域名称,経営組織階層,経営組織コード,経営組織名称,従業者数（人）,従業者数／男（人）,従業者数／女（人）,従業者数／個人業主（人）,従業者数／個人業主／男（人）,従業者数／個人業主／女（人）,従業者数／無給の家族従業者（人）,従業者数／無給の家族従業者／男（人）,従業者数／無給の家族従業者／女（人）,従業者数／有給役員（人）,従業者数／有給役員／男（人）,従業者数／有給役員／女（人）,従業者数／雇用者（人）,従業者数／雇用者／男（人）,従業者数／雇用者／女（人）,従業者数／雇用者／常用雇用者（人）,従業者数／雇用者／常用雇用者／男（人）,従業者数／雇用者／常用雇用者／女（人）,従業者数／雇用者／常用雇用者／正社員・正職員（人）,従業者数／雇用者／常用雇用者／正社員・正職員／男（人）,従業者数／雇用者／常用雇用者／正社員・正職員／女（人）,従業者数／雇用者／常用雇用者／正社員・正職員以外（人）,従業者数／雇用者／常用雇用者／正社員・正職員以外／男（人）,従業者数／雇用者／常用雇用者／正社員・正職員以外／女（人）,従業者数／雇用者／臨時雇用者（人）,従業者数／雇用者／臨時雇用者／男（人）,従業者数／雇用者／臨時雇用者／女（人）,従業者数／（再掲）他への出向・派遣従業者（人）,従業者数／（再掲）他への出向・派遣従業者／男（人）,従業者数／（再掲）他への出向・派遣従業者／女（人）,他からの出向・派遣従業者（人）,他からの出向・派遣従業者／男（人）,他からの出向・派遣従業者／女（人）,事業従事者数（人）,事業従事者数／男（人）,事業従事者数／女（人）
4,13206,1320600000,府中市,,,府中市,1,1000,民営,103925,61769,41823,2375,1712,663,520,130,390,5244,3721,1515,95786,56206,39255,90468,53991,36152,56471,41306,14840,33997,12685,21312,5318,2215,3103,1719,1297,422,4591,3055,1408,106797,63527,42809
4,13206,1320600000,府中市,,,府中市,2,1100,個人,7269,3153,4116,2375,1712,663,520,130,390,-,-,-,4374,1311,3063,3860,1154,2706,1536,534,1002,2324,620,1704,514,157,357,18,10,8,18,4,14,7269,3147,4122
4,13206,1320600000,府中市,,,府中市,3,1210,会社,82950,53702,28915,-,-,-,-,-,-,4794,3401,1385,78156,50301,27530,75156,48736,26095,47957,37901,9731,27199,10835,16364,3000,1565,1435,1687,1280,407,4342,2965,1249,85605,55387,29757
4,13206,1320600000,府中市,,,府中市,3,1220,会社以外の法人,13669,4894,8775,-,-,-,-,-,-,445,317,128,13224,4577,8647,11423,4084,7339,6958,2855,4103,4465,1229,3236,1801,493,1308,14,7,7,222,79,143,13877,4966,8911
4,13206,1320600000,府中市,,,府中市,2,1300,法人でない団体,37,20,17,-,-,-,-,-,-,5,3,2,32,17,15,29,17,12,20,16,4,9,1,8,3,-,3,-,-,-,9,7,2,46,27,19
5,13206,1320600200,府中市,府中市朝日町,,府中市朝日町,1,1000,民営,2769,1223,1546,50,35,15,6,1,5,83,65,18,2630,1122,1508,2516,1071,1445,1282,623,659,1234,448,786,114,51,63,1,1,-,5,4,1,2773,1226,1547
5,13206,1320600200,府中市,府中市朝日町,,府中市朝日町,2,1100,個人,142,56,86,50,35,15,6,1,5,-,-,-,86,20,66,80,18,62,20,4,16,60,14,46,6,2,4,-,-,-,-,-,-,142,56,86
5,13206,1320600200,府中市,府中市朝日町,,府中市朝日町,3,1210,会社,645,300,345,-,-,-,-,-,-,68,54,14,577,246,331,531,213,318,183,122,61,348,91,257,46,33,13,1,1,-,3,3,-,647,302,345
5,13206,1320600200,府中市,府中市朝日町,,府中市朝日町,3,1220,会社以外の法人,1982,867,1115,-,-,-,-,-,-,15,11,4,1967,856,1111,1905,840,1065,1079,497,582,826,343,483,62,16,46,-,-,-,2,1,1,1984,868,1116
5,13206,1320600200,府中市,府中市朝日町,,府中市朝日町,2,1300,法人でない団体,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
