地域階層,地域コード,東京都26町丁目コード,区市町村名称,町・大字名,丁目・字,地域名称,経営組織階層,経営組織コード,経営組織名称,従業者数（人）,従業者数／男（人）,従業者数／女（人）,従業者数／個人業主（人）,従業者数／個人業主／男（人）,従業者数／個人業主／女（人）,従業者数／無給の家族従業者（人）,従業者数／無給の家族従業者／男（人）,従業者数／無給の家族従業者／女（人）,従業者数／有給役員（人）,従業者数／有給役員／男（人）,従業者数／有給役員／女（人）,従業者数／雇用者（人）,従業者数／雇用者／男（人）,従業者数／雇用者／女（人）,従業者数／雇用者／常用雇用者（人）,従業者数／雇用者／常用雇用者／男（人）,従業者数／雇用者／常用雇用者／女（人）,従業者数／雇用者／常用雇用者／正社員・正職員（人）,従業者数／雇用者／常用雇用者／正社員・正職員／男（人）,従業者数／雇用者／常用雇用者／正社員・正職員／女（人）,従業者数／雇用者／常用雇用者／正社員・正職員以外（人）,従業者数／雇用者／常用雇用者／正社員・正職員以外／男（人）,従業者数／雇用者／常用雇用者／正社員・正職員以外／女（人）,従業者数／雇用者／臨時雇用者（人）,従業者数／雇用者／臨時雇用者／男（人）,従業者数／雇用者／臨時雇用者／女（人）,従業者数／（再掲）他への出向・派遣従業者（人）,従業者数／（再掲）他への出向・派遣従業者／男（人）,従業者数／（再掲）他への出向・派遣従業者／女（人）,他からの出向・派遣従業者（人）,他からの出向・派遣従業者／男（人）,他からの出向・派遣従業者／女（人）,事業従事者数（人）,事業従事者数／男（人）,事業従事者数／女（人）
4,13122,1312200000,葛飾区,,,葛飾区,1,1000,民営,131946,71960,59944,6906,5243,1663,1676,402,1274,11981,8342,3639,111383,57973,53368,105480,55152,50286,59166,38552,20606,46314,16600,29680,5903,2821,3082,560,379,181,1228,763,465,132614,72344,60228
4,13122,1312200000,葛飾区,,,葛飾区,2,1100,個人,17479,8492,8987,6906,5243,1663,1676,402,1274,-,-,-,8897,2847,6050,8187,2581,5606,4410,1568,2842,3777,1013,2764,710,266,444,44,20,24,41,16,25,17476,8488,8988
4,13122,1312200000,葛飾区,,,葛飾区,3,1210,会社,97371,57488,39841,-,-,-,-,-,-,11157,7791,3366,86214,49697,36475,81600,47393,34165,44462,33465,10989,37138,13928,23176,4614,2304,2310,494,348,146,1012,675,337,97889,57815,40032
4,13122,1312200000,葛飾区,,,葛飾区,3,1220,会社以外の法人,17023,5942,11081,-,-,-,-,-,-,812,542,270,16211,5400,10811,15645,5153,10492,10255,3497,6758,5390,1656,3734,566,247,319,22,11,11,175,72,103,17176,6003,11173
4,13122,1312200000,葛飾区,,,葛飾区,2,1300,法人でない団体,73,38,35,-,-,-,-,-,-,12,9,3,61,29,32,48,25,23,39,22,17,9,3,6,13,4,9,-,-,-,-,-,-,73,38,35
5,13122,1312201300,葛飾区,葛飾区青戸,,葛飾区青戸,1,1000,民営,8953,4325,4628,402,294,108,92,29,63,646,436,210,7813,3566,4247,7431,3386,4045,4524,2496,2028,2907,890,2017,382,180,202,18,11,7,132,76,56,9067,4390,4677
5,13122,1312201300,葛飾区,葛飾区青戸,,葛飾区青戸,2,1100,個人,1014,466,548,402,294,108,92,29,63,-,-,-,520,143,377,472,125,347,246,74,172,226,51,175,48,18,30,2,-,2,5,1,4,1017,467,550
5,13122,1312201300,葛飾区,葛飾区青戸,,葛飾区青戸,3,1210,会社,5857,3220,2637,-,-,-,-,-,-,585,397,188,5272,2823,2449,5000,2687,2313,2843,1978,865,2157,709,1448,272,136,136,12,9,3,92,72,20,5937,3283,2654
5,13122,1312201300,葛飾区,葛飾区青戸,,葛飾区青戸,3,1220,会社以外の法人,2065,634,1431,-,-,-,-,-,-,61,39,22,2004,595,1409,1954,573,1381,1432,443,989,522,130,392,50,22,28,4,2,2,35,3,32,2096,635,1461
5,13122,1312201300,葛飾区,葛飾区青戸,,葛飾区青戸,2,1300,法人でない団体,17,5,12,-,-,-,-,-,-,-,-,-,17,5,12,5,1,4,3,1,2,2,-,2,12,4,8,-,-,-,-,-,-,17,5,12
