地域階層,地域コード,東京都26町丁目コード,区市町村名称,町・大字名,丁目・字,地域名称,資本金階級階層,資本金階級コード,資本金階級名称,A～R全産業（Ｓ公務を除く）／会社企業数,A～R全産業（Ｓ公務を除く）／企業従業者数（人）,A～B農林漁業／会社企業数,A～B農林漁業／企業従業者数（人）,A農業，林業／会社企業数,A農業，林業／企業従業者数（人）,B漁業／会社企業数,B漁業／企業従業者数（人）,C～R非農林漁業（Ｓ公務を除く）／会社企業数,C～R非農林漁業（Ｓ公務を除く）／企業従業者数（人）,C鉱業，採石業，砂利採取業／会社企業数,C鉱業，採石業，砂利採取業／企業従業者数（人）,D建設業／会社企業数,D建設業／企業従業者数（人）,E製造業／会社企業数,E製造業／企業従業者数（人）,F電気・ガス・熱供給・水道業／会社企業数,F電気・ガス・熱供給・水道業／企業従業者数（人）,G情報通信業／会社企業数,G情報通信業／企業従業者数（人）,H運輸業，郵便業／会社企業数,H運輸業，郵便業／企業従業者数（人）,I卸売業，小売業／会社企業数,I卸売業，小売業／企業従業者数（人）,J金融業，保険業／会社企業数,J金融業，保険業／企業従業者数（人）,K不動産業，物品賃貸業／会社企業数,K不動産業，物品賃貸業／企業従業者数（人）,L学術研究，専門・技術サービス業／会社企業数,L学術研究，専門・技術サービス業／企業従業者数（人）,M宿泊業，飲食サービス業／会社企業数,M宿泊業，飲食サービス業／企業従業者数（人）,N生活関連サービス業，娯楽業／会社企業数,N生活関連サービス業，娯楽業／企業従業者数（人）,O教育，学習支援業／会社企業数,O教育，学習支援業／企業従業者数（人）,P医療，福祉／会社企業数,P医療，福祉／企業従業者数（人）,Q複合サービス事業／会社企業数,Q複合サービス事業／企業従業者数（人）,Rサービス業（他に分類されないもの）／会社企業数,Rサービス業（他に分類されないもの）／企業従業者数（人）
4,13118,1311800000,荒川区,,,荒川区,0,00,総数（資本金階級）,3999,86817,1,5,1,5,-,-,3998,86812,1,6,480,5714,1236,21746,-,-,76,1442,84,5894,1081,14445,33,348,251,1411,130,1007,222,8630,162,12414,29,497,78,1741,-,-,135,11517
4,13118,1311800000,荒川区,,,荒川区,1,01,資本金300万円未満,172,786,-,-,-,-,-,-,172,786,-,-,19,48,31,132,-,-,10,34,-,-,41,231,-,-,11,28,16,57,12,64,10,46,2,5,13,109,-,-,7,32
4,13118,1311800000,荒川区,,,荒川区,1,02,資本金300万～500万円未満,1383,6737,1,5,1,5,-,-,1382,6732,-,-,155,617,452,1955,-,-,12,23,16,82,362,1717,14,170,75,267,43,170,102,678,62,359,10,109,27,295,-,-,52,290
4,13118,1311800000,荒川区,,,荒川区,1,03,資本金500万～1000万円未満,403,2375,-,-,-,-,-,-,403,2375,-,-,40,154,143,734,-,-,4,22,11,92,90,462,4,7,22,84,6,34,33,295,15,171,5,23,12,69,-,-,18,228
4,13118,1311800000,荒川区,,,荒川区,1,04,資本金1000万～3000万円未満,1511,17909,-,-,-,-,-,-,1511,17909,1,6,212,1796,480,5461,-,-,40,606,40,2464,432,4153,11,164,120,536,55,479,33,638,33,672,6,132,13,308,-,-,35,494
4,13118,1311800000,荒川区,,,荒川区,1,05,資本金3000万～5000万円未満,139,6004,-,-,-,-,-,-,139,6004,-,-,14,344,47,1839,-,-,3,49,4,338,45,2017,1,1,5,87,-,-,3,202,7,799,-,-,1,51,-,-,9,277
4,13118,1311800000,荒川区,,,荒川区,1,06,資本金5000万～1億円未満,125,10501,-,-,-,-,-,-,125,10501,-,-,21,1262,39,2859,-,-,5,483,7,2064,35,2048,2,4,4,42,2,18,-,-,1,403,1,158,1,36,-,-,7,1124
4,13118,1311800000,荒川区,,,荒川区,1,07,資本金1億～3億円未満,38,12681,-,-,-,-,-,-,38,12681,-,-,4,565,8,1380,-,-,1,76,3,809,11,2379,-,-,2,57,3,193,2,6349,1,7,-,-,1,797,-,-,2,69
4,13118,1311800000,荒川区,,,荒川区,1,08,資本金3億～10億円未満,9,1914,-,-,-,-,-,-,9,1914,-,-,-,-,2,919,-,-,1,149,-,-,4,806,-,-,-,-,1,27,1,13,-,-,-,-,-,-,-,-,-,-
4,13118,1311800000,荒川区,,,荒川区,1,09,資本金10億～50億円未満,4,1538,-,-,-,-,-,-,4,1538,-,-,1,601,2,856,-,-,-,-,-,-,1,81,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13118,1311800000,荒川区,,,荒川区,1,10,資本金50億円以上,4,22942,-,-,-,-,-,-,4,22942,-,-,-,-,2,4948,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,9093,-,-,-,-,-,-,1,8901
4,13118,1311800000,荒川区,,,荒川区,9,91,（再掲）資本金1000万円以下,3182,21730,1,5,1,5,-,-,3181,21725,1,6,379,2080,1018,6384,-,-,60,611,58,1178,843,5342,27,335,208,768,108,549,175,1597,110,877,22,219,65,781,-,-,107,998
4,13118,1311800000,荒川区,,,荒川区,9,92,（再掲）資本金5000万円以下,3651,36673,1,5,1,5,-,-,3650,36668,1,6,450,3396,1160,10854,-,-,69,734,74,3155,985,9322,31,343,236,1035,121,750,183,1877,128,2450,24,427,66,832,-,-,122,1487
4,13118,1311800000,荒川区,,,荒川区,9,93,（再掲）資本金1億円以下,3758,53626,1,5,1,5,-,-,3757,53621,1,6,464,4651,1198,13324,-,-,75,1293,80,5640,1011,11901,32,346,238,1044,125,951,184,8200,129,2457,24,427,67,868,-,-,129,2513
4,13118,1311800000,荒川区,,,荒川区,9,94,（再掲）資本金3億円以下,3773,57192,1,5,1,5,-,-,3772,57187,1,6,465,4786,1200,14360,-,-,76,1442,81,5849,1017,13057,32,346,239,1101,125,951,185,8226,129,2457,24,427,68,1665,-,-,130,2514
5,13118,1311800200,荒川区,荒川区荒川,,荒川区荒川,0,00,総数（資本金階級）,499,16135,-,-,-,-,-,-,499,16135,-,-,60,387,169,2006,-,-,5,41,6,252,121,1872,3,5,33,146,14,57,24,196,30,1121,1,29,18,252,-,-,15,9771
5,13118,1311800200,荒川区,荒川区荒川,,荒川区荒川,1,01,資本金300万円未満,33,139,-,-,-,-,-,-,33,139,-,-,5,9,7,26,-,-,-,-,-,-,7,51,-,-,1,5,4,8,1,2,3,13,-,-,3,10,-,-,2,15
5,13118,1311800200,荒川区,荒川区荒川,,荒川区荒川,1,02,資本金300万～500万円未満,174,828,-,-,-,-,-,-,174,828,-,-,21,66,58,230,-,-,2,2,3,12,39,175,3,5,14,47,5,21,8,54,8,33,1,29,9,132,-,-,3,22
