産業分類階層,大分類,中分類,分類名,東京都／総数（民営）／事業所数（事業所）,東京都／総数（民営）／従業者数（人）,東京都／総数（民営）／売上（収入）金額（百万円）,区部／民営／事業所数（事業所）,区部／民営／従業者数（人）,区部／民営／売上（収入）金額（百万円）,千代田区／民営／事業所数（事業所）,千代田区／民営／従業者数（人）,千代田区／民営／売上（収入）金額（百万円）,中央区／民営／事業所数（事業所）,中央区／民営／従業者数（人）,中央区／民営／売上（収入）金額（百万円）,港区／民営／事業所数（事業所）,港区／民営／従業者数（人）,港区／民営／売上（収入）金額（百万円）,新宿区／民営／事業所数（事業所）,新宿区／民営／従業者数（人）,新宿区／民営／売上（収入）金額（百万円）,文京区／民営／事業所数（事業所）,文京区／民営／従業者数（人）,文京区／民営／売上（収入）金額（百万円）,台東区／民営／事業所数（事業所）,台東区／民営／従業者数（人）,台東区／民営／売上（収入）金額（百万円）,墨田区／民営／事業所数（事業所）,墨田区／民営／従業者数（人）,墨田区／民営／売上（収入）金額（百万円）,江東区／民営／事業所数（事業所）,江東区／民営／従業者数（人）,江東区／民営／売上（収入）金額（百万円）,品川区／民営／事業所数（事業所）,品川区／民営／従業者数（人）,品川区／民営／売上（収入）金額（百万円）,目黒区／民営／事業所数（事業所）,目黒区／民営／従業者数（人）,目黒区／民営／売上（収入）金額（百万円）,大田区／民営／事業所数（事業所）,大田区／民営／従業者数（人）,大田区／民営／売上（収入）金額（百万円）,世田谷区／民営／事業所数（事業所）,世田谷区／民営／従業者数（人）,世田谷区／民営／売上（収入）金額（百万円）,渋谷区／民営／事業所数（事業所）,渋谷区／民営／従業者数（人）,渋谷区／民営／売上（収入）金額（百万円）,中野区／民営／事業所数（事業所）,中野区／民営／従業者数（人）,中野区／民営／売上（収入）金額（百万円）,杉並区／民営／事業所数（事業所）,杉並区／民営／従業者数（人）,杉並区／民営／売上（収入）金額（百万円）,豊島区／民営／事業所数（事業所）,豊島区／民営／従業者数（人）,豊島区／民営／売上（収入）金額（百万円）,北区／民営／事業所数（事業所）,北区／民営／従業者数（人）,北区／民営／売上（収入）金額（百万円）,荒川区／民営／事業所数（事業所）,荒川区／民営／従業者数（人）,荒川区／民営／売上（収入）金額（百万円）,板橋区／民営／事業所数（事業所）,板橋区／民営／従業者数（人）,板橋区／民営／売上（収入）金額（百万円）,練馬区／民営／事業所数（事業所）,練馬区／民営／従業者数（人）,練馬区／民営／売上（収入）金額（百万円）,足立区／民営／事業所数（事業所）,足立区／民営／従業者数（人）,足立区／民営／売上（収入）金額（百万円）,葛飾区／民営／事業所数（事業所）,葛飾区／民営／従業者数（人）,葛飾区／民営／売上（収入）金額（百万円）,江戸川区／民営／事業所数（事業所）,江戸川区／民営／従業者数（人）,江戸川区／民営／売上（収入）金額（百万円）,境界未定地域／民営／事業所数（事業所）,境界未定地域／民営／従業者数（人）,境界未定地域／民営／従業者数（人）,市部／民営／事業所数（事業所）,市部／民営／従業者数（人）,市部／民営／売上（収入）金額（百万円）,八王子市／民営／事業所数（事業所）,八王子市／民営／従業者数（人）,八王子市／民営／売上（収入）金額（百万円）,立川市／民営／事業所数（事業所）,立川市／民営／従業者数（人）,立川市／民営／売上（収入）金額（百万円）,武蔵野市／民営／事業所数（事業所）,武蔵野市／民営／従業者数（人）,武蔵野市／民営／売上（収入）金額（百万円）,三鷹市／民営／事業所数（事業所）,三鷹市／民営／従業者数（人）,三鷹市／民営／売上（収入）金額（百万円）,青梅市／民営／事業所数（事業所）,青梅市／民営／従業者数（人）,青梅市／民営／売上（収入）金額（百万円）,府中市／民営／事業所数（事業所）,府中市／民営／従業者数（人）,府中市／民営／売上（収入）金額（百万円）,昭島市／民営／事業所数（事業所）,昭島市／民営／従業者数（人）,昭島市／民営／売上（収入）金額（百万円）,調布市／民営／事業所数（事業所）,調布市／民営／従業者数（人）,調布市／民営／売上（収入）金額（百万円）,町田市／民営／事業所数（事業所）,町田市／民営／従業者数（人）,町田市／民営／売上（収入）金額（百万円）,小金井市／民営／事業所数（事業所）,小金井市／民営／従業者数（人）,小金井市／民営／売上（収入）金額（百万円）,小平市／民営／事業所数（事業所）,小平市／民営／従業者数（人）,小平市／民営／売上（収入）金額（百万円）,日野市／民営／事業所数（事業所）,日野市／民営／従業者数（人）,日野市／民営／売上（収入）金額（百万円）,東村山市／民営／事業所数（事業所）,東村山市／民営／従業者数（人）,東村山市／民営／売上（収入）金額（百万円）,国分寺市／民営／事業所数（事業所）,国分寺市／民営／従業者数（人）,国分寺市／民営／売上（収入）金額（百万円）,国立市／民営／事業所数（事業所）,国立市／民営／従業者数（人）,国立市／民営／売上（収入）金額（百万円）,福生市／民営／事業所数（事業所）,福生市／民営／従業者数（人）,福生市／民営／売上（収入）金額（百万円）,狛江市／民営／事業所数（事業所）,狛江市／民営／従業者数（人）,狛江市／民営／売上（収入）金額（百万円）,東大和市／民営／事業所数（事業所）,東大和市／民営／従業者数（人）,東大和市／民営／売上（収入）金額（百万円）,清瀬市／民営／事業所数（事業所）,清瀬市／民営／従業者数（人）,清瀬市／民営／売上（収入）金額（百万円）,東久留米市／民営／事業所数（事業所）,東久留米市／民営／従業者数（人）,東久留米市／民営／売上（収入）金額（百万円）,武蔵村山市／民営／事業所数（事業所）,武蔵村山市／民営／従業者数（人）,武蔵村山市／民営／売上（収入）金額（百万円）,多摩市／民営／事業所数（事業所）,多摩市／民営／従業者数（人）,多摩市／民営／売上（収入）金額（百万円）,稲城市／民営／事業所数（事業所）,稲城市／民営／従業者数（人）,稲城市／民営／売上（収入）金額（百万円）,羽村市／民営／事業所数（事業所）,羽村市／民営／従業者数（人）,羽村市／民営／売上（収入）金額（百万円）,あきる野市／民営／事業所数（事業所）,あきる野市／民営／従業者数（人）,あきる野市／民営／売上（収入）金額（百万円）,西東京市／民営／事業所数（事業所）,西東京市／民営／従業者数（人）,西東京市／民営／売上（収入）金額（百万円）,町村部／民営／事業所数（事業所）,町村部／民営／従業者数（人）,町村部／民営／売上（収入）金額（百万円）,西多摩郡／民営／事業所数（事業所）,西多摩郡／民営／従業者数（人）,西多摩郡／民営／売上（収入）金額（百万円）,瑞穂町／民営／事業所数（事業所）,瑞穂町／民営／従業者数（人）,瑞穂町／民営／売上（収入）金額（百万円）,日の出町／民営／事業所数（事業所）,日の出町／民営／従業者数（人）,日の出町／民営／売上（収入）金額（百万円）,檜原村／民営／事業所数（事業所）,檜原村／民営／従業者数（人）,檜原村／民営／売上（収入）金額（百万円）,奥多摩町／民営／事業所数（事業所）,奥多摩町／民営／従業者数（人）,奥多摩町／民営／売上（収入）金額（百万円）,島部／民営／事業所数（事業所）,島部／民営／従業者数（人）,島部／民営／売上（収入）金額（百万円）,大島支庁／民営／事業所数（事業所）,大島支庁／民営／従業者数（人）,大島支庁／民営／売上（収入）金額（百万円）,大島町／民営／事業所数（事業所）,大島町／民営／従業者数（人）,大島町／民営／売上（収入）金額（百万円）,利島村／民営／事業所数（事業所）,利島村／民営／従業者数（人）,利島村／民営／売上（収入）金額（百万円）,新島村／民営／事業所数（事業所）,新島村／民営／従業者数（人）,新島村／民営／売上（収入）金額（百万円）,神津島村／民営／事業所数（事業所）,神津島村／民営／従業者数（人）,神津島村／民営／売上（収入）金額（百万円）,三宅支庁／民営／事業所数（事業所）,三宅支庁／民営／従業者数（人）,三宅支庁／民営／売上（収入）金額（百万円）,三宅村／民営／事業所数（事業所）,三宅村／民営／従業者数（人）,三宅村／民営／売上（収入）金額（百万円）,御蔵島村／民営／事業所数（事業所）,御蔵島村／民営／従業者数（人）,御蔵島村／民営／売上（収入）金額（百万円）,八丈支庁／民営／事業所数（事業所）,八丈支庁／民営／従業者数（人）,八丈支庁／民営／売上（収入）金額（百万円）,八丈町／民営／事業所数（事業所）,八丈町／民営／従業者数（人）,八丈町／民営／売上（収入）金額（百万円）,青ヶ島村／民営／事業所数（事業所）,青ヶ島村／民営／従業者数（人）,青ヶ島村／民営／売上（収入）金額（百万円）,小笠原支庁／民営／事業所数（事業所）,小笠原支庁／民営／従業者数（人）,小笠原支庁／民営／売上（収入）金額（百万円）,小笠原村／民営／事業所数（事業所）,小笠原村／民営／従業者数（人）,小笠原村／民営／売上（収入）金額（百万円）
2,D,07,職別工事業（設備工事業を除く）,10357,58836,…,7120,43055,…,104,781,…,131,1004,…,115,955,…,241,1578,…,132,819,…,243,1528,…,281,1655,…,266,1803,…,234,1272,…,122,637,…,566,2917,…,446,2353,…,165,1400,…,241,1567,…,304,1951,…,227,1550,…,269,1472,…,192,914,…,399,2592,…,646,3596,…,853,4996,…,372,2270,…,571,3445,…,-,-,…,3088,15193,…,476,2438,…,108,677,…,55,239,…,108,560,…,154,538,…,210,1143,…,98,488,…,128,775,…,286,1257,…,42,182,…,157,775,…,109,490,…,126,491,…,59,327,…,32,176,…,47,204,…,79,337,…,109,556,…,46,238,…,111,481,…,124,616,…,39,213,…,80,406,…,52,273,…,128,659,…,125,654,…,149,588,…,103,420,…,63,270,…,31,127,…,6,12,…,3,11,…,46,168,…,24,60,…,11,38,…,1,1,…,9,14,…,3,7,…,14,65,…,14,65,…,-,-,…,7,37,…,6,10,…,1,27,…,1,6,…,1,6,…
2,D,08,設備工事業,7947,51485,…,5613,38630,…,103,1103,…,121,1283,…,114,1403,…,203,1939,…,85,551,…,208,1510,…,186,1149,…,203,1368,…,243,2183,…,98,560,…,536,3658,…,302,1860,…,122,944,…,156,1093,…,193,1226,…,199,1485,…,232,1608,…,136,835,…,341,1921,…,525,2909,…,546,3199,…,311,1718,…,450,3125,…,-,-,…,2233,12354,…,369,2080,…,110,719,…,41,183,…,57,314,…,98,483,…,162,951,…,62,337,…,113,653,…,211,1120,…,41,224,…,87,524,…,70,347,…,80,393,…,41,242,…,39,303,…,36,186,…,49,194,…,80,429,…,47,222,…,90,520,…,83,355,…,45,327,…,48,325,…,25,135,…,71,363,…,78,425,…,101,501,…,48,259,…,24,162,…,15,61,…,3,5,…,6,31,…,53,242,…,31,126,…,16,62,…,1,1,…,7,40,…,7,23,…,6,21,…,6,21,…,-,-,…,12,89,…,11,85,…,1,4,…,4,6,…,4,6,…
1,E,00,製造業,38713,512576,9852865,32657,377524,5938697,966,44786,480271,1208,23176,370011,859,34631,326821,990,15124,224632,986,13437,221992,2376,15138,331389,2821,20447,416674,1716,24463,439522,1423,21678,290073,453,4967,85223,3881,35732,510509,603,4762,95081,506,8776,128325,373,4154,71225,412,3464,76073,662,6929,149368,904,10990,270109,1597,9637,133633,1593,20496,415571,658,4992,100065,2824,19029,275201,2605,15191,268333,2236,15426,252436,5,99,6159,5464,126075,3746493,1211,19141,290543,203,4617,82170,107,3505,19307,194,3899,108143,489,8624,137977,298,14142,847392,223,8489,430331,238,3073,52886,378,5856,78360,66,597,6183,166,6958,28327,170,13459,522831,182,3204,52412,74,1165,20575,56,747,10868,90,1896,28173,88,756,21820,116,1760,9778,45,460,8514,123,3196,123213,250,4734,67890,93,1587,35687,162,2963,29510,124,7662,669950,194,2654,40963,124,931,22694,592,8977,167674,488,8493,162965,364,6749,112783,86,1450,44109,16,88,1757,22,206,4316,104,484,4709,50,256,x,26,133,866,2,12,x,14,75,451,8,36,x,14,42,837,14,42,837,-,-,-,28,161,x,27,149,x,1,12,x,12,25,114,12,25,114
2,E,09,食料品製造業,1846,48099,672423,1397,31540,426820,44,2361,36993,114,2739,25087,48,3191,38712,43,1160,5454,36,661,14732,79,695,18839,81,912,12532,89,4969,44141,46,554,4810,37,963,5909,103,2095,31165,51,654,8172,21,559,5636,30,551,4281,24,536,25362,40,348,5786,55,738,6267,47,746,11775,65,1380,30065,49,855,25047,149,2235,24705,63,832,4379,83,1806,36970,-,-,-,366,15671,226725,62,1957,x,20,871,11347,8,64,380,10,171,2018,34,720,9126,20,919,14192,20,1952,26472,19,380,2457,28,689,3385,4,18,197,16,830,12918,5,120,3864,14,767,17461,-,-,-,8,441,581,6,369,3844,5,43,151,15,892,2234,5,56,462,9,1609,42994,20,1937,25409,9,168,1491,5,336,4073,1,4,x,11,258,1447,12,100,625,83,888,18878,22,631,17711,16,478,16897,2,99,x,2,21,x,2,33,x,61,257,1166,29,134,x,16,61,196,1,6,x,8,52,223,4,15,35,8,21,72,8,21,72,-,-,-,18,86,555,18,86,555,-,-,-,6,16,x,6,16,x
2,E,10,飲料・たばこ・飼料製造業,181,6901,201847,124,5781,100920,11,438,57021,15,229,2302,13,182,4194,7,105,1444,3,8,98,5,30,3458,10,592,449,2,17,x,4,170,7101,1,1,x,10,268,5792,5,27,1653,9,2518,7319,12,1113,5743,-,-,-,1,7,x,3,31,201,3,26,384,-,-,-,1,1,x,1,2,x,3,9,51,5,7,69,-,-,-,36,953,98927,8,63,709,-,-,-,-,-,-,-,-,-,3,96,1295,5,287,58484,-,-,-,3,21,3,1,2,x,-,-,-,-,-,-,1,9,x,1,27,x,-,-,-,-,-,-,2,55,x,2,21,x,1,4,x,-,-,-,2,107,x,2,8,x,-,-,-,2,229,x,1,2,x,2,22,x,-,-,-,21,167,1999,11,99,690,11,99,690,-,-,-,-,-,-,-,-,-,10,68,1309,3,19,188,1,6,x,-,-,-,1,5,x,1,8,x,1,3,x,1,3,x,-,-,-,5,45,x,4,33,1083,1,12,x,1,1,x,1,1,x
2,E,11,繊維工業,2752,14499,236808,2490,13168,222632,47,700,15297,104,734,22056,45,466,20689,73,403,13444,45,294,4679,197,787,14166,342,1749,32423,185,893,6806,34,154,2164,30,167,7210,69,358,5173,55,238,1953,123,908,27103,45,228,2283,40,157,2180,55,679,2001,87,355,2960,106,352,4173,62,422,5987,96,377,4129,204,888,5462,166,733,12715,280,1126,7579,-,-,-,255,1293,14012,95,528,5386,3,11,55,4,7,45,7,23,35,15,70,466,10,39,212,6,20,99,9,60,741,17,99,1378,2,10,x,9,47,277,9,114,2931,9,38,291,6,18,156,3,6,20,2,5,x,7,16,65,3,8,30,5,13,27,1,2,x,8,56,238,-,-,-,6,13,297,3,4,14,9,72,1146,7,14,49,7,38,163,3,18,68,1,2,x,2,16,x,-,-,-,-,-,-,4,20,95,1,2,x,1,2,x,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,18,x,3,18,x,-,-,-,-,-,-,-,-,-
2,E,12,木材・木製品製造業（家具を除く）,340,1954,38272,291,1652,31951,5,34,182,4,48,3240,2,3,x,5,26,119,15,138,5375,32,83,404,28,146,985,65,633,14435,1,2,x,1,1,x,8,48,847,-,-,-,1,17,x,4,7,147,3,4,8,2,34,x,5,10,890,21,54,408,3,17,177,8,55,160,32,131,1137,22,71,368,24,90,2566,-,-,-,33,221,5838,9,46,412,-,-,-,1,17,x,1,1,x,1,2,x,1,1,x,4,74,4313,-,-,-,4,20,250,-,-,-,-,-,-,1,1,x,1,4,x,1,3,x,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,x,-,-,-,-,-,-,-,-,-,7,45,481,1,6,x,16,81,482,15,80,x,1,20,x,6,38,269,6,18,140,2,4,x,1,1,x,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,x,1,1,x
2,E,13,家具・装備品製造業,1198,6646,107189,941,4944,62150,10,89,3463,16,380,5697,23,99,1690,22,278,516,15,45,509,67,232,2653,61,224,4287,52,307,7148,38,250,5577,13,68,966,73,400,4111,25,118,2420,15,71,1091,23,73,617,21,68,672,21,116,1509,22,108,976,75,584,2987,25,94,1207,32,115,1118,156,683,8090,56,226,1633,80,316,3214,-,-,-,235,1618,43938,38,161,1486,8,748,32185,4,9,30,6,12,102,30,73,593,8,16,96,10,97,3349,14,34,288,8,19,117,3,79,2066,10,38,285,5,9,48,14,32,189,2,11,x,-,-,-,6,18,178,6,26,323,7,38,366,3,7,57,14,44,385,11,68,1109,1,1,x,8,17,103,3,19,86,11,31,271,5,11,105,22,84,1101,22,84,1101,9,53,952,7,18,127,2,5,x,4,8,x,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,E,14,パルプ・紙・紙加工品製造業,1292,11582,216946,1223,10654,203736,28,488,12450,42,495,7615,11,383,1062,43,322,6485,34,184,4729,144,788,14885,160,1175,15629,94,716,9318,23,219,2743,6,282,183,31,257,4235,11,63,477,9,155,6492,7,57,520,9,40,581,37,222,7215,32,213,2514,99,411,4195,81,1031,18842,23,229,3308,137,1195,23312,76,874,31317,86,855,25629,-,-,-,64,814,11763,9,102,1335,3,61,492,-,-,-,2,29,x,5,67,551,2,15,x,3,50,377,5,50,625,4,41,545,2,18,x,5,37,461,3,64,295,4,60,2150,1,4,x,1,2,x,-,-,-,1,70,x,2,17,x,2,12,x,1,4,x,3,41,24,-,-,-,-,-,-,-,-,-,3,59,705,3,11,254,5,114,1446,5,114,1446,4,76,x,1,38,x,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,E,15,印刷・同関連業,6260,73825,1340845,5789,65421,1231468,334,4879,84077,404,4014,92756,210,3133,60939,508,8584,95868,504,5978,120143,398,3601,76915,404,3587,68280,516,5738,87246,158,1737,44491,53,581,15300,214,1863,26567,73,460,6724,88,1249,26754,63,301,3228,83,381,5847,199,1990,50384,198,3872,145806,301,2251,31802,418,6787,138082,103,677,7539,230,1570,17737,158,844,8790,172,1344,16194,-,-,-,454,8120,104755,78,3201,28374,27,162,5123,23,150,2156,20,297,5003,18,184,2051,24,346,9528,12,38,60,22,225,2647,19,118,1390,9,19,94,22,215,1843,21,477,5344,25,410,3752,9,73,1045,9,26,181,9,841,10121,10,93,1290,9,33,320,5,13,61,14,66,952,19,169,1907,13,608,16422,6,15,61,12,250,3684,7,25,175,12,66,1170,17,284,4622,14,279,4598,8,193,x,4,79,203,-,-,-,2,7,x,3,5,24,3,5,24,2,4,x,-,-,-,1,1,x,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,E,16,化学工業,870,39874,581216,779,37476,527949,81,8705,69700,126,6875,45665,69,7838,36284,31,1036,16831,22,1727,21347,31,713,15000,41,2486,123428,21,725,31054,32,1221,22020,8,54,527,35,668,17371,24,353,8394,34,374,6238,10,241,7874,9,75,5369,20,324,5648,16,595,14360,13,362,8019,51,921,21132,15,291,19674,38,771,17518,28,368,8675,24,753,5823,-,-,-,76,2118,48736,17,884,4961,3,52,2265,2,12,x,4,96,2038,5,99,1222,4,27,1145,2,24,x,2,23,x,7,161,2836,2,31,x,-,-,-,-,-,-,5,205,6517,3,41,615,1,14,x,1,5,x,1,33,x,-,-,-,4,235,6604,1,4,x,2,15,x,1,3,x,2,11,x,3,124,8934,2,8,x,2,11,x,15,280,4532,7,214,3892,7,214,3892,-,-,-,-,-,-,-,-,-,8,66,640,4,58,623,4,58,623,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,x,1,2,x,-,-,-,3,6,x,3,6,x
2,E,17,石油製品・石炭製品製造業,39,6221,31818,30,6159,25758,6,5139,97,2,65,x,2,578,x,-,-,-,1,17,x,-,-,-,-,-,-,3,45,7267,4,135,234,-,-,-,2,54,x,-,-,-,-,-,-,-,-,-,1,1,x,1,4,x,1,6,x,1,12,x,1,57,x,-,-,-,3,27,1303,-,-,-,1,1,x,1,18,x,7,44,x,1,12,x,-,-,-,-,-,-,-,-,-,2,17,x,1,3,x,-,-,-,-,-,-,3,12,256,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,18,x,2,18,x,1,8,x,1,10,x,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,E,18,プラスチック製品製造業（別掲を除く）,1848,16215,306083,1566,13423,270537,39,807,17391,44,577,16740,31,1254,12654,16,469,3535,20,149,x,71,506,24533,152,963,15847,58,772,52981,113,710,8376,22,83,595,212,1680,x,20,129,5757,12,140,6529,7,26,135,13,69,1199,20,302,7975,39,444,8211,87,445,7364,77,671,10437,36,254,5076,166,1174,13052,182,982,16901,128,811,9106,1,6,x,258,2508,31468,73,909,13364,6,153,1495,1,2,x,6,55,818,40,307,3690,15,124,1338,5,51,69,17,162,1606,13,152,2025,1,11,x,3,35,240,8,31,353,9,64,510,1,9,x,2,2,x,4,19,126,7,16,105,3,11,44,3,8,7,3,13,281,12,137,2162,3,43,150,11,139,2261,3,11,54,7,36,405,2,8,x,24,284,4079,24,284,4079,22,260,x,2,24,x,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,E,19,ゴム製品製造業,653,9803,54591,632,6451,53234,8,63,2014,9,1266,159,8,1247,883,4,23,4278,3,9,78,36,183,1591,138,803,9838,21,293,1411,12,73,789,3,17,145,25,152,1342,9,46,465,1,3,x,2,2,x,4,13,48,6,33,376,10,80,2399,32,240,2996,9,45,580,2,29,x,60,398,4224,194,1182,16288,36,251,2985,-,-,-,20,3339,x,3,43,426,2,8,x,-,-,-,1,7,x,2,24,x,4,27,359,-,-,-,-,-,-,2,61,x,-,-,-,2,3130,x,-,-,-,1,28,x,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,6,x,1,2,x,1,3,x,-,-,-,-,-,-,-,-,-,-,-,-,1,13,x,1,13,x,1,13,x,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,E,20,なめし革・同製品・毛皮製造業,1542,7255,131479,1515,7170,130866,8,36,1385,12,230,8191,2,82,x,8,22,160,11,93,3020,431,1799,39571,228,1372,24439,33,167,2587,8,31,x,3,6,57,3,21,189,8,39,275,10,60,2320,2,8,x,6,14,81,9,69,2108,22,153,1458,120,445,5898,6,52,717,5,31,350,327,1462,27088,179,728,8302,74,250,2072,-,-,-,26,84,x,4,8,32,2,10,x,4,17,108,-,-,-,2,6,x,-,-,-,-,-,-,-,-,-,2,3,x,1,2,x,-,-,-,2,4,x,-,-,-,-,-,-,-,-,-,1,2,x,1,5,x,2,8,x,-,-,-,1,3,x,-,-,-,1,5,x,2,5,x,-,-,-,-,-,-,1,6,x,1,1,x,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,x,1,1,x,1,1,x,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,E,21,窯業・土石製品製造業,686,9754,264530,530,7878,196712,18,2237,6645,26,341,24578,29,1147,16927,11,130,133,14,40,657,24,380,6742,52,606,8831,73,519,51765,23,193,6337,7,64,2388,34,356,17182,15,140,6597,4,27,1,11,53,1844,5,60,805,14,87,4790,11,39,1683,20,125,4348,28,490,12491,9,65,4348,32,316,7596,30,192,3912,40,271,6113,-,-,-,130,1420,45911,30,285,13937,8,151,4589,1,2,x,4,26,797,15,157,3759,5,43,2787,3,14,812,11,77,3333,8,32,382,4,21,304,7,69,1909,7,82,2036,1,47,x,-,-,-,-,-,-,2,58,x,-,-,-,1,4,x,-,-,-,5,34,1537,3,39,1486,1,2,x,5,79,2363,2,76,x,6,117,1640,1,5,x,26,456,21907,16,399,20500,4,125,11324,9,165,4388,1,20,x,2,89,x,10,57,1407,6,31,492,1,1,x,1,6,x,3,15,152,1,9,x,2,15,x,2,15,x,-,-,-,1,10,x,1,10,x,-,-,-,1,1,x,1,1,x
2,E,22,鉄鋼業,429,7936,137383,387,7290,97289,12,3124,5698,21,502,6382,8,425,5404,2,5,x,1,7,x,9,52,5605,39,141,2564,38,398,16147,16,377,1951,2,6,x,80,708,23930,4,13,233,-,-,-,-,-,-,2,5,x,3,97,71,3,44,1642,6,23,1165,20,682,11886,2,13,x,16,84,1436,28,120,1393,75,464,11386,-,-,-,33,526,36253,5,18,284,2,26,x,1,2,x,1,6,x,9,118,7952,-,-,-,5,56,1153,1,16,x,1,13,x,-,-,-,-,-,-,-,-,-,1,1,x,1,2,x,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,24,x,-,-,-,-,-,-,4,244,25317,-,-,-,-,-,-,9,120,3841,9,120,3841,7,110,x,1,8,x,1,2,x,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,E,23,非鉄金属製造業,507,6717,122359,423,5553,84938,15,1858,10288,4,113,1835,11,680,1286,8,67,3400,3,4,42,12,55,2727,37,130,5060,13,199,x,23,506,2016,8,54,482,75,446,9831,8,93,593,3,29,1127,2,77,x,4,35,1279,5,30,1921,12,46,1222,21,74,172,26,171,x,9,238,4673,47,287,7954,49,182,3601,28,179,5786,-,-,-,76,1047,35057,12,86,3200,-,-,-,-,-,-,4,32,626,6,48,88,9,435,23326,4,36,278,4,7,96,6,66,1556,-,-,-,1,26,x,2,7,x,5,23,154,-,-,-,-,-,-,1,5,x,1,23,x,1,2,x,-,-,-,3,16,95,3,11,63,2,6,x,6,16,496,2,52,x,2,147,x,2,3,x,8,117,2363,8,117,2363,8,117,2363,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,E,24,金属製品製造業,5018,36752,496762,4357,31112,428199,41,1517,29479,36,463,12347,58,486,5137,25,420,16566,58,572,15321,194,814,11040,487,2241,30892,150,4439,45525,211,1921,19697,55,287,5318,794,5445,68977,49,249,3954,23,264,8002,25,178,1419,20,100,703,42,522,10749,95,506,7088,238,1087,12333,174,1234,11070,42,192,2500,472,2588,33305,630,3094,34210,438,2493,42567,-,-,-,576,5050,62714,132,1169,14000,19,164,1895,8,23,100,25,236,3008,50,416,6037,31,179,2381,32,370,4053,16,137,1452,41,365,5320,3,11,48,16,104,1354,7,21,151,16,158,1605,6,60,478,3,9,93,11,80,1744,10,74,811,10,90,872,5,22,146,14,76,765,37,434,5312,9,45,1191,19,363,5285,17,105,1083,29,281,3259,10,58,272,85,590,5848,84,589,x,78,561,5690,2,9,x,1,4,x,3,15,88,1,1,x,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,x,1,1,x,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
