産業分類階層,大分類,中分類,分類名,事業所数／総数（事業所）,事業所数／総数／他からの出向・派遣従業者／有／民営（事業所）,事業所数／総数／他からの出向・派遣従業者／有／国・地方公共団体（事業所）,事業所数／総数／他からの出向・派遣従業者／無／民営（事業所）,事業所数／総数／他からの出向・派遣従業者／無／国・地方公共団体（事業所）,事業所数／総数／他への出向・派遣従業者／民営（事業所）,事業所数／総数／他への出向・派遣従業者／有／民営（事業所）,事業所数／総数／他への出向・派遣従業者／無／民営（事業所）,従業者数／総数／総数（人）,従業者数／総数／男（人）,従業者数／総数／女（人）,従業者数／民営／個人業主／総数（人）,従業者数／民営／個人業主／男（人）,従業者数／民営／個人業主／女（人）,従業者数／民営／無給の家族従業／総数（人）,従業者数／民営／無給の家族従業／男（人）,従業者数／民営／無給の家族従業／女（人）,従業者数／民営／有給役員／総数（人）,従業者数／民営／有給役員／男（人）,従業者数／民営／有給役員／女（人）,従業者数／民営／雇用者／常用雇用者／総数／総数（人）,従業者数／民営／雇用者／常用雇用者／総数／男（人）,従業者数／民営／雇用者／常用雇用者／総数／女（人）,従業者数／民営／雇用者／常用雇用者／正社員・正職員／総数（人）,従業者数／民営／雇用者／常用雇用者／正社員・正職員／男（人）,従業者数／民営／雇用者／常用雇用者／正社員・正職員／女（人）,従業者数／民営／雇用者／常用雇用者／正社員・正職員以外／総数（人）,従業者数／民営／雇用者／常用雇用者／正社員・正職員以外／男（人）,従業者数／民営／雇用者／常用雇用者／正社員・正職員以外／女（人）,従業者数／民営／雇用者／臨時雇用者／総数（人）,従業者数／民営／雇用者／臨時雇用者／男（人）,従業者数／民営／雇用者／臨時雇用者／女（人）,（再掲）従業者数／民営／雇用者／うち他への出向・派遣従業者／総数（人）,（再掲）従業者数／民営／雇用者／うち他への出向・派遣従業者／男（人）,（再掲）従業者数／民営／雇用者／うち他への出向・派遣従業者／女（人）,従業者数／民営／他からの出向・派遣従業者／総数（人）,従業者数／民営／他からの出向・派遣従業者／男（人）,従業者数／民営／他からの出向・派遣従業者／女（人）,従業者数／国、地方公共団体／総数／総数（人）,従業者数／国、地方公共団体／総数／男（人）,従業者数／国、地方公共団体／総数／女（人）,従業者数／国、地方公共団体／雇用者／常用雇用者／総数／総数（人）,従業者数／国、地方公共団体／雇用者／常用雇用者／総数／男（人）,従業者数／国、地方公共団体／雇用者／常用雇用者／総数／女（人）,従業者数／国、地方公共団体／雇用者／常用雇用者／正職員／総数（人）,従業者数／国、地方公共団体／雇用者／常用雇用者／正職員／男（人）,従業者数／国、地方公共団体／雇用者／常用雇用者／正職員／女（人）,従業者数／国、地方公共団体／雇用者／常用雇用者／正職員以外／総数（人）,従業者数／国、地方公共団体／雇用者／常用雇用者／正職員以外／男（人）,従業者数／国、地方公共団体／雇用者／常用雇用者／正職員以外／女（人）,従業者数／国、地方公共団体／雇用者／臨時雇用者／総数（人）,従業者数／国、地方公共団体／雇用者／臨時雇用者／男（人）,従業者数／国、地方公共団体／雇用者／臨時雇用者／女（人）,従業者数／国、地方公共団体／民間からの従業者／総数（人）,従業者数／国、地方公共団体／民間からの従業者／男（人）,従業者数／国、地方公共団体／民間からの従業者／女（人）
0,A-S,00,全産業（Ａ～Ｓ）,662360,35311,397,618508,8144,653819,14187,639632,9657306,5723089,3910501,177203,131342,45859,41745,9272,32473,546439,408027,138305,8030601,4708069,3298981,5320099,3648402,1649484,2710502,1059667,1649497,389304,183046,206202,379643,232906,146737,411173,239145,171626,472014,283333,188681,464046,281937,182109,374753,253227,121526,89293,28710,60583,7968,1396,6572,2752,1557,1195
0,A-R,00,全産業（Ｓ公務を除く）,660273,35311,291,618508,6163,653819,14187,639632,9398890,5528407,3846767,177203,131342,45859,41745,9272,32473,546439,408027,138305,8030601,4708069,3298981,5320099,3648402,1649484,2710502,1059667,1649497,389304,183046,206202,379643,232906,146737,411173,239145,171626,213598,88651,124947,207069,87657,119412,148717,73543,75174,58352,14114,44238,6529,994,5535,1596,846,750
0,A-B,00,農林漁業（Ａ～Ｂ）,510,28,-,476,6,504,12,492,4151,3082,1069,-,-,-,-,-,-,743,555,188,3226,2388,838,2213,1712,501,1013,676,337,159,117,42,408,243,165,130,111,19,23,22,1,23,22,1,15,15,-,8,7,1,-,-,-,-,-,-
1,A,00,農業，林業,491,24,-,462,5,486,11,475,4026,2975,1051,-,-,-,-,-,-,724,538,186,3121,2299,822,2127,1637,490,994,662,332,159,117,42,407,242,165,88,71,17,22,21,1,22,21,1,15,15,-,7,6,1,-,-,-,-,-,-
2,A,01,農業,449,22,-,426,1,448,9,439,3763,2757,1006,-,-,-,-,-,-,674,501,173,2936,2144,792,1980,1510,470,956,634,322,151,110,41,405,241,164,86,70,16,2,2,-,2,2,-,1,1,-,1,1,-,-,-,-,-,-,-
2,A,02,林業,42,2,-,36,4,38,2,36,263,218,45,-,-,-,-,-,-,50,37,13,185,155,30,147,127,20,38,28,10,8,7,1,2,1,1,2,1,1,20,19,1,20,19,1,14,14,-,6,5,1,-,-,-,-,-,-
1,B,00,漁業,19,4,-,14,1,18,1,17,125,107,18,-,-,-,-,-,-,19,17,2,105,89,16,86,75,11,19,14,5,-,-,-,1,1,-,42,40,2,1,1,-,1,1,-,-,-,-,1,1,-,-,-,-,-,-,-
2,B,03,漁業（水産養殖業を除く）,10,2,-,8,-,10,1,9,72,62,10,-,-,-,-,-,-,12,12,-,60,50,10,56,48,8,4,2,2,-,-,-,1,1,-,33,32,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,B,04,水産養殖業,9,2,-,6,1,8,-,8,53,45,8,-,-,-,-,-,-,7,5,2,45,39,6,30,27,3,15,12,3,-,-,-,-,-,-,9,8,1,1,1,-,1,1,-,-,-,-,1,1,-,-,-,-,-,-,-
0,C-S,00,非農林漁業（Ｃ～Ｓ）,661850,35283,397,618032,8138,653315,14175,639140,9653155,5720007,3909432,177203,131342,45859,41745,9272,32473,545696,407472,138117,8027375,4705681,3298143,5317886,3646690,1648983,2709489,1058991,1649160,389145,182929,206160,379235,232663,146572,411043,239034,171607,471991,283311,188680,464023,281915,182108,374738,253212,121526,89285,28703,60582,7968,1396,6572,2752,1557,1195
