地域階層,地域コード,東京都26町丁目コード,地域名,町・大字名,丁目・字,地域名称,総数（経営組織）／事業所数（事業所）,総数（経営組織）／従業者数（人）,民営／事業所数（事業所）,民営／従業者数（人）,民営／個人／事業所数（事業所）,民営／個人／従業者数（人）,民営／法人／事業所数（事業所）,民営／法人／従業者数（人）,民営／法人／会社／事業所数（事業所）,民営／法人／会社／従業者数（人）,民営／法人／会社／株式・有限・相互会社／事業所数（事業所）,民営／法人／会社／株式・有限・相互会社／従業者数（人）,民営／法人／会社／合資・合名会社／事業所数（事業所）,民営／法人／会社／合資・合名会社／従業者数（人）,民営／法人／会社／合同会社／事業所数（事業所）,民営／法人／会社／合同会社／従業者数（人）,民営／法人／会社／外国の会社／事業所数（事業所）,民営／法人／会社／外国の会社／従業者数（人）,民営／法人／会社以外の法人／事業所数（事業所）,民営／法人／会社以外の法人／従業者数（人）,民営／法人でない団体／事業所数（事業所）,民営／法人でない団体／従業者数（人）,国・地方公共団体／事業所数（事業所）,国・地方公共団体／従業者数（人）,国・地方公共団体／国／事業所数（事業所）,国・地方公共団体／国／従業者数（人）,国・地方公共団体／地方公共団体／事業所数（事業所）,国・地方公共団体／地方公共団体／従業者数（人）,国・地方公共団体／地方公共団体／都道府県／事業所数（事業所）,国・地方公共団体／地方公共団体／都道府県／従業者数（人）,国・地方公共団体／地方公共団体／市町村／事業所数（事業所）,国・地方公共団体／地方公共団体／市町村／従業者数（人）,国・地方公共団体／地方公共団体／一部事務組合等／事業所数（事業所）,国・地方公共団体／地方公共団体／一部事務組合等／従業者数（人）
0,13000,1300000000,東京都,,,東京都,662360,9657306,653819,9185292,181929,531812,469366,8642098,431666,7637587,426900,7579442,1948,12424,1971,32205,847,13516,37700,1004511,2524,11382,8541,472014,529,125434,8012,346580,1515,138657,6441,204043,56,3880
1,13100,1310000000,区部,,,区部,526748,8066791,521270,7711329,138354,399047,380805,7303029,352232,6560483,348199,6511891,1694,10320,1522,25417,817,12855,28573,742546,2111,9253,5478,355462,409,115408,5069,240054,950,105826,4089,132546,30,1682
4,13101,1310100000,千代田区,,,千代田区,34250,1038143,33904,952841,4509,19088,29000,931635,26268,845993,25842,841056,90,485,121,1209,215,3243,2732,85642,395,2118,346,85302,155,70289,191,15013,89,12551,99,1896,3,566
5,13101,1310101900,千代田区,千代田区飯田橋,,千代田区飯田橋,1193,31632,1187,30994,184,615,986,30275,908,27471,900,27415,2,22,4,24,2,10,78,2804,17,104,6,638,-,-,6,638,3,89,1,9,2,540
6,13101,1310101901,千代田区,千代田区飯田橋,１丁目,千代田区飯田橋１丁目,315,4422,315,4422,60,182,250,4232,227,3610,223,3586,1,6,2,10,1,8,23,622,5,8,-,-,-,-,-,-,-,-,-,-,-,-
6,13101,1310101902,千代田区,千代田区飯田橋,２丁目,千代田区飯田橋２丁目,255,8470,255,8470,49,127,204,8338,193,8299,192,8289,-,-,1,10,-,-,11,39,2,5,-,-,-,-,-,-,-,-,-,-,-,-
6,13101,1310101903,千代田区,千代田区飯田橋,３丁目,千代田区飯田橋３丁目,328,14088,322,13450,33,111,283,13261,254,11300,252,11294,-,-,1,4,1,2,29,1961,6,78,6,638,-,-,6,638,3,89,1,9,2,540
6,13101,1310101904,千代田区,千代田区飯田橋,４丁目,千代田区飯田橋４丁目,295,4652,295,4652,42,195,249,4444,234,4262,233,4246,1,16,-,-,-,-,15,182,4,13,-,-,-,-,-,-,-,-,-,-,-,-
5,13101,1310101100,千代田区,千代田区一番町,,千代田区一番町,387,7545,385,7433,38,189,341,7222,295,6323,290,6174,-,-,1,97,4,52,46,899,6,22,2,112,1,100,1,12,-,-,1,12,-,-
5,13101,1310104100,千代田区,千代田区岩本町,,千代田区岩本町,1355,22019,1355,22019,100,403,1242,21550,1184,20665,1172,20566,7,51,2,22,3,26,58,885,13,66,-,-,-,-,-,-,-,-,-,-,-,-
