地域階層,地域コード,東京都26町丁目コード,区市町村名称,町・大字名,丁目・字,地域名称,経営組織階層,経営組織コード,経営組織名称,従業者数（人）,従業者数／男（人）,従業者数／女（人）,従業者数／個人業主（人）,従業者数／個人業主／男（人）,従業者数／個人業主／女（人）,従業者数／無給の家族従業者（人）,従業者数／無給の家族従業者／男（人）,従業者数／無給の家族従業者／女（人）,従業者数／有給役員（人）,従業者数／有給役員／男（人）,従業者数／有給役員／女（人）,従業者数／雇用者（人）,従業者数／雇用者／男（人）,従業者数／雇用者／女（人）,従業者数／雇用者／常用雇用者（人）,従業者数／雇用者／常用雇用者／男（人）,従業者数／雇用者／常用雇用者／女（人）,従業者数／雇用者／常用雇用者／正社員・正職員（人）,従業者数／雇用者／常用雇用者／正社員・正職員／男（人）,従業者数／雇用者／常用雇用者／正社員・正職員／女（人）,従業者数／雇用者／常用雇用者／正社員・正職員以外（人）,従業者数／雇用者／常用雇用者／正社員・正職員以外／男（人）,従業者数／雇用者／常用雇用者／正社員・正職員以外／女（人）,従業者数／雇用者／臨時雇用者（人）,従業者数／雇用者／臨時雇用者／男（人）,従業者数／雇用者／臨時雇用者／女（人）,従業者数／（再掲）他への出向・派遣従業者（人）,従業者数／（再掲）他への出向・派遣従業者／男（人）,従業者数／（再掲）他への出向・派遣従業者／女（人）,他からの出向・派遣従業者（人）,他からの出向・派遣従業者／男（人）,他からの出向・派遣従業者／女（人）,事業従事者数（人）,事業従事者数／男（人）,事業従事者数／女（人）
4,13201,1320100000,八王子市,,,八王子市,1,1000,民営,218712,119449,99123,5716,4213,1503,1192,270,922,13247,9421,3825,198557,105545,92873,186575,99720,86716,99740,67239,32429,86835,32481,54287,11982,5825,6157,2477,1802,675,4684,3013,1671,220919,120660,100119
4,13201,1320100000,八王子市,,,八王子市,2,1100,個人,18434,8668,9766,5716,4213,1503,1192,270,922,-,-,-,11526,4185,7341,10347,3771,6576,4101,1533,2568,6246,2238,4008,1179,414,765,41,25,16,54,23,31,18447,8666,9781
4,13201,1320100000,八王子市,,,八王子市,3,1210,会社,157231,92660,64503,-,-,-,-,-,-,11998,8531,3466,145233,84129,61037,137272,80024,57181,72544,55684,16810,64728,24340,40371,7961,4105,3856,2343,1751,592,3798,2613,1185,158686,93522,65096
4,13201,1320100000,八王子市,,,八王子市,3,1220,会社以外の法人,42801,18007,24726,-,-,-,-,-,-,1228,875,353,41573,17132,24373,38758,15832,22858,22995,9951,13022,15763,5881,9836,2815,1300,1515,93,26,67,819,374,445,43527,18355,25104
4,13201,1320100000,八王子市,,,八王子市,2,1300,法人でない団体,246,114,128,-,-,-,-,-,-,21,15,6,225,99,122,198,93,101,100,71,29,98,22,72,27,6,21,-,-,-,13,3,10,259,117,138
5,13201,1320103100,八王子市,八王子市暁町,,八王子市暁町,1,1000,民営,1198,647,551,45,33,12,9,1,8,139,97,42,1005,516,489,974,501,473,563,376,187,411,125,286,31,15,16,1,1,-,5,4,1,1202,650,552
5,13201,1320103100,八王子市,八王子市暁町,,八王子市暁町,2,1100,個人,84,41,43,45,33,12,9,1,8,-,-,-,30,7,23,30,7,23,20,5,15,10,2,8,-,-,-,-,-,-,-,-,-,84,41,43
5,13201,1320103100,八王子市,八王子市暁町,,八王子市暁町,3,1210,会社,1082,590,492,-,-,-,-,-,-,132,92,40,950,498,452,919,483,436,533,365,168,386,118,268,31,15,16,1,1,-,5,4,1,1086,593,493
5,13201,1320103100,八王子市,八王子市暁町,,八王子市暁町,3,1220,会社以外の法人,30,15,15,-,-,-,-,-,-,6,4,2,24,11,13,24,11,13,9,6,3,15,5,10,-,-,-,-,-,-,-,-,-,30,15,15
5,13201,1320103100,八王子市,八王子市暁町,,八王子市暁町,2,1300,法人でない団体,2,1,1,-,-,-,-,-,-,1,1,-,1,-,1,1,-,1,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,2,1,1
