産業分類階層,大分類,中分類,小分類,分類名,総数／事業所数（事業所）,総数／従業者数／総数（人）,総数／従業者数／男（人）,総数／従業者数／女（人）,単独事業所／事業所数（事業所）,独事業所／従業者数／総数（人）,単独事業所／従業者数／男（人）,単独事業所／従業者数／女（人）,本所・本社・本店／事業所数（事業所）,本所・本社・本店／従業者数／総数（人）,本所・本社・本店／従業者数／男（人）,本所・本社・本店／従業者数／女（人）,支所・支社・支店／事業所数（事業所）,支所・支社・支店／従業者数／総数（人）,支所・支社・支店／従業者数／男（人）,支所・支社・支店／従業者数／女（人）
3,E,28,283,記録メディア製造業,15,312,220,92,11,84,57,27,4,228,163,65,-,-,-,-
3,E,28,284,電子回路製造業,265,5295,3983,1312,200,2579,1824,755,40,1264,886,378,25,1452,1273,179
3,E,28,285,ユニット部品製造業,53,1091,809,282,36,284,202,82,10,547,379,168,7,260,228,32
3,E,28,289,その他の電子部品・デバイス・電子回路製造業,439,5104,3415,1689,344,2460,1582,878,59,1335,905,430,36,1309,928,381
2,E,29,000,電気機械器具製造業,2241,47819,36921,10332,1583,12872,9216,3656,440,22500,17987,4413,217,12446,9717,2263
3,E,29,290,管理，補助的経済活動を行う事業所,92,7654,5745,1343,-,-,-,-,65,5791,4600,1091,27,1863,1145,252
3,E,29,291,発電用・送電用・配電用電気機械器具製造業,768,17950,14534,3416,599,5378,3941,1437,113,5925,4732,1193,56,6647,5861,786
3,E,29,292,産業用電気機械器具製造業,228,3232,1951,1281,169,1461,914,547,37,831,658,173,22,940,379,561
3,E,29,293,民生用電気機械器具製造業,151,2255,1611,644,101,823,595,228,40,1329,933,396,10,103,83,20
3,E,29,294,電球・電気照明器具製造業,277,2796,1941,855,206,1283,876,407,45,985,640,345,25,527,424,103
3,E,29,295,電池製造業,22,131,99,32,13,64,42,22,4,30,24,6,5,37,33,4
3,E,29,296,電子応用装置製造業,307,7681,6324,1357,206,1795,1406,389,64,4282,3628,654,37,1604,1290,314
3,E,29,297,電気計測器製造業,299,4956,3829,1127,221,1696,1211,485,49,2618,2162,456,29,642,456,186
3,E,29,299,その他の電気機械器具製造業,97,1164,887,277,68,372,231,141,23,709,610,99,6,83,46,37
2,E,30,000,情報通信機械器具製造業,647,41125,33712,7413,361,3545,2612,933,174,24757,20084,4673,112,12823,11016,1807
3,E,30,300,管理，補助的経済活動を行う事業所,33,3995,3168,827,-,-,-,-,20,3582,2843,739,13,413,325,88
3,E,30,301,通信機械器具・同関連機械器具製造業,246,11962,10366,1596,132,1534,1226,308,68,6740,5817,923,46,3688,3323,365
3,E,30,302,映像・音響機械器具製造業,193,6453,5078,1375,132,1265,828,437,40,3198,2573,625,21,1990,1677,313
3,E,30,303,電子計算機・同附属装置製造業,175,18715,15100,3615,97,746,558,188,46,11237,8851,2386,32,6732,5691,1041
2,E,31,000,輸送用機械器具製造業,1109,47522,40367,7155,724,5475,4160,1315,244,26690,22694,3996,141,15357,13513,1844
3,E,31,310,管理，補助的経済活動を行う事業所,95,4666,3308,1358,-,-,-,-,64,2671,1895,776,31,1995,1413,582
3,E,31,311,自動車・同附属品製造業,649,25495,22142,3353,473,3360,2501,859,121,15605,13531,2074,55,6530,6110,420
3,E,31,312,鉄道車両・同部分品製造業,94,1773,1524,249,66,599,494,105,9,378,311,67,19,796,719,77
3,E,31,313,船舶製造・修理業，舶用機関製造業,77,1329,1117,212,50,484,387,97,13,767,668,99,14,78,62,16
3,E,31,314,航空機・同附属品製造業,83,10092,8711,1381,51,586,456,130,21,3811,3293,518,11,5695,4962,733
3,E,31,315,産業用運搬車両・同部分品・附属品製造業,32,2982,2558,424,26,130,97,33,5,2842,2453,389,1,10,8,2
3,E,31,319,その他の輸送用機械器具製造業,79,1185,1007,178,58,316,225,91,11,616,543,73,10,253,239,14
2,E,32,000,その他の製造業,4196,33877,22015,11862,3447,17730,11318,6412,423,11767,7648,4119,326,4380,3049,1331
3,E,32,320,管理，補助的経済活動を行う事業所,82,1867,1205,662,-,-,-,-,55,1073,724,349,27,794,481,313
3,E,32,321,貴金属・宝石製品製造業,689,3862,2186,1676,625,2575,1504,1071,39,1145,605,540,25,142,77,65
3,E,32,322,装身具・装飾品・ボタン・同関連品製造業（貴金属・宝石製を除く）,536,2479,1281,1198,485,1916,963,953,26,344,196,148,25,219,122,97
3,E,32,323,時計・同部分品製造業,38,887,680,207,27,120,68,52,6,407,310,97,5,360,302,58
3,E,32,324,楽器製造業,87,799,615,184,72,303,219,84,11,481,384,97,4,15,12,3
3,E,32,325,がん具・運動用具製造業,470,5923,3787,2136,371,2682,1675,1007,61,2923,1908,1015,38,318,204,114
4,E,32,32A,がん具製造業,339,4292,2614,1678,272,2174,1344,830,41,1922,1154,768,26,196,116,80
4,E,32,32B,運動用具製造業,131,1631,1173,458,99,508,331,177,20,1001,754,247,12,122,88,34
3,E,32,326,ペン・鉛筆・絵画用品・その他の事務用品製造業,250,2903,1717,1186,202,1267,720,547,30,1479,906,573,18,157,91,66
3,E,32,327,漆器製造業,41,116,74,42,40,113,71,42,1,3,3,-,-,-,-,-
3,E,32,328,畳等生活雑貨製品製造業,330,1803,1130,673,278,957,592,365,35,534,340,194,17,312,198,114
3,E,32,329,他に分類されない製造業,1673,13238,9340,3898,1347,7797,5506,2291,159,3378,2272,1106,167,2063,1562,501
4,E,32,32C,情報記録物製造業（新聞，書籍等の印刷物を除く）,101,1310,858,452,76,677,487,190,10,363,168,195,15,270,203,67
4,E,32,32D,他に分類されないその他の製造業,1572,11928,8482,3446,1271,7120,5019,2101,149,3015,2104,911,152,1793,1359,434
1,F,00,000,電気・ガス・熱供給・水道業,425,27187,23845,3342,64,784,606,178,65,12282,10878,1404,294,14108,12354,1754
2,F,33,000,電気業,139,16025,14239,1786,29,281,222,59,27,7105,6569,536,83,8639,7448,1191
3,F,33,330,管理，補助的経済活動を行う事業所,68,13268,11721,1547,-,-,-,-,10,5147,4751,396,58,8121,6970,1151
3,F,33,331,電気業,71,2757,2518,239,29,281,222,59,17,1958,1818,140,25,518,478,40
2,F,34,000,ガス業,36,7075,5896,1179,2,151,129,22,6,3468,2829,639,28,3456,2938,518
3,F,34,340,管理，補助的経済活動を行う事業所,28,6834,5696,1138,-,-,-,-,5,3449,2816,633,23,3385,2880,505
3,F,34,341,ガス業,8,241,200,41,2,151,129,22,1,19,13,6,5,71,58,13
2,F,35,000,熱供給業,82,780,703,77,22,150,127,23,12,339,286,53,48,291,290,1
3,F,35,350,管理，補助的経済活動を行う事業所,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,F,35,351,熱供給業,82,780,703,77,22,150,127,23,12,339,286,53,48,291,290,1
2,F,36,000,水道業,168,3307,3007,300,11,202,128,74,20,1370,1194,176,135,1722,1678,44
3,F,36,360,管理，補助的経済活動を行う事業所,2,31,31,-,-,-,-,-,1,18,18,-,1,13,13,-
3,F,36,361,上水道業,55,1184,1095,89,1,3,3,-,5,420,367,53,47,748,718,30
3,F,36,362,工業用水道業,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,F,36,363,下水道業,111,2092,1881,211,10,199,125,74,14,932,809,123,87,961,947,14
1,G,00,000,情報通信業,22590,833210,619020,204577,15227,232692,168110,62784,3128,405154,299479,99039,4192,195209,151337,42693
2,G,37,000,通信業,619,66121,47401,13456,228,4744,3464,1280,107,39335,25900,8512,282,22036,18032,3663
3,G,37,370,管理，補助的経済活動を行う事業所,3,4,4,-,-,-,-,-,2,3,3,-,1,1,1,-
3,G,37,371,固定電気通信業,282,38146,30234,7886,117,3447,2626,821,58,22940,17337,5603,107,11759,10271,1462
3,G,37,372,移動電気通信業,51,19391,10855,3298,8,38,26,12,11,13961,6749,2289,32,5392,4080,997
3,G,37,373,電気通信に附帯するサービス業,283,8580,6308,2272,103,1259,812,447,36,2431,1811,620,142,4884,3680,1204
2,G,38,000,放送業,312,22218,15724,6007,85,2259,1493,738,38,16727,11704,4564,189,3232,2527,705
3,G,38,380,管理，補助的経済活動を行う事業所,1,8,6,2,-,-,-,-,-,-,-,-,1,8,6,2
3,G,38,381,公共放送業（有線放送業を除く）,2,5329,3860,1469,-,-,-,-,1,5318,3850,1468,1,11,10,1
3,G,38,382,民間放送業（有線放送業を除く）,194,11739,8219,3033,56,1232,774,430,25,9097,6346,2292,113,1410,1099,311
3,G,38,383,有線放送業,115,5142,3639,1503,29,1027,719,308,12,2312,1508,804,74,1803,1412,391
2,G,39,000,情報サービス業,11408,540272,418950,119185,7219,137541,106407,30578,1824,260923,200748,59367,2347,141751,111762,29216
3,G,39,390,管理，補助的経済活動を行う事業所,62,1944,1460,484,-,-,-,-,26,353,262,91,36,1591,1198,393
3,G,39,391,ソフトウェア業,9001,437493,353377,82168,5634,109407,87944,21096,1472,211113,169353,40952,1889,116954,96068,20113
3,G,39,392,情報処理・提供サービス業,2345,100835,64113,36533,1585,28134,18463,9482,326,49457,31133,18324,422,23206,14496,8710
4,G,39,39A,情報処理サービス業,1119,59384,38248,21081,733,14053,10061,3937,150,30909,19519,11390,234,14412,8664,5748
4,G,39,39B,情報提供サービス業,469,12998,8036,4962,286,4345,2538,1807,80,6365,4026,2339,96,2269,1462,807
4,G,39,39C,その他の情報処理・提供サービス業,757,28453,17829,10490,566,9736,5864,3738,96,12183,7588,4595,92,6525,4370,2155
2,G,40,000,インターネット附随サービス業,1911,58501,39984,17241,1379,21014,14035,5915,293,29516,20597,8707,236,7964,5346,2618
3,G,40,400,管理，補助的経済活動を行う事業所,5,10,6,4,-,-,-,-,2,2,1,1,3,8,5,3
3,G,40,401,インターネット附随サービス業,1906,58491,39978,17237,1379,21014,14035,5915,291,29514,20596,8706,233,7956,5341,2615
2,G,41,000,映像・音声・文字情報制作業,8340,146098,96961,48688,6316,67134,42711,24273,866,58653,40530,17889,1138,20226,13670,6491
3,G,41,410,管理，補助的経済活動を行う事業所,26,159,92,67,-,-,-,-,11,71,43,28,15,88,49,39
3,G,41,411,映像情報制作・配給業,2200,41156,28643,12167,1676,21986,15020,6816,225,13279,9372,3776,296,5871,4239,1567
3,G,41,412,音声情報制作業,379,5669,3807,1862,312,2672,1789,883,39,2369,1584,785,28,628,434,194
3,G,41,413,新聞業,351,20029,15872,4157,197,1906,1288,618,105,15822,12690,3132,47,2282,1881,401
3,G,41,414,出版業,2688,47295,27728,19464,2197,25746,15495,10251,279,17209,9790,7316,201,4305,2422,1883
3,G,41,415,広告制作業,1224,14362,9225,5137,973,6525,3940,2585,98,5149,3583,1566,152,2686,1700,986
3,G,41,416,映像・音声・文字情報制作に附帯するサービス業,1472,17428,11594,5834,961,8299,5179,3120,109,4754,3468,1286,399,4366,2945,1421
1,H,00,000,運輸業，郵便業,16390,477262,387238,90013,8485,93296,81868,11428,2107,112682,87191,25491,5777,271198,218136,53051
2,H,42,000,鉄道業,634,51484,47011,4473,-,-,-,-,21,9210,8219,991,611,42256,38776,3480
3,H,42,420,管理，補助的経済活動を行う事業所,11,7822,7228,594,-,-,-,-,1,2950,2640,310,10,4872,4588,284
3,H,42,421,鉄道業,623,43662,39783,3879,-,-,-,-,20,6260,5579,681,601,37384,34188,3196
2,H,43,000,道路旅客運送業,5552,106656,100349,6307,4983,44174,41703,2471,176,16727,15020,1707,392,45754,43625,2129
3,H,43,430,管理，補助的経済活動を行う事業所,11,394,344,50,-,-,-,-,3,235,188,47,8,159,156,3
3,H,43,431,一般乗合旅客自動車運送業,159,20189,18742,1447,11,777,680,97,31,3527,2998,529,117,15885,15064,821
3,H,43,432,一般乗用旅客自動車運送業,5156,80356,76761,3595,4866,41902,39737,2165,102,10868,10239,629,187,27585,26784,801
3,H,43,433,一般貸切旅客自動車運送業,190,4934,3919,1015,86,1225,1045,180,35,1926,1528,398,69,1783,1346,437
3,H,43,439,その他の道路旅客運送業,36,783,583,200,20,270,241,29,5,171,67,104,11,342,275,67
2,H,44,000,道路貨物運送業,6496,167521,136439,31071,2546,35173,31082,4091,1137,38478,32127,6351,2811,93867,73228,20628
3,H,44,440,管理，補助的経済活動を行う事業所,102,4207,3171,1036,-,-,-,-,73,2127,1693,434,29,2080,1478,602
3,H,44,441,一般貨物自動車運送業,5529,148363,121584,26768,2070,31423,27912,3511,986,32041,27197,4844,2472,84897,66474,18412
3,H,44,442,特定貨物自動車運送業,148,3572,2938,634,95,1487,1345,142,20,950,765,185,33,1135,828,307
3,H,44,443,貨物軽自動車運送業,454,3255,2566,689,349,1711,1391,320,24,700,472,228,81,844,703,141
3,H,44,444,集配利用運送業,244,7704,5829,1875,17,187,124,63,34,2660,2000,660,192,4856,3704,1152
3,H,44,449,その他の道路貨物運送業,19,420,351,69,15,365,310,55,-,-,-,-,4,55,41,14
2,H,45,000,水運業,394,12672,9734,2938,182,3273,2507,766,93,7832,6097,1735,119,1567,1130,437
3,H,45,450,管理，補助的経済活動を行う事業所,6,117,91,26,-,-,-,-,2,68,52,16,4,49,39,10
3,H,45,451,外航海運業,122,6361,4602,1759,54,1162,890,272,35,4599,3350,1249,33,600,362,238
3,H,45,452,沿海海運業,149,4428,3731,697,49,1041,843,198,43,2863,2471,392,57,524,417,107
3,H,45,453,内陸水運業,51,682,470,212,40,374,249,125,3,66,45,21,8,242,176,66
3,H,45,454,船舶貸渡業,66,1084,840,244,39,696,525,171,10,236,179,57,17,152,136,16
2,H,46,000,航空運輸業,187,37491,23808,13683,11,944,273,671,34,3063,2132,931,142,33484,21403,12081
3,H,46,460,管理，補助的経済活動を行う事業所,16,3467,3272,195,-,-,-,-,1,2,2,-,15,3465,3270,195
3,H,46,461,航空運送業,157,33776,20314,13462,8,928,259,669,28,2897,1983,914,121,29951,18072,11879
3,H,46,462,航空機使用業（航空運送業を除く）,14,248,222,26,3,16,14,2,5,164,147,17,6,68,61,7
2,H,47,000,倉庫業,1017,28189,16330,11859,145,2135,1419,716,206,14114,7696,6418,666,11940,7215,4725
3,H,47,470,管理，補助的経済活動を行う事業所,27,1042,791,251,-,-,-,-,18,898,674,224,9,144,117,27
3,H,47,471,倉庫業（冷蔵倉庫業を除く）,860,24426,13609,10817,127,1849,1194,655,164,12478,6550,5928,569,10099,5865,4234
3,H,47,472,冷蔵倉庫業,130,2721,1930,791,18,286,225,61,24,738,472,266,88,1697,1233,464
2,H,48,000,運輸に附帯するサービス業,2060,56481,40823,15658,612,7180,4721,2459,440,23258,15900,7358,992,25979,20178,5801
3,H,48,480,管理，補助的経済活動を行う事業所,49,930,765,165,-,-,-,-,37,879,728,151,12,51,37,14
3,H,48,481,港湾運送業,264,6931,5827,1104,12,362,339,23,36,2733,2175,558,216,3836,3313,523
3,H,48,482,貨物運送取扱業（集配利用運送業を除く）,484,13945,9991,3954,122,1162,851,311,115,6052,4384,1668,247,6731,4756,1975
3,H,48,483,運送代理店,167,3838,2435,1403,81,588,350,238,55,1959,1269,690,31,1291,816,475
3,H,48,484,こん包業,387,8094,4658,3436,179,2248,951,1297,88,2417,1448,969,120,3429,2259,1170
3,H,48,485,運輸施設提供業,55,3340,2370,970,6,97,91,6,12,1935,1244,691,37,1308,1035,273
3,H,48,489,その他の運輸に附帯するサービス業,654,19403,14777,4626,212,2723,2139,584,97,7283,4652,2631,329,9333,7962,1371
2,H,49,000,郵便業（信書便事業を含む）,50,16768,12744,4024,6,417,163,254,-,-,-,-,44,16351,12581,3770
3,H,49,490,管理，補助的経済活動を行う事業所,2,16,14,2,-,-,-,-,-,-,-,-,2,16,14,2
3,H,49,491,郵便業（信書便事業を含む）,48,16752,12730,4022,6,417,163,254,-,-,-,-,42,16335,12567,3768
1,I,00,000,卸売業，小売業,157968,1996414,1154696,837239,83438,428209,249953,178166,17964,727962,471506,253406,56489,839789,433035,405415
2,I,50,000,各種商品卸売業,228,20820,14484,5874,120,1015,678,261,45,18405,12804,5215,63,1400,1002,398
3,I,50,500,管理，補助的経済活動を行う事業所,3,85,63,22,-,-,-,-,1,83,61,22,2,2,2,-
3,I,50,501,各種商品卸売業,225,20735,14421,5852,120,1015,678,261,44,18322,12743,5193,61,1398,1000,398
4,I,50,50A,各種商品卸売業（従業者が常時100人以上のもの）,14,18064,12615,5063,-,-,-,-,12,17534,12237,4911,2,530,378,152
4,I,50,50B,その他の各種商品卸売業,211,2671,1806,789,120,1015,678,261,32,788,506,282,59,868,622,246
2,I,51,000,繊維・衣服等卸売業,6425,98225,46481,51668,3628,23024,12471,10552,1042,48422,21626,26796,1752,26771,12378,14318
3,I,51,510,管理，補助的経済活動を行う事業所,58,705,395,310,-,-,-,-,13,382,251,131,45,323,144,179
3,I,51,511,繊維品卸売業（衣服，身の回り品を除く）,856,9852,6578,3204,496,2671,1699,972,87,3894,2742,1152,273,3287,2137,1080
3,I,51,512,衣服卸売業,2831,51294,21996,29293,1536,10154,5240,4914,513,27414,10917,16497,781,13722,5835,7882
3,I,51,513,身の回り品卸売業,2680,36374,17512,18861,1596,10199,5532,4666,429,16732,7716,9016,653,9439,4262,5177
2,I,52,000,飲食料品卸売業,9486,148789,101595,47016,5714,41143,28094,13049,1313,64623,44523,19922,2455,43002,28961,14041
3,I,52,520,管理，補助的経済活動を行う事業所,156,2148,1346,802,-,-,-,-,46,807,565,242,110,1341,781,560
3,I,52,521,農畜産物・水産物卸売業,4251,49520,35904,13616,3198,24619,17772,6847,482,16581,12141,4440,570,8304,5977,2327
4,I,52,52A,米穀類卸売業,410,3893,2716,1177,273,1274,864,410,62,1921,1341,580,75,698,511,187
4,I,52,52B,野菜・果実卸売業,1165,15301,10958,4343,950,8751,6324,2427,103,4754,3414,1340,111,1780,1206,574
4,I,52,52C,食肉卸売業,895,11407,8307,3100,644,5196,3764,1432,123,3399,2489,910,128,2812,2054,758
4,I,52,52D,生鮮魚介卸売業,1418,15476,11592,3884,1090,7707,5667,2040,144,5402,4163,1239,184,2367,1762,605
4,I,52,52E,その他の農畜産物・水産物卸売業,363,3443,2331,1112,241,1691,1153,538,50,1105,734,371,72,647,444,203
3,I,52,522,食料・飲料卸売業,5079,97121,64345,32598,2516,16524,10322,6202,785,47235,31817,15240,1775,33357,22203,11154
2,I,53,000,建築材料，鉱物・金属材料等卸売業,11265,184887,137861,46785,5681,30210,21010,9197,2317,111083,83682,27163,3263,43574,33150,10424
3,I,53,530,管理，補助的経済活動を行う事業所,154,1388,1066,322,-,-,-,-,80,858,623,235,74,530,443,87
3,I,53,531,建築材料卸売業,3592,39702,29324,10378,2002,9755,6911,2844,518,15708,11703,4005,1071,14237,10709,3528
3,I,53,532,化学製品卸売業,3332,70358,52818,17457,1450,8340,5509,2831,825,47081,35879,11119,1057,14937,11430,3507
3,I,53,533,石油・鉱物卸売業,661,19784,15479,4304,266,2002,1394,608,186,14287,11345,2941,208,3495,2740,755
3,I,53,534,鉄鋼製品卸売業,1307,32534,23652,8879,607,3307,2293,1011,333,22827,16566,6261,367,6400,4793,1607
3,I,53,535,非鉄金属卸売業,999,12733,8975,3604,498,2463,1573,890,192,8034,5824,2056,309,2236,1578,658
3,I,53,536,再生資源卸売業,1220,8388,6547,1841,858,4343,3330,1013,183,2288,1742,546,177,1739,1457,282
2,I,54,000,機械器具卸売業,14736,346775,267880,78071,6647,41688,29312,12375,2952,198279,153805,44021,5133,106798,84754,21674
3,I,54,540,管理，補助的経済活動を行う事業所,219,17971,14470,3489,-,-,-,-,77,15535,12617,2918,142,2436,1853,571
3,I,54,541,産業機械器具卸売業,4946,89432,70515,18898,2254,12099,8505,3594,919,46935,37173,9743,1772,30395,24835,5560
3,I,54,542,自動車卸売業,1623,23010,17650,4698,810,4703,3384,1319,273,11378,8816,2154,540,6929,5450,1225
3,I,54,543,電気機械器具卸売業,5234,156474,119851,36493,2342,16783,11957,4826,1066,87849,67264,20559,1824,51836,40624,11108
3,I,54,549,その他の機械器具卸売業,2714,59888,45394,14493,1241,8103,5466,2636,617,36582,27935,8647,855,15202,11992,3210
2,I,55,000,その他の卸売業,14656,237277,146700,88223,8071,47453,28205,19240,2432,109925,67806,40459,4137,79808,50620,28502
3,I,55,550,管理，補助的経済活動を行う事業所,198,4260,2867,1393,-,-,-,-,56,2166,1362,804,142,2094,1505,589
3,I,55,551,家具・建具・じゅう器等卸売業,2151,27166,17581,9140,1175,5591,3485,2106,299,10425,6848,3577,677,11150,7248,3457
3,I,55,552,医薬品・化粧品等卸売業,2611,78662,42096,34665,1262,7943,4103,3840,438,38293,19911,16722,910,32423,18080,14102
3,I,55,553,紙・紙製品卸売業,1473,23567,16620,6947,823,4809,2973,1836,237,10296,7314,2982,411,8455,6330,2125
3,I,55,559,他に分類されない卸売業,8223,103622,67536,36078,4811,29110,17644,11458,1402,48745,32371,16374,1997,25686,17457,8229
4,I,55,55A,代理商，仲立業,285,2539,1643,896,217,1214,806,408,32,1069,700,369,30,201,94,107
4,I,55,55B,他に分類されないその他の卸売業,7938,101083,65893,35182,4594,27896,16838,11050,1370,47676,31671,16005,1967,25485,17363,8122
2,I,56,000,各種商品小売業,374,52992,21302,31690,22,63,31,32,18,13113,6481,6632,334,39816,14790,25026
3,I,56,560,管理，補助的経済活動を行う事業所,20,6866,3761,3105,-,-,-,-,4,2411,1234,1177,16,4455,2527,1928
3,I,56,561,百貨店，総合スーパー,133,42848,16403,26445,-,-,-,-,12,10646,5219,5427,121,32202,11184,21018
3,I,56,569,その他の各種商品小売業（従業者が常時50人未満のもの）,221,3278,1138,2140,22,63,31,32,2,56,28,28,197,3159,1079,2080
2,I,57,000,織物・衣服・身の回り品小売業,18578,125684,39000,86650,7260,21489,8662,12827,1680,27856,9963,17875,9631,76307,20369,55922
3,I,57,570,管理，補助的経済活動を行う事業所,205,8093,3732,4351,-,-,-,-,109,4021,2072,1939,96,4072,1660,2412
3,I,57,571,呉服・服地・寝具小売業,1506,6202,2188,4014,1077,3096,1385,1711,74,714,287,427,355,2392,516,1876
3,I,57,572,男子服小売業,2237,14701,8057,6644,866,3263,1881,1382,168,2163,1198,965,1203,9275,4978,4297
3,I,57,573,婦人・子供服小売業,8369,58547,13488,45035,3032,8432,2528,5904,877,12868,3486,9374,4457,37232,7471,29745
3,I,57,574,靴・履物小売業,1559,7391,3341,4050,631,1579,854,725,110,1307,604,703,818,4505,1883,2622
3,I,57,579,その他の織物・衣服・身の回り品小売業,4702,30750,8194,22556,1654,5119,2014,3105,342,6783,2316,4467,2702,18831,3861,14970
2,I,58,000,飲食料品小売業,31060,373553,167191,206336,17820,106884,56184,50700,1863,45702,23578,22104,11359,220806,87385,133415
3,I,58,580,管理，補助的経済活動を行う事業所,203,7621,4702,2899,-,-,-,-,108,5141,3421,1700,95,2480,1281,1199
3,I,58,581,各種食料品小売業,1911,97841,41615,56226,344,3226,1521,1705,100,7916,4808,3108,1464,86677,35285,51392
3,I,58,582,野菜・果実小売業,1910,9486,4779,4707,1578,5558,2992,2566,78,1397,635,762,250,2495,1128,1367
3,I,58,583,食肉小売業,1223,6893,3360,3533,893,2911,1566,1345,44,743,488,255,286,3239,1306,1933
3,I,58,584,鮮魚小売業,870,4983,3128,1855,658,2227,1329,898,38,587,379,208,174,2169,1420,749
3,I,58,585,酒小売業,2313,9399,5794,3605,1936,5744,3301,2443,64,583,400,183,313,3072,2093,979
3,I,58,586,菓子・パン小売業,6631,54190,15200,38984,3422,14392,5548,8844,462,9747,3280,6467,2743,30014,6364,23644
3,I,58,589,その他の飲食料品小売業,15999,183140,88613,94527,8989,72826,39927,32899,969,19588,10167,9421,6034,90660,38508,52152
4,I,58,58A,料理品小売業,3077,30931,10404,20527,1365,5839,2551,3288,123,3075,1425,1650,1589,22017,6428,15589
4,I,58,58B,他に分類されない飲食料品小売業,12922,152209,78209,74000,7624,66987,37376,29611,846,16513,8742,7771,4445,68643,32080,36563
2,I,59,000,機械器具小売業,9840,81775,60463,21292,5970,20845,14702,6143,709,16024,11239,4765,3160,44905,34521,10384
3,I,59,590,管理，補助的経済活動を行う事業所,57,2244,1227,997,-,-,-,-,34,1956,1003,933,23,288,224,64
3,I,59,591,自動車小売業,4346,38034,31780,6254,2513,9541,7251,2290,340,6606,5260,1346,1493,21887,19269,2618
3,I,59,592,自転車小売業,1334,3661,2837,824,1002,1951,1395,556,51,361,258,103,281,1349,1184,165
3,I,59,593,機械器具小売業（自動車，自転車を除く）,4103,37836,24619,13217,2455,9353,6056,3297,284,7101,4718,2383,1363,21381,13844,7537
2,I,60,000,その他の小売業,36881,266331,119866,146225,19680,79947,42691,37255,3036,50156,23865,26234,14149,136130,53289,82659
3,I,60,600,管理，補助的経済活動を行う事業所,365,14414,7158,7256,-,-,-,-,221,11190,5510,5680,144,3224,1648,1576
3,I,60,601,家具・建具・畳小売業,1853,10711,5921,4790,1349,3581,2413,1168,113,2790,1639,1151,391,4340,1869,2471
3,I,60,602,じゅう器小売業,1829,7657,3077,4450,1345,3759,1974,1785,118,1183,359,824,366,2715,744,1841
3,I,60,603,医薬品・化粧品小売業,9559,74675,18728,55947,3033,14193,3969,10224,915,9705,2686,7019,5609,50773,12072,38701
3,I,60,604,農耕用品小売業,127,873,550,323,90,321,172,149,10,256,195,61,27,296,183,113
3,I,60,605,燃料小売業,1880,15882,12525,3357,871,4673,3354,1319,161,2616,2021,595,847,8587,7145,1442
3,I,60,606,書籍・文房具小売業,4286,43377,24729,18648,2773,22605,14819,7786,259,4901,2633,2268,1250,15844,7272,8572
3,I,60,607,スポーツ用品・がん具・娯楽用品・楽器小売業,2612,20147,11920,8171,1327,4129,2632,1497,218,3992,2214,1722,1066,12022,7072,4950
4,I,60,60A,スポーツ用品小売業,1301,9406,5900,3450,656,1919,1252,667,95,1373,825,492,550,6114,3823,2291
4,I,60,60B,がん具・娯楽用品小売業,798,5321,2889,2432,409,1226,751,475,80,984,549,435,308,3107,1587,1520
4,I,60,60C,楽器小売業,513,5420,3131,2289,262,984,629,355,43,1635,840,795,208,2801,1662,1139
3,I,60,608,写真機・時計・眼鏡小売業,2255,12430,6945,5442,994,2806,1659,1147,159,2954,1694,1260,1102,6670,3592,3035
3,I,60,609,他に分類されない小売業,12115,66165,28313,37841,7898,23880,11699,12180,862,10569,4914,5654,3347,31659,11692,19958
4,I,60,60D,花・植木小売業,2630,10346,4127,6219,1887,6111,2798,3313,202,1359,597,762,540,2838,732,2106
4,I,60,60E,ペット・ペット用品小売業,640,3256,1184,2072,379,1220,528,692,60,450,177,273,201,1586,479,1107
4,I,60,60F,中古品小売業（他に分類されないもの）,1671,7902,4235,3658,997,2655,1438,1217,163,1561,833,728,508,3677,1960,1708
4,I,60,60G,他に分類されないその他の小売業,7174,44661,18767,25892,4635,13894,6935,6958,437,7199,3307,3891,2098,23558,8521,15037
2,I,61,000,無店舗小売業,4439,59306,31873,27409,2825,14448,7913,6535,557,24374,12134,12220,1053,20472,11816,8652
3,I,61,610,管理，補助的経済活動を行う事業所,30,1253,662,587,-,-,-,-,8,363,228,135,22,890,434,452
3,I,61,611,通信販売・訪問販売小売業,3452,43665,21958,21687,2223,11846,6307,5539,440,19515,9681,9814,787,12298,5966,6332
3,I,61,612,自動販売機による小売業,315,4789,4094,695,182,486,308,178,22,1071,772,299,110,3227,3009,218
3,I,61,619,その他の無店舗小売業,642,9599,5159,4440,420,2116,1298,818,87,3425,1453,1972,134,4057,2407,1650
1,J,00,000,金融業，保険業,11274,403625,212679,190308,4018,37821,24351,13102,897,160081,96560,63425,6345,205682,91739,113769
2,J,62,000,銀行業,1621,104382,50377,54005,10,578,408,170,32,49533,28658,20875,1579,54271,21311,32960
3,J,62,620,管理，補助的経済活動を行う事業所,14,3685,2388,1297,-,-,-,-,2,2216,1618,598,12,1469,770,699
3,J,62,621,中央銀行,1,2486,1506,980,-,-,-,-,1,2486,1506,980,-,-,-,-
3,J,62,622,銀行（中央銀行を除く）,1606,98211,46483,51728,10,578,408,170,29,44831,25534,19297,1567,52802,20541,32261
