地域階層,地域コード,東京都26町丁目コード,区市町村名称,町・大字名,丁目・字,地域名称,産業分類階層,大分類,中分類,産業分類名称,総数（経営組織）／事業所数／総数（従業者規模）（事業所）,総数（経営組織）／事業所数／従業者規模1～4人（事業所）,総数（経営組織）／事業所数／従業者規模5～9人（事業所）,総数（経営組織）／事業所数／従業者規模10～19人（事業所）,総数（経営組織）／事業所数／従業者規模20～29人（事業所）,総数（経営組織）／事業所数／従業者規模30～49人（事業所）,総数（経営組織）／事業所数／従業者規模50～99人（事業所）,総数（経営組織）／事業所数／従業者規模100～199人（事業所）,総数（経営組織）／事業所数／従業者規模200～299人（事業所）,総数（経営組織）／事業所数／従業者規模300人以上（事業所）,総数（経営組織）／事業所数／出向・派遣従業者のみ（事業所）,総数（経営組織）／従業者数（人）,総数（経営組織）／従業者数／男（人）,総数（経営組織）／従業者数／女（人）,民営／事業所数／総数（従業者規模）（事業所）,民営／事業所数／従業者規模1～4人（事業所）,民営／事業所数／従業者規模5～9人（事業所）,民営／事業所数／従業者規模10～19人（事業所）,民営／事業所数／従業者規模20～29人（事業所）,民営／事業所数／従業者規模30～49人（事業所）,民営／事業所数／従業者規模50～99人（事業所）,民営／事業所数／従業者規模100～199人（事業所）,民営／事業所数／従業者規模200～299人（事業所）,民営／事業所数／従業者規模300人以上（事業所）,民営／事業所数／出向・派遣従業者のみ（事業所）,民営／従業者数（人）,民営／従業者数／男（人）,民営／従業者数／女（人）,国、地方公共団体／事業所数／総数（従業者規模）（事業所）,国、地方公共団体／事業所数／従業者規模1～4人（事業所）,国、地方公共団体／事業所数／従業者規模5～9人（事業所）,国、地方公共団体／事業所数／従業者規模10～19人（事業所）,国、地方公共団体／事業所数／従業者規模20～29人（事業所）,国、地方公共団体／事業所数／従業者規模30～49人（事業所）,国、地方公共団体／事業所数／従業者規模50～99人（事業所）,国、地方公共団体／事業所数／従業者規模100～199人（事業所）,国、地方公共団体／事業所数／従業者規模200～299人（事業所）,国、地方公共団体／事業所数／従業者規模300人以上（事業所）,国、地方公共団体／事業所数／出向・派遣従業者のみ（事業所）,国、地方公共団体／従業者数（人）,国、地方公共団体／従業者数／男（人）,国、地方公共団体／従業者数／女（人）
4,13308,1330800000,奥多摩町,,,奥多摩町,0,A-S,00,全産業,320,180,74,37,13,6,8,-,-,-,2,2415,1407,1008,289,164,71,33,8,4,7,-,-,-,2,2036,1145,891,31,16,3,4,5,2,1,-,-,-,-,379,262,117
4,13308,1330800000,奥多摩町,,,奥多摩町,9,A-R,00,全産業（Ｓ公務を除く）,304,169,72,36,13,5,7,-,-,-,2,2253,1273,980,289,164,71,33,8,4,7,-,-,-,2,2036,1145,891,15,5,1,3,5,1,-,-,-,-,-,217,128,89
4,13308,1330800000,奥多摩町,,,奥多摩町,1,A-B,00,農林漁業,5,1,4,-,-,-,-,-,-,-,-,33,29,4,5,1,4,-,-,-,-,-,-,-,-,33,29,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13308,1330800000,奥多摩町,,,奥多摩町,2,A,00,農業，林業,3,-,3,-,-,-,-,-,-,-,-,22,20,2,3,-,3,-,-,-,-,-,-,-,-,22,20,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13308,1330800000,奥多摩町,,,奥多摩町,3,A,01,農業,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13308,1330800000,奥多摩町,,,奥多摩町,3,A,02,林業,3,-,3,-,-,-,-,-,-,-,-,22,20,2,3,-,3,-,-,-,-,-,-,-,-,22,20,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13308,1330800000,奥多摩町,,,奥多摩町,2,B,00,漁業,2,1,1,-,-,-,-,-,-,-,-,11,9,2,2,1,1,-,-,-,-,-,-,-,-,11,9,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13308,1330800000,奥多摩町,,,奥多摩町,3,B,03,漁業（水産養殖業を除く）,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13308,1330800000,奥多摩町,,,奥多摩町,3,B,04,水産養殖業,2,1,1,-,-,-,-,-,-,-,-,11,9,2,2,1,1,-,-,-,-,-,-,-,-,11,9,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13308,1330800000,奥多摩町,,,奥多摩町,1,C-S,00,非農林漁業,315,179,70,37,13,6,8,-,-,-,2,2382,1378,1004,284,163,67,33,8,4,7,-,-,-,2,2003,1116,887,31,16,3,4,5,2,1,-,-,-,-,379,262,117
