地域階層,地域コード,東京都26町丁目コード,区市町村名称,町・大字名,丁目・字,地域名称,経営組織階層,経営組織コード,経営組織名称,従業者数（人）,従業者数／男（人）,従業者数／女（人）,従業者数／個人業主（人）,従業者数／個人業主／男（人）,従業者数／個人業主／女（人）,従業者数／無給の家族従業者（人）,従業者数／無給の家族従業者／男（人）,従業者数／無給の家族従業者／女（人）,従業者数／有給役員（人）,従業者数／有給役員／男（人）,従業者数／有給役員／女（人）,従業者数／雇用者（人）,従業者数／雇用者／男（人）,従業者数／雇用者／女（人）,従業者数／雇用者／常用雇用者（人）,従業者数／雇用者／常用雇用者／男（人）,従業者数／雇用者／常用雇用者／女（人）,従業者数／雇用者／常用雇用者／正社員・正職員（人）,従業者数／雇用者／常用雇用者／正社員・正職員／男（人）,従業者数／雇用者／常用雇用者／正社員・正職員／女（人）,従業者数／雇用者／常用雇用者／正社員・正職員以外（人）,従業者数／雇用者／常用雇用者／正社員・正職員以外／男（人）,従業者数／雇用者／常用雇用者／正社員・正職員以外／女（人）,従業者数／雇用者／臨時雇用者（人）,従業者数／雇用者／臨時雇用者／男（人）,従業者数／雇用者／臨時雇用者／女（人）,従業者数／（再掲）他への出向・派遣従業者（人）,従業者数／（再掲）他への出向・派遣従業者／男（人）,従業者数／（再掲）他への出向・派遣従業者／女（人）,他からの出向・派遣従業者（人）,他からの出向・派遣従業者／男（人）,他からの出向・派遣従業者／女（人）,事業従事者数（人）,事業従事者数／男（人）,事業従事者数／女（人）
6,13214,1321400402,国分寺市,国分寺市泉町,２丁目,国分寺市泉町２丁目,2,1300,法人でない団体,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,13214,1321400403,国分寺市,国分寺市泉町,３丁目,国分寺市泉町３丁目,1,1000,民営,1363,674,689,35,29,6,5,2,3,77,45,32,1246,598,648,1203,579,624,440,311,129,763,268,495,43,19,24,-,-,-,1,1,-,1364,675,689
6,13214,1321400403,国分寺市,国分寺市泉町,３丁目,国分寺市泉町３丁目,2,1100,個人,167,67,100,35,29,6,5,2,3,-,-,-,127,36,91,114,26,88,32,6,26,82,20,62,13,10,3,-,-,-,-,-,-,167,67,100
6,13214,1321400403,国分寺市,国分寺市泉町,３丁目,国分寺市泉町３丁目,3,1210,会社,1035,470,565,-,-,-,-,-,-,77,45,32,958,425,533,928,416,512,254,169,85,674,247,427,30,9,21,-,-,-,1,1,-,1036,471,565
6,13214,1321400403,国分寺市,国分寺市泉町,３丁目,国分寺市泉町３丁目,3,1220,会社以外の法人,161,137,24,-,-,-,-,-,-,-,-,-,161,137,24,161,137,24,154,136,18,7,1,6,-,-,-,-,-,-,-,-,-,161,137,24
6,13214,1321400403,国分寺市,国分寺市泉町,３丁目,国分寺市泉町３丁目,2,1300,法人でない団体,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,13214,1321401600,国分寺市,国分寺市北町,,国分寺市北町,1,1000,民営,644,355,289,13,10,3,3,-,3,55,44,11,573,301,272,531,278,253,188,143,45,343,135,208,42,23,19,1,1,-,-,-,-,643,354,289
5,13214,1321401600,国分寺市,国分寺市北町,,国分寺市北町,2,1100,個人,40,25,15,13,10,3,3,-,3,-,-,-,24,15,9,23,14,9,9,3,6,14,11,3,1,1,-,1,1,-,-,-,-,39,24,15
5,13214,1321401600,国分寺市,国分寺市北町,,国分寺市北町,3,1210,会社,598,327,271,-,-,-,-,-,-,54,43,11,544,284,260,503,262,241,175,138,37,328,124,204,41,22,19,-,-,-,-,-,-,598,327,271
5,13214,1321401600,国分寺市,国分寺市北町,,国分寺市北町,3,1220,会社以外の法人,6,3,3,-,-,-,-,-,-,1,1,-,5,2,3,5,2,3,4,2,2,1,-,1,-,-,-,-,-,-,-,-,-,6,3,3
