地域階層,地域コード,東京都26町丁目コード,区市町村名称,町・大字名,丁目・字,地域名称,経営組織階層,経営組織コード,経営組織名称,従業者数（人）,従業者数／男（人）,従業者数／女（人）,従業者数／個人業主（人）,従業者数／個人業主／男（人）,従業者数／個人業主／女（人）,従業者数／無給の家族従業者（人）,従業者数／無給の家族従業者／男（人）,従業者数／無給の家族従業者／女（人）,従業者数／有給役員（人）,従業者数／有給役員／男（人）,従業者数／有給役員／女（人）,従業者数／雇用者（人）,従業者数／雇用者／男（人）,従業者数／雇用者／女（人）,従業者数／雇用者／常用雇用者（人）,従業者数／雇用者／常用雇用者／男（人）,従業者数／雇用者／常用雇用者／女（人）,従業者数／雇用者／常用雇用者／正社員・正職員（人）,従業者数／雇用者／常用雇用者／正社員・正職員／男（人）,従業者数／雇用者／常用雇用者／正社員・正職員／女（人）,従業者数／雇用者／常用雇用者／正社員・正職員以外（人）,従業者数／雇用者／常用雇用者／正社員・正職員以外／男（人）,従業者数／雇用者／常用雇用者／正社員・正職員以外／女（人）,従業者数／雇用者／臨時雇用者（人）,従業者数／雇用者／臨時雇用者／男（人）,従業者数／雇用者／臨時雇用者／女（人）,従業者数／（再掲）他への出向・派遣従業者（人）,従業者数／（再掲）他への出向・派遣従業者／男（人）,従業者数／（再掲）他への出向・派遣従業者／女（人）,他からの出向・派遣従業者（人）,他からの出向・派遣従業者／男（人）,他からの出向・派遣従業者／女（人）,事業従事者数（人）,事業従事者数／男（人）,事業従事者数／女（人）
4,13222,1322200000,東久留米市,,,東久留米市,1,1000,民営,28551,14249,14302,925,697,228,241,48,193,2160,1538,622,25225,11966,13259,23878,11364,12514,11280,7463,3817,12598,3901,8697,1347,602,745,133,90,43,550,300,250,28968,14459,14509
4,13222,1322200000,東久留米市,,,東久留米市,2,1100,個人,3080,1326,1754,925,697,228,241,48,193,-,-,-,1914,581,1333,1742,531,1211,716,260,456,1026,271,755,172,50,122,9,1,8,15,2,13,3086,1327,1759
4,13222,1322200000,東久留米市,,,東久留米市,3,1210,会社,21283,11649,9634,-,-,-,-,-,-,1984,1412,572,19299,10237,9062,18326,9749,8577,8591,6505,2086,9735,3244,6491,973,488,485,116,85,31,503,281,222,21670,11845,9825
4,13222,1322200000,東久留米市,,,東久留米市,3,1220,会社以外の法人,4176,1265,2911,-,-,-,-,-,-,173,123,50,4003,1142,2861,3801,1078,2723,1969,695,1274,1832,383,1449,202,64,138,8,4,4,32,17,15,4200,1278,2922
4,13222,1322200000,東久留米市,,,東久留米市,2,1300,法人でない団体,12,9,3,-,-,-,-,-,-,3,3,-,9,6,3,9,6,3,4,3,1,5,3,2,-,-,-,-,-,-,-,-,-,12,9,3
5,13222,1322200100,東久留米市,東久留米市上の原,,東久留米市上の原,1,1000,民営,205,91,114,9,7,2,4,1,3,10,8,2,182,75,107,173,74,99,48,39,9,125,35,90,9,1,8,-,-,-,2,1,1,207,92,115
5,13222,1322200100,東久留米市,東久留米市上の原,,東久留米市上の原,2,1100,個人,27,10,17,9,7,2,4,1,3,-,-,-,14,2,12,7,2,5,4,1,3,3,1,2,7,-,7,-,-,-,1,-,1,28,10,18
5,13222,1322200100,東久留米市,東久留米市上の原,,東久留米市上の原,3,1210,会社,135,39,96,-,-,-,-,-,-,10,8,2,125,31,94,123,30,93,18,13,5,105,17,88,2,1,1,-,-,-,1,1,-,136,40,96
5,13222,1322200100,東久留米市,東久留米市上の原,,東久留米市上の原,3,1220,会社以外の法人,43,42,1,-,-,-,-,-,-,-,-,-,43,42,1,43,42,1,26,25,1,17,17,-,-,-,-,-,-,-,-,-,-,43,42,1
5,13222,1322200100,東久留米市,東久留米市上の原,,東久留米市上の原,2,1300,法人でない団体,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
