地域階層,地域コード,東京都26町丁目コード,区市町村名称,町・大字名,丁目・字,地域名称,経営組織階層,経営組織コード,経営組織名称,従業者数（人）,従業者数／男（人）,従業者数／女（人）,従業者数／個人業主（人）,従業者数／個人業主／男（人）,従業者数／個人業主／女（人）,従業者数／無給の家族従業者（人）,従業者数／無給の家族従業者／男（人）,従業者数／無給の家族従業者／女（人）,従業者数／有給役員（人）,従業者数／有給役員／男（人）,従業者数／有給役員／女（人）,従業者数／雇用者（人）,従業者数／雇用者／男（人）,従業者数／雇用者／女（人）,従業者数／雇用者／常用雇用者（人）,従業者数／雇用者／常用雇用者／男（人）,従業者数／雇用者／常用雇用者／女（人）,従業者数／雇用者／常用雇用者／正社員・正職員（人）,従業者数／雇用者／常用雇用者／正社員・正職員／男（人）,従業者数／雇用者／常用雇用者／正社員・正職員／女（人）,従業者数／雇用者／常用雇用者／正社員・正職員以外（人）,従業者数／雇用者／常用雇用者／正社員・正職員以外／男（人）,従業者数／雇用者／常用雇用者／正社員・正職員以外／女（人）,従業者数／雇用者／臨時雇用者（人）,従業者数／雇用者／臨時雇用者／男（人）,従業者数／雇用者／臨時雇用者／女（人）,従業者数／（再掲）他への出向・派遣従業者（人）,従業者数／（再掲）他への出向・派遣従業者／男（人）,従業者数／（再掲）他への出向・派遣従業者／女（人）,他からの出向・派遣従業者（人）,他からの出向・派遣従業者／男（人）,他からの出向・派遣従業者／女（人）,事業従事者数（人）,事業従事者数／男（人）,事業従事者数／女（人）
4,13109,1310900000,品川区,,,品川区,1,1000,民営,403584,265210,137562,5802,4194,1608,1367,311,1056,18397,14407,3985,378018,246298,130913,360350,236210,123333,269722,197362,71554,90628,38848,51779,17668,10088,7580,14929,11559,3370,24689,16880,7809,413344,270531,142001
4,13109,1310900000,品川区,,,品川区,2,1100,個人,15828,7518,8310,5802,4194,1608,1367,311,1056,-,-,-,8659,3013,5646,7864,2681,5183,3999,1613,2386,3865,1068,2797,795,332,463,70,33,37,64,30,34,15822,7515,8307
4,13109,1310900000,品川区,,,品川区,3,1210,会社,365531,246992,117727,-,-,-,-,-,-,17312,13598,3709,348219,233394,114018,334204,225413,107984,253389,190016,62567,80815,35397,45417,14015,7981,6034,14805,11493,3312,24161,16629,7532,374887,252128,121947
4,13109,1310900000,品川区,,,品川区,3,1220,会社以外の法人,22051,10610,11441,-,-,-,-,-,-,1066,791,275,20985,9819,11166,18130,8045,10085,12226,5672,6554,5904,2373,3531,2855,1774,1081,52,32,20,453,218,235,22452,10796,11656
4,13109,1310900000,品川区,,,品川区,2,1300,法人でない団体,174,90,84,-,-,-,-,-,-,19,18,1,155,72,83,152,71,81,108,61,47,44,10,34,3,1,2,2,1,1,11,3,8,183,92,91
5,13109,1310900100,品川区,品川区荏原,,品川区荏原,1,1000,民営,5694,3554,2140,248,193,55,50,5,45,635,459,176,4761,2897,1864,4615,2825,1790,3082,2266,816,1533,559,974,146,72,74,29,20,9,43,12,31,5708,3546,2162
5,13109,1310900100,品川区,品川区荏原,,品川区荏原,2,1100,個人,543,296,247,248,193,55,50,5,45,-,-,-,245,98,147,232,91,141,123,46,77,109,45,64,13,7,6,-,-,-,-,-,-,543,296,247
5,13109,1310900100,品川区,品川区荏原,,品川区荏原,3,1210,会社,4463,2918,1545,-,-,-,-,-,-,576,413,163,3887,2505,1382,3762,2443,1319,2640,2045,595,1122,398,724,125,62,63,22,18,4,38,11,27,4479,2911,1568
5,13109,1310900100,品川区,品川区荏原,,品川区荏原,3,1220,会社以外の法人,688,340,348,-,-,-,-,-,-,59,46,13,629,294,335,621,291,330,319,175,144,302,116,186,8,3,5,7,2,5,5,1,4,686,339,347
5,13109,1310900100,品川区,品川区荏原,,品川区荏原,2,1300,法人でない団体,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
