地域階層,地域コード,地域名,経営組織階層,経営組織コード,経営組織名称,産業分類階層,大分類,中分類,小分類,小分類の内訳,産業分類名称,総数（従業者規模）／事業所数（事業所）,総数（従業者規模）／従業者数（人）,総数（従業者規模）／従業者数／男（人）,総数（従業者規模）／従業者数／女（人）,従業者1～4人／事業所数（事業所）,従業者1～4人／従業者数（人）,従業者1～4人／従業者数／男（人）,従業者1～4人／従業者数／女（人）,従業者1人／事業所数（事業所）,従業者1人／従業者数（人）,従業者1人／従業者数／男（人）,従業者1人／従業者数／女（人）,従業者2人／事業所数（事業所）,従業者2人／従業者数（人）,従業者2人／従業者数／男（人）,従業者2人／従業者数／女（人）,従業者3人／事業所数（事業所）,従業者3人／従業者数（人）,従業者3人／従業者数／男（人）,従業者3人／従業者数／女（人）,従業者4人／事業所数（事業所）,従業者4人／従業者数（人）,従業者4人／従業者数／男（人）,従業者4人／従業者数／女（人）,従業者5～9人／事業所数（事業所）,従業者5～9人／従業者数（人）,従業者5～9人／従業者数／男（人）,従業者5～9人／従業者数／女（人）,従業者10～19人／事業所数（事業所）,従業者10～19人／従業者数（人）,従業者10～19人／従業者数／男（人）,従業者10～19人／従業者数／女（人）,従業者20～29人／事業所数（事業所）,従業者20～29人／従業者数（人）,従業者20～29人／従業者数／男（人）,従業者20～29人／従業者数／女（人）,従業者30～49人／事業所数（事業所）,従業者30～49人／従業者数（人）,従業者30～49人／従業者数／男（人）,従業者30～49人／従業者数／女（人）,従業者50～99人／事業所数（事業所）,従業者50～99人／従業者数（人）,従業者50～99人／従業者数／男（人）,従業者50～99人／従業者数／女（人）,従業者100～199人／事業所数（事業所）,従業者100～199人／従業者数（人）,従業者100～199人／従業者数／男（人）,従業者100～199人／従業者数／女（人）,従業者200～299人／事業所数（事業所）,従業者200～299人／従業者数（人）,従業者200～299人／従業者数／男（人）,従業者200～299人／従業者数／女（人）,従業者300～499人／事業所数（事業所）,従業者300～499人／従業者数（人）,従業者300～499人／従業者数／男（人）,従業者300～499人／従業者数／女（人）,従業者500～999人／事業所数（事業所）,従業者500～999人／従業者数（人）,従業者500～999人／従業者数／男（人）,従業者500～999人／従業者数／女（人）,従業者1000人以上／事業所数（事業所）,従業者1000人以上／従業者数（人）,従業者1000人以上／従業者数／男（人）,従業者1000人以上／従業者数／女（人）,出向・派遣従業者のみ／事業所数（事業所）
4,13222,東久留米市,0,0000,総数,0,A-S,00,000,000,全産業,3104,30758,15198,15560,1724,3879,2112,1767,497,497,325,172,578,1156,636,520,370,1110,568,542,279,1116,583,533,645,4189,1998,2191,365,4913,2339,2574,163,3882,1814,2068,119,4357,1926,2431,51,3395,1567,1828,16,2037,922,1115,3,687,426,261,3,1168,490,678,1,732,561,171,1,1519,1043,476,13
4,13222,東久留米市,0,0000,総数,9,A-R,00,000,000,全産業（Ｓ公務を除く）,3092,30153,14783,15370,1717,3862,2097,1765,495,495,323,172,577,1154,634,520,367,1101,560,541,278,1112,580,532,644,4181,1994,2187,365,4913,2339,2574,163,3882,1814,2068,118,4327,1896,2431,50,3339,1539,1800,15,1912,803,1109,3,687,426,261,2,799,271,528,1,732,561,171,1,1519,1043,476,13
4,13222,東久留米市,0,0000,総数,1,A-B,00,000,000,農林漁業,12,79,57,22,3,9,8,1,-,-,-,-,1,2,2,-,1,3,3,-,1,4,3,1,5,31,28,3,3,39,21,18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
4,13222,東久留米市,0,0000,総数,2,A,00,000,000,農業，林業,12,79,57,22,3,9,8,1,-,-,-,-,1,2,2,-,1,3,3,-,1,4,3,1,5,31,28,3,3,39,21,18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
4,13222,東久留米市,0,0000,総数,3,A,01,000,000,農業,12,79,57,22,3,9,8,1,-,-,-,-,1,2,2,-,1,3,3,-,1,4,3,1,5,31,28,3,3,39,21,18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
4,13222,東久留米市,0,0000,総数,4,A,01,010,000,管理，補助的経済活動を行う事業所（01農業）,1,2,2,-,1,2,2,-,-,-,-,-,1,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13222,東久留米市,0,0000,総数,4,A,01,011,000,耕種農業,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13222,東久留米市,0,0000,総数,4,A,01,012,000,畜産農業,3,22,7,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,6,6,-,1,16,1,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
4,13222,東久留米市,0,0000,総数,4,A,01,013,000,農業サービス業（園芸サービス業を除く）,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13222,東久留米市,0,0000,総数,4,A,01,014,000,園芸サービス業,8,55,48,7,2,7,6,1,-,-,-,-,-,-,-,-,1,3,3,-,1,4,3,1,4,25,22,3,2,23,20,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
