地域階層,地域コード,東京都26町丁目コード,区市町村名称,町・大字名,丁目・字,地域名称,経営組織階層,経営組織コード,経営組織名称,従業者数（人）,従業者数／男（人）,従業者数／女（人）,従業者数／個人業主（人）,従業者数／個人業主／男（人）,従業者数／個人業主／女（人）,従業者数／無給の家族従業者（人）,従業者数／無給の家族従業者／男（人）,従業者数／無給の家族従業者／女（人）,従業者数／有給役員（人）,従業者数／有給役員／男（人）,従業者数／有給役員／女（人）,従業者数／雇用者（人）,従業者数／雇用者／男（人）,従業者数／雇用者／女（人）,従業者数／雇用者／常用雇用者（人）,従業者数／雇用者／常用雇用者／男（人）,従業者数／雇用者／常用雇用者／女（人）,従業者数／雇用者／常用雇用者／正社員・正職員（人）,従業者数／雇用者／常用雇用者／正社員・正職員／男（人）,従業者数／雇用者／常用雇用者／正社員・正職員／女（人）,従業者数／雇用者／常用雇用者／正社員・正職員以外（人）,従業者数／雇用者／常用雇用者／正社員・正職員以外／男（人）,従業者数／雇用者／常用雇用者／正社員・正職員以外／女（人）,従業者数／雇用者／臨時雇用者（人）,従業者数／雇用者／臨時雇用者／男（人）,従業者数／雇用者／臨時雇用者／女（人）,従業者数／（再掲）他への出向・派遣従業者（人）,従業者数／（再掲）他への出向・派遣従業者／男（人）,従業者数／（再掲）他への出向・派遣従業者／女（人）,他からの出向・派遣従業者（人）,他からの出向・派遣従業者／男（人）,他からの出向・派遣従業者／女（人）,事業従事者数（人）,事業従事者数／男（人）,事業従事者数／女（人）
4,13211,1321100000,小平市,,,小平市,1,1000,民営,56277,30644,24542,1714,1207,507,425,91,334,3203,2263,940,50935,27083,22761,48669,25997,21581,27446,18528,7881,21223,7469,13700,2266,1086,1180,996,766,230,1245,912,333,56526,30790,24645
4,13211,1321100000,小平市,,,小平市,2,1100,個人,4979,2110,2869,1714,1207,507,425,91,334,-,-,-,2840,812,2028,2617,729,1888,1059,313,746,1558,416,1142,223,83,140,11,2,9,25,6,19,4993,2114,2879
4,13211,1321100000,小平市,,,小平市,3,1210,会社,38395,23460,13844,-,-,-,-,-,-,2937,2094,843,35458,21366,13001,34034,20622,12321,20008,15242,3729,14026,5380,8592,1424,744,680,982,762,220,958,813,145,38371,23511,13769
4,13211,1321100000,小平市,,,小平市,3,1220,会社以外の法人,12799,5014,7785,-,-,-,-,-,-,266,169,97,12533,4845,7688,11916,4588,7328,6301,2931,3370,5615,1657,3958,617,257,360,3,2,1,253,84,169,13049,5096,7953
4,13211,1321100000,小平市,,,小平市,2,1300,法人でない団体,104,60,44,-,-,-,-,-,-,-,-,-,104,60,44,102,58,44,78,42,36,24,16,8,2,2,-,-,-,-,9,9,-,113,69,44
5,13211,1321102200,小平市,小平市大沼町,,小平市大沼町,1,1000,民営,1558,1029,529,43,35,8,8,2,6,153,112,41,1354,880,474,1315,859,456,786,613,173,529,246,283,39,21,18,15,13,2,9,7,2,1552,1023,529
5,13211,1321102200,小平市,小平市大沼町,,小平市大沼町,2,1100,個人,98,43,55,43,35,8,8,2,6,-,-,-,47,6,41,41,5,36,20,2,18,21,3,18,6,1,5,2,1,1,-,-,-,96,42,54
5,13211,1321102200,小平市,小平市大沼町,,小平市大沼町,3,1210,会社,1117,811,306,-,-,-,-,-,-,137,99,38,980,712,268,947,692,255,567,489,78,380,203,177,33,20,13,13,12,1,6,6,-,1110,805,305
5,13211,1321102200,小平市,小平市大沼町,,小平市大沼町,3,1220,会社以外の法人,343,175,168,-,-,-,-,-,-,16,13,3,327,162,165,327,162,165,199,122,77,128,40,88,-,-,-,-,-,-,3,1,2,346,176,170
5,13211,1321102200,小平市,小平市大沼町,,小平市大沼町,2,1300,法人でない団体,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
