地域階層,地域コード,地域名,経営組織階層,経営組織コード,経営組織名称,産業分類階層,大分類,中分類,小分類,小分類の内訳,産業分類名称,総数（従業者規模）／事業所数（事業所）,総数（従業者規模）／従業者数（人）,総数（従業者規模）／従業者数／男（人）,総数（従業者規模）／従業者数／女（人）,従業者1～4人／事業所数（事業所）,従業者1～4人／従業者数（人）,従業者1～4人／従業者数／男（人）,従業者1～4人／従業者数／女（人）,従業者1人／事業所数（事業所）,従業者1人／従業者数（人）,従業者1人／従業者数／男（人）,従業者1人／従業者数／女（人）,従業者2人／事業所数（事業所）,従業者2人／従業者数（人）,従業者2人／従業者数／男（人）,従業者2人／従業者数／女（人）,従業者3人／事業所数（事業所）,従業者3人／従業者数（人）,従業者3人／従業者数／男（人）,従業者3人／従業者数／女（人）,従業者4人／事業所数（事業所）,従業者4人／従業者数（人）,従業者4人／従業者数／男（人）,従業者4人／従業者数／女（人）,従業者5～9人／事業所数（事業所）,従業者5～9人／従業者数（人）,従業者5～9人／従業者数／男（人）,従業者5～9人／従業者数／女（人）,従業者10～19人／事業所数（事業所）,従業者10～19人／従業者数（人）,従業者10～19人／従業者数／男（人）,従業者10～19人／従業者数／女（人）,従業者20～29人／事業所数（事業所）,従業者20～29人／従業者数（人）,従業者20～29人／従業者数／男（人）,従業者20～29人／従業者数／女（人）,従業者30～49人／事業所数（事業所）,従業者30～49人／従業者数（人）,従業者30～49人／従業者数／男（人）,従業者30～49人／従業者数／女（人）,従業者50～99人／事業所数（事業所）,従業者50～99人／従業者数（人）,従業者50～99人／従業者数／男（人）,従業者50～99人／従業者数／女（人）,従業者100～199人／事業所数（事業所）,従業者100～199人／従業者数（人）,従業者100～199人／従業者数／男（人）,従業者100～199人／従業者数／女（人）,従業者200～299人／事業所数（事業所）,従業者200～299人／従業者数（人）,従業者200～299人／従業者数／男（人）,従業者200～299人／従業者数／女（人）,従業者300～499人／事業所数（事業所）,従業者300～499人／従業者数（人）,従業者300～499人／従業者数／男（人）,従業者300～499人／従業者数／女（人）,従業者500～999人／事業所数（事業所）,従業者500～999人／従業者数（人）,従業者500～999人／従業者数／男（人）,従業者500～999人／従業者数／女（人）,従業者1000人以上／事業所数（事業所）,従業者1000人以上／従業者数（人）,従業者1000人以上／従業者数／男（人）,従業者1000人以上／従業者数／女（人）,出向・派遣従業者のみ／事業所数（事業所）
4,13206,府中市,0,0000,総数,0,A-S,00,000,000,全産業,7862,118033,69078,48622,4197,9141,4971,4170,1367,1367,889,478,1341,2682,1428,1254,864,2592,1357,1235,625,2500,1297,1203,1597,10342,5246,5071,980,13231,7183,6048,391,9292,4980,4312,329,12416,6269,6147,192,12824,7267,5557,86,11737,6513,5224,25,6082,3418,2664,24,9670,6745,2617,12,7347,5744,1603,9,15951,10742,5209,20
4,13206,府中市,0,0000,総数,9,A-R,00,000,000,全産業（Ｓ公務を除く）,7830,113843,65889,47621,4192,9133,4965,4168,1364,1364,886,478,1340,2680,1427,1253,863,2589,1355,1234,625,2500,1297,1203,1591,10302,5222,5055,977,13190,7152,6038,390,9263,4951,4312,325,12256,6136,6120,188,12581,7071,5510,82,11185,6137,5048,25,6082,3418,2664,22,8985,6095,2582,10,5981,4503,1478,8,14885,10239,4646,20
4,13206,府中市,0,0000,総数,1,A-B,00,000,000,農林漁業,13,196,99,97,3,12,7,5,-,-,-,-,-,-,-,-,-,-,-,-,3,12,7,5,4,29,23,6,3,35,19,16,-,-,-,-,2,64,15,49,1,56,35,21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13206,府中市,0,0000,総数,2,A,00,000,000,農業，林業,12,192,98,94,2,8,6,2,-,-,-,-,-,-,-,-,-,-,-,-,2,8,6,2,4,29,23,6,3,35,19,16,-,-,-,-,2,64,15,49,1,56,35,21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13206,府中市,0,0000,総数,3,A,01,000,000,農業,12,192,98,94,2,8,6,2,-,-,-,-,-,-,-,-,-,-,-,-,2,8,6,2,4,29,23,6,3,35,19,16,-,-,-,-,2,64,15,49,1,56,35,21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13206,府中市,0,0000,総数,4,A,01,010,000,管理，補助的経済活動を行う事業所（01農業）,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13206,府中市,0,0000,総数,4,A,01,011,000,耕種農業,2,42,5,37,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,10,1,9,-,-,-,-,1,32,4,28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13206,府中市,0,0000,総数,4,A,01,012,000,畜産農業,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13206,府中市,0,0000,総数,4,A,01,013,000,農業サービス業（園芸サービス業を除く）,1,9,7,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,9,7,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13206,府中市,0,0000,総数,4,A,01,014,000,園芸サービス業,9,141,86,55,2,8,6,2,-,-,-,-,-,-,-,-,-,-,-,-,2,8,6,2,3,20,16,4,2,25,18,7,-,-,-,-,1,32,11,21,1,56,35,21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
