地域階層,地域コード,東京都26町丁目コード,区市町村名称,町・大字名,丁目・字,地域名称,経営組織階層,経営組織コード,経営組織名称,従業者数（人）,従業者数／男（人）,従業者数／女（人）,従業者数／個人業主（人）,従業者数／個人業主／男（人）,従業者数／個人業主／女（人）,従業者数／無給の家族従業者（人）,従業者数／無給の家族従業者／男（人）,従業者数／無給の家族従業者／女（人）,従業者数／有給役員（人）,従業者数／有給役員／男（人）,従業者数／有給役員／女（人）,従業者数／雇用者（人）,従業者数／雇用者／男（人）,従業者数／雇用者／女（人）,従業者数／雇用者／常用雇用者（人）,従業者数／雇用者／常用雇用者／男（人）,従業者数／雇用者／常用雇用者／女（人）,従業者数／雇用者／常用雇用者／正社員・正職員（人）,従業者数／雇用者／常用雇用者／正社員・正職員／男（人）,従業者数／雇用者／常用雇用者／正社員・正職員／女（人）,従業者数／雇用者／常用雇用者／正社員・正職員以外（人）,従業者数／雇用者／常用雇用者／正社員・正職員以外／男（人）,従業者数／雇用者／常用雇用者／正社員・正職員以外／女（人）,従業者数／雇用者／臨時雇用者（人）,従業者数／雇用者／臨時雇用者／男（人）,従業者数／雇用者／臨時雇用者／女（人）,従業者数／（再掲）他への出向・派遣従業者（人）,従業者数／（再掲）他への出向・派遣従業者／男（人）,従業者数／（再掲）他への出向・派遣従業者／女（人）,他からの出向・派遣従業者（人）,他からの出向・派遣従業者／男（人）,他からの出向・派遣従業者／女（人）,事業従事者数（人）,事業従事者数／男（人）,事業従事者数／女（人）
4,13303,1330300000,瑞穂町,,,瑞穂町,1,1000,民営,21261,13174,8087,404,333,71,116,35,81,1441,1043,398,19300,11763,7537,18820,11512,7308,11216,8820,2396,7604,2692,4912,480,251,229,231,214,17,646,492,154,21676,13452,8224
4,13303,1330300000,瑞穂町,,,瑞穂町,2,1100,個人,1182,636,546,404,333,71,116,35,81,-,-,-,662,268,394,611,243,368,310,158,152,301,85,216,51,25,26,2,2,-,2,2,-,1182,636,546
4,13303,1330300000,瑞穂町,,,瑞穂町,3,1210,会社,17923,11828,6095,-,-,-,-,-,-,1380,995,385,16543,10833,5710,16136,10614,5522,9501,8153,1348,6635,2461,4174,407,219,188,229,212,17,637,487,150,18331,12103,6228
4,13303,1330300000,瑞穂町,,,瑞穂町,3,1220,会社以外の法人,2139,697,1442,-,-,-,-,-,-,61,48,13,2078,649,1429,2056,642,1414,1390,496,894,666,146,520,22,7,15,-,-,-,6,3,3,2145,700,1445
4,13303,1330300000,瑞穂町,,,瑞穂町,2,1300,法人でない団体,17,13,4,-,-,-,-,-,-,-,-,-,17,13,4,17,13,4,15,13,2,2,-,2,-,-,-,-,-,-,1,-,1,18,13,5
5,13303,1330300200,瑞穂町,瑞穂町大字石畑,,瑞穂町大字石畑,1,1000,民営,500,288,212,35,32,3,19,3,16,83,53,30,363,200,163,347,190,157,224,161,63,123,29,94,16,10,6,1,1,-,1,1,-,500,288,212
5,13303,1330300200,瑞穂町,瑞穂町大字石畑,,瑞穂町大字石畑,2,1100,個人,113,66,47,35,32,3,19,3,16,-,-,-,59,31,28,49,22,27,33,17,16,16,5,11,10,9,1,-,-,-,-,-,-,113,66,47
5,13303,1330300200,瑞穂町,瑞穂町大字石畑,,瑞穂町大字石畑,3,1210,会社,334,204,130,-,-,-,-,-,-,83,53,30,251,151,100,245,150,95,168,131,37,77,19,58,6,1,5,1,1,-,-,-,-,333,203,130
5,13303,1330300200,瑞穂町,瑞穂町大字石畑,,瑞穂町大字石畑,3,1220,会社以外の法人,53,18,35,-,-,-,-,-,-,-,-,-,53,18,35,53,18,35,23,13,10,30,5,25,-,-,-,-,-,-,1,1,-,54,19,35
5,13303,1330300200,瑞穂町,瑞穂町大字石畑,,瑞穂町大字石畑,2,1300,法人でない団体,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,13303,1330300700,瑞穂町,瑞穂町大字駒形富士山,,瑞穂町大字駒形富士山,1,1000,民営,443,261,182,19,17,2,10,3,7,39,30,9,375,211,164,331,190,141,162,128,34,169,62,107,44,21,23,2,2,-,-,-,-,441,259,182
5,13303,1330300700,瑞穂町,瑞穂町大字駒形富士山,,瑞穂町大字駒形富士山,2,1100,個人,84,37,47,19,17,2,10,3,7,-,-,-,55,17,38,36,14,22,20,12,8,16,2,14,19,3,16,1,1,-,-,-,-,83,36,47
5,13303,1330300700,瑞穂町,瑞穂町大字駒形富士山,,瑞穂町大字駒形富士山,3,1210,会社,325,213,112,-,-,-,-,-,-,39,30,9,286,183,103,269,171,98,126,111,15,143,60,83,17,12,5,1,1,-,-,-,-,324,212,112
5,13303,1330300700,瑞穂町,瑞穂町大字駒形富士山,,瑞穂町大字駒形富士山,3,1220,会社以外の法人,34,11,23,-,-,-,-,-,-,-,-,-,34,11,23,26,5,21,16,5,11,10,-,10,8,6,2,-,-,-,-,-,-,34,11,23
