地域階層,地域コード,東京都26町丁目コード,区市町村名称,町・大字名,丁目・字,地域名称,資本金階級階層,資本金階級コード,資本金階級名称,A～R全産業（Ｓ公務を除く）／会社企業数,A～R全産業（Ｓ公務を除く）／企業従業者数（人）,A～B農林漁業／会社企業数,A～B農林漁業／企業従業者数（人）,A農業，林業／会社企業数,A農業，林業／企業従業者数（人）,B漁業／会社企業数,B漁業／企業従業者数（人）,C～R非農林漁業（Ｓ公務を除く）／会社企業数,C～R非農林漁業（Ｓ公務を除く）／企業従業者数（人）,C鉱業，採石業，砂利採取業／会社企業数,C鉱業，採石業，砂利採取業／企業従業者数（人）,D建設業／会社企業数,D建設業／企業従業者数（人）,E製造業／会社企業数,E製造業／企業従業者数（人）,F電気・ガス・熱供給・水道業／会社企業数,F電気・ガス・熱供給・水道業／企業従業者数（人）,G情報通信業／会社企業数,G情報通信業／企業従業者数（人）,H運輸業，郵便業／会社企業数,H運輸業，郵便業／企業従業者数（人）,I卸売業，小売業／会社企業数,I卸売業，小売業／企業従業者数（人）,J金融業，保険業／会社企業数,J金融業，保険業／企業従業者数（人）,K不動産業，物品賃貸業／会社企業数,K不動産業，物品賃貸業／企業従業者数（人）,L学術研究，専門・技術サービス業／会社企業数,L学術研究，専門・技術サービス業／企業従業者数（人）,M宿泊業，飲食サービス業／会社企業数,M宿泊業，飲食サービス業／企業従業者数（人）,N生活関連サービス業，娯楽業／会社企業数,N生活関連サービス業，娯楽業／企業従業者数（人）,O教育，学習支援業／会社企業数,O教育，学習支援業／企業従業者数（人）,P医療，福祉／会社企業数,P医療，福祉／企業従業者数（人）,Q複合サービス事業／会社企業数,Q複合サービス事業／企業従業者数（人）,Rサービス業（他に分類されないもの）／会社企業数,Rサービス業（他に分類されないもの）／企業従業者数（人）
4,13112,1311200000,世田谷区,,,世田谷区,0,00,総数（資本金階級）,11225,200505,51,297,50,291,1,6,11174,200208,-,-,1470,15367,685,15398,2,14,533,12045,153,6190,2929,53309,110,2501,1639,17274,925,5324,870,36219,769,9571,249,4331,320,6923,-,-,520,15742
4,13112,1311200000,世田谷区,,,世田谷区,1,01,資本金300万円未満,715,4112,4,15,4,15,-,-,711,4097,-,-,30,102,11,47,-,-,65,183,5,63,152,1457,10,12,68,223,117,270,69,559,62,311,31,148,50,546,-,-,41,176
4,13112,1311200000,世田谷区,,,世田谷区,1,02,資本金300万～500万円未満,3697,20075,13,65,13,65,-,-,3684,20010,-,-,430,1832,191,854,-,-,149,503,31,269,1024,6285,36,97,529,1489,322,1048,330,2768,307,1737,78,700,106,1410,-,-,151,1018
4,13112,1311200000,世田谷区,,,世田谷区,1,03,資本金500万～1000万円未満,1017,6829,9,44,9,44,-,-,1008,6785,-,-,148,681,54,338,-,-,49,231,19,316,250,1665,11,41,134,498,69,262,109,976,68,428,15,179,38,724,-,-,44,446
4,13112,1311200000,世田谷区,,,世田谷区,1,04,資本金1000万～3000万円未満,3890,50569,14,115,14,115,-,-,3876,50454,-,-,648,5198,302,3883,-,-,174,2082,67,2864,1047,11830,35,177,674,3738,312,1929,126,5405,177,3928,68,2467,52,1606,-,-,194,5347
4,13112,1311200000,世田谷区,,,世田谷区,1,05,資本金3000万～5000万円未満,349,14312,2,17,2,17,-,-,347,14295,-,-,86,2179,38,1893,-,-,16,2647,6,471,91,2906,1,1,59,514,10,165,9,2572,8,129,4,16,3,158,-,-,16,644
4,13112,1311200000,世田谷区,,,世田谷区,1,06,資本金5000万～1億円未満,259,25572,3,14,3,14,-,-,256,25558,-,-,46,1991,35,2905,-,-,13,671,9,1558,57,11234,4,2066,52,1217,10,156,7,1522,7,910,2,21,1,7,-,-,13,1300
4,13112,1311200000,世田谷区,,,世田谷区,1,07,資本金1億～3億円未満,77,27295,-,-,-,-,-,-,77,27295,-,-,9,1029,5,991,1,-,9,606,-,-,15,4410,1,62,14,102,4,188,6,18398,5,321,1,179,5,558,-,-,2,451
4,13112,1311200000,世田谷区,,,世田谷区,1,08,資本金3億～10億円未満,35,17238,-,-,-,-,-,-,35,17238,-,-,4,1628,3,305,-,-,7,3575,-,-,13,6327,-,-,3,75,-,-,-,-,1,15,-,-,1,372,-,-,3,4941
4,13112,1311200000,世田谷区,,,世田谷区,1,09,資本金10億～50億円未満,17,15381,-,-,-,-,-,-,17,15381,-,-,1,229,3,973,-,-,2,854,-,-,5,3257,-,-,4,8971,1,941,-,-,-,-,-,-,1,156,-,-,-,-
