会場名,見直し前（億円）,見直し後（億円）,削減額（億円）,削減額合計（億円）
有明アリーナ,404,339,65,約４００
海の森水上競技場,491,298,193,※
アクアティクスセンター,683,５１４～５２９,１５４～１６９,※
