競技,種目
野球／ソフトボール,野球（男子）
野球／ソフトボール,ソフトボール（女子）
空手,形（男女）
空手,組手３階級（男女）
スケートボード,ストリート（男女）
スケートボード,パーク（男女）
スポーツクライミング,ボルダリング・リード・スピード複合（男女）
サーフィン,ショートボード（男女）
