Ｎｏ．,オリンピック競技会場名称（仮称）,オリンピック競技（オリンピック）,パラリンピック競技会場名称（仮称）,パラリンピック競技（パラリンピック）
1,新国立競技場（オリンピックスタジアム）,開会式／閉会式、陸上競技、サッカー,新国立競技場（オリンピックスタジアム）,開会式／閉会式、パラ陸上競技
2,東京体育館,卓球,東京体育館,卓球
3,国立代々木競技場,ハンドボール,国立代々木競技場,バドミントン、ウィルチェアーラグビー
4,日本武道館,柔道、空手,日本武道館,柔道
5,皇居外苑,自転車競技（ロード・レース　スタート／ゴール）,東京国際フォーラム,パラパワーリフティング
6,東京国際フォーラム,ウェイトリフティング,有明アリーナ,車椅子バスケットボール（決勝）
7,国技館,ボクシング,有明体操競技場,ボッチャ
8,有明アリーナ,バレーボール（インドア）,有明テニスの森,車いすテニス
9,有明体操競技場,体操,お台場海浜公園,トライアスロン
10,有明ＢＭＸコース,自転車競技（ＢＭＸ）,青海アーバンスポーツ会場,５人制サッカー
11,有明テニスの森,テニス,海の森水上競技場,カヌー、ボート
12,お台場海浜公園,水泳（マラソン１０ｋｍ）、トライアスロン,アーチェリー会場（夢の島公園）,アーチェリー
13,潮風公園,バレーボール（ビーチバレーボール）,オリンピックアクアティクスセンター,パラ水泳
14,青海アーバンスポーツ会場,スケートボード、スポーツクライミング,馬事公苑,馬術
15,大井ホッケー競技場,ホッケー,武蔵野の森総合スポーツプラザ,車椅子バスケットボール
16,海の森クロスカントリーコース,馬術（総合馬術・クロスカントリー）,陸上自衛隊朝霞訓練場,パラ射撃
17,海の森水上競技場,カヌー（スプリント）、ボート,幕張メッセＡホール,シッティングバレーボール
18,カヌー・スラローム会場,カヌー（スラローム）,幕張メッセＢホール,車いすフェンシング、テコンドー
19,アーチェリー会場（夢の島公園）,アーチェリー,幕張メッセＣホール,ゴールボール
20,オリンピックアクアティクスセンター,水泳（競泳、飛込、シンクロナイズドスイミング）,伊豆ベロドローム,自転車競技（トラック・レース）
21,東京辰巳国際水泳場,水泳（水球）,,
22,馬事公苑,馬術（馬場馬術、総合馬術、障害馬術）,,
23,武蔵野の森総合スポーツプラザ,バドミントン、近代五輪（フェンシング）,,
24,東京スタジアム,サッカー、ラグビー、近代五種（水泳、馬術、ランニング、射撃）,,
25,さいたまスーパーアリーナ,バスケットボール,,
26,陸上自衛隊朝霞訓練場,射撃,,
27,霞ヶ関カンツリー倶楽部,ゴルフ,,
28,幕張メッセＡホール,レスリング、テコンドー,,
29,幕張メッセＢホール,フェンシング,,
30,釣ヶ崎海岸サーフィン会場,サーフィン,,
31,横浜スタジアム,野球、ソフトボール,,
32,江の島ヨットハーバー,セーリング,,
33,伊豆ベロドローム,自転車競技（トラック・レース）,,
34,伊豆マウンテンバイクコース,自転車競技（マウンテンバイク）,,
35,福島あづま球場,野球、ソフトボール,,
36,札幌ドーム,サッカー,,
37,宮城スタジアム,サッカー,,
38,埼玉スタジアム２００２,サッカー,,
39,横浜国際総合競技場,サッカー,,
