競技,会場
アーチェリー,アーチェリー会場（夢の島公園）
陸上競技,新国立競技場（オリンピックスタジアム）
バドミントン,国立代々木競技場
ボッチャ,東京ビッグサイト・ホールＢ→有明体操競技場
カヌー,海の森水上競技場
馬術,夢の島競技場→馬事公苑
ゴールボール,有明体操競技場→幕張メッセＣホール
柔道,日本武道館
ボート,海の森水上競技場
射撃,陸上自衛隊朝霞訓練場
水泳,オリンピックアクアティクスセンター
卓球,東京体育館
テコンドー,幕張メッセ
トライアスロン,お台場海浜公園
シッティングバレーボール,有明アリーナ→幕張メッセ
車椅子バスケットボール（決勝）,夢の島ユース・プラザ・アリーナＢ→有明アリーナ
車椅子バスケットボール,夢の島ユース・プラザ・アリーナＡ→武蔵野の森総合スポーツ施設
車いすフェンシング,夢の島ユース・プラザ・アリーナＡ→幕張メッセＢホール
ウィルチェアーラグビー,国立代々木競技場
車いすテニス,有明テニスの森
