ステークスホルダーグループ,定義,概数オリンピック（人）,概数パラリンピック（人）
選手及びＮＯＣ／ＮＰＣ,選手、チーム役員、各国の国内オリンピック委員会／パラリンピック委員会（ＮＯＣ／ＮＰＣ）,18200,8000
国際競技連盟（ＩＦ）,ＩＦ技術代表及び技術役員、審判、ＩＦスタッフ,2900,1200
メディア（ブロードキャスト・プレス）,ブロードキャスト／オリンピック放送機構（ＯＢＳ）や放送権者（ライツホルダー）,25800,9500
メディア（ブロードキャスト・プレス）,プレス／記者やフォトグラファー、放送権を保有しない放送事業者,25800,9500
オリンピックファミリー（ＯＦ）／パラリンピックファミリー（ＰＦ）,ＩＯＣ／ＩＰＣ委員、ＮＯＣ／ＮＰＣ・ＩＦ会長や専務理事、組織委員会の会長など,調整中,調整中
マーケティングパートナー（ＭＰ）,大会のスポンサー（ＴＯＰパートナー（ワールドワイド）、ローカルパートナー（国内））,17100,調整中
大会スタッフ,大会に従事するスタッフ・ボランティア・委託業者等,168000,98000
観客,競技観戦チケット保有者,７８０００００（のべ人数）,２３０００００（のべ人数）
