"年度[西暦]","芝65歳以上男[人]","芝65歳以上女[人]","芝65歳以上計[人]","麻布65歳以上男[人]","麻布65歳以上女[人]","麻布65歳以上計[人]","赤坂65歳以上男[人]","赤坂65歳以上女[人]","赤坂65歳以上計[人]","高輪65歳以上男[人]","高輪65歳以上女[人]","高輪65歳以上計[人]","芝浦港南65歳以上男[人]","芝浦港南65歳以上女[人]","芝浦港南65歳以上計[人]","合計65歳以上男[人]","合計65歳以上女[人]","合計65歳以上計[人]"
"2018","352","960","1312","314","1022","1336","315","1051","1366","473","1521","1994","461","1069","1530","1915","5623","7538"
"2019","327","923","1250","317","987","1304","304","1008","1312","434","1467","1901","450","1080","1530","1832","5465","7297"
"2020","414","1063","1477","403","1191","1594","351","1155","1506","542","1767","2309","500","1197","1697","2210","6373","8583"
"2021","412","1051","1463","387","1162","1549","344","1110","1454","529","1744","2273","485","1179","1664","2157","6246","8403"
"2022","378","983","1361","365","1146","1511","327","1065","1392","531","1678","2209","486","1138","1624","2087","6010","8097"

"令和5年度港区行政資料集　ひとり暮らし高齢者数（実態調査）","Ver202301",,,,,,,,,,,,,,,,,
