"選挙名称","届出番号","党派名","6:08 確定[人]","22:30[人]"
"平成28年7月10日執行　参議院比例代表選出議員選挙","1","社会民主党","2,338","1,000"
"平成28年7月10日執行　参議院比例代表選出議員選挙","2","国民怒りの声","1,787.755","500"
"平成28年7月10日執行　参議院比例代表選出議員選挙","3","おおさか維新の会","8,654.422","5,000"
"平成28年7月10日執行　参議院比例代表選出議員選挙","4","公明党","6,982.924","2,500"
"平成28年7月10日執行　参議院比例代表選出議員選挙","5","日本共産党","11,310.500","9,000"
"平成28年7月10日執行　参議院比例代表選出議員選挙","6","幸福実現党","515","0"
"平成28年7月10日執行　参議院比例代表選出議員選挙","7","自由民主党","40,424.543","25,000"
"平成28年7月10日執行　参議院比例代表選出議員選挙","8","新党改革","1,448.617","0"
"平成28年7月10日執行　参議院比例代表選出議員選挙","9","日本のこころを大切にする党","2,095","500"
"平成28年7月10日執行　参議院比例代表選出議員選挙","10","生活の党と山本太郎となかまたち","4,016","500"
"平成28年7月10日執行　参議院比例代表選出議員選挙","11","民進党","18,859.233","14,000"
"平成28年7月10日執行　参議院比例代表選出議員選挙","12","支持政党なし","1,605","1,000"

"平成28年7月10日執行　参議院比例代表選出議員選挙党派別開票推移","Ver201607",,,
