調査数,現状の情報,今後の状況,自分が何をしなければならないのか,政府が運営する感染症情報サイトのURL,政府が運営する感染症情報アプリ・QRコード,特にない
1127,957,774,689,381,211,29
100.0,84.9,68.7,61.1,33.8,18.7,2.6
