調査数,日本語教室、学習支援,交流会やお祭り等のイベント,多言語による相談窓口の開設,災害に関するセミナーや支援活動,通訳訓練、通訳手配,その他のセミナーや支援活動,医療(感染症対策等)に関するセミナーや支援活動,防犯に関するセミナーや支援活動,その他
1127,739,326,301,188,159,114,95,86,188
100.0,65.6,28.9,26.7,16.7,14.1,10.1,8.4,7.6,16.7
