調査数,日本語教室、学習支援,多言語による相談窓口の開設,災害に関するセミナーや支援活動,交流会やお祭り等のイベント,通訳訓練、通訳手配,医療(感染症対策等)に関するセミナーや支援活動,防犯に関するセミナーや支援活動,その他,災害時の通訳・伝達方法,参加したい活動はない
1127,779,477,416,411,349,345,267,26,361,99
100.0,69.1,42.3,36.9,36.5,31.0,30.6,23.7,2.3,32.0,8.8
