調査数,現状の情報,今後の状況,自分が何をしなければならないのか,家族や知人の安否情報,国内交通機関の運行情報,政府が運営する災害情報サイトのURL,帰国の手続き、方法,国際航空便の運航情報,政府が運営する災害情報アプリ・QRコード,特にない
1127,1030,824,709,573,496,394,317,296,275,11
100.0,91.4,73.1,62.9,50.8,44.0,35.0,28.1,24.4,24.4,1.0
