"年度","一般利用者数 各種事業参加者[人]","開館日数[日]"
"2016","58530","344"
"2017","61617","344"
"2018","54459","347"
"2019","69250","340"
"2020","52314","288"

"令和3年度港区行政資料集　施設利用状況一覧 エコプラザ","Ver202103",
