"年度","ルネサンス麻布 定員[人]","ルネサンス麻布 入所者数[人]","新橋ばらの園 定員[人]","新橋ばらの園 入所者数[人]","洛和ヴィラサラサ 定員[人]","洛和ヴィラサラサ 入所者数[人]"
"2018","100","95","100","87","50","50"

"平成30年度港区行政資料集　民間介護老人保健施設利用状況","Ver201804",,,,,
