"年度[西暦]","歩道[メートル]","準歩道[メートル]"
"2018","154495","7834"
"2019","154815","8148"
"2020","155028","8139"
"2021","154705","8143"
"2022","155364","8184"

"令和4年度港区行政資料集　歩道の設置延長","Ver202204",
