"","8年度(ppb)","9年度(ppb)","10年度(ppb)","11年度(ppb)","回帰係数(ppb)","p値"
"短期型／NO／青梅市","16.2","12.5","10.2","12.3","-1.40","0.274"
"短期型／NO／東大和市","25.2","21.3","17.8","20.3","-1.81","0.241"
"短期型／NO／八王子市","28.7","25.0","19.2","20.6","-3.01","0.102"
"短期型／NO／中野区","26.7","22.0","18.4","20.2","-2.31","0.161"
"短期型／NO／豊島区","25.5","20.9","18.0","18.0","-2.54","0.074"
"短期型／NO／品川区","26.1","22.1","18.8","17.3","-2.98","0.018"
"短期型／NO／足立区","28.1","24.3","19.3","21.7","-2.43","0.172"
"短期型／NO／八丈島","","7.0","6.7","6.2","",""
"短期型／NO2／青梅市","20.7","19.9","17.9","17.4","-1.17","0.027"
"短期型／NO2／東大和市","25.3","24.3","23.6","21.9","-1.08","0.017"
"短期型／NO2／八王子市","25.3","24.0","23.6","22.0","-1.02","0.021"
"短期型／NO2／中野区","29.5","28.0","27.6","24.6","-1.52","0.050"
"短期型／NO2／豊島区","31.3","29.7","31.1","25.2","-1.69","0.234"
"短期型／NO2／品川区","31.3","27.9","31.0","25.8","-1.34","0.342"
"短期型／NO2／足立区","31.0","30.4","29.3","26.7","-1.41","0.053"
"短期型／NO2／八丈島","","6.0","4.1","3.7","",""
"長期型／NO／青梅市","10.0","8.8","9.9","6.5","-0.95","0.260"
"長期型／NO／東大和市","19.9","22.3","24.3","16.2","-0.91","0.664"
"長期型／NO／八王子市","24.4","22.9","21.7","18.5","-1.90","0.027"
"長期型／NO／中野区","21.5","18.3","21.8","15.3","-1.51","0.358"
"長期型／NO／豊島区","19.1","19.0","21.0","12.5","-1.76","0.383"
"長期型／NO／品川区","21.0","19.3","22.0","13.5","-1.98","0.326"
"長期型／NO／足立区","22.6","21.4","23.8","17.5","-1.32","0.378"
"長期型／NO／八丈島","","5.2","9.2","7.8","",""
"長期型／NO2／青梅市","23.1","23.0","23.3","22.3","-0.21","0.400"
"長期型／NO2／東大和市","29.8","30.0","29.5","27.9","-0.62","0.158"
"長期型／NO2／八王子市","28.6","28.8","29.0","26.7","-0.56","0.322"
"長期型／NO2／中野区","32.8","33.8","33.2","31.5","-0.47","0.381"
"長期型／NO2／豊島区","35.5","35.3","35.4","32.6","-0.86","0.204"
"長期型／NO2／品川区","35.0","34.8","33.9","32.3","-0.89","0.054"
"長期型／NO2／足立区","33.5","34.5","34.9","34.4","0.29","0.673"
"長期型／NO2／八丈島","","8.4","6.9","6.3","",""
