"","小学5年生(％)","中学2年生(％)","16-17歳(％)"
"行政機関の広報誌","53.9","52.3","47.1"
"行政機関のホームページ","20.7","18.1","18.0"
"SNS","7.6","6.5","7.4"
"学校からのお便り","86.0","83.0","80.9"
"学校からのメール","37.0","37.7","38.4"
"家族や友人からの情報","51.6","45.6","41.9"
"その他","1.7","1.7","1.8"
"無回答","4.9","5.9","6.8"
