"","平成２７年度","平成２７年度（実施率）(%)","平成２６年度","平成２６年度（実施率）(%)","平成２５年度","平成２５年度（実施率）(%)","平成２４年度","平成２４年度（実施率）(%)"
"区部(２３)","22","95.7","22","95.7","22","95.7","22","95.7"
"市部(２６)","26","100.0","26","100.0","25","96.2","26","100.0"
"町村部(１３)","8","61.5","8","61.5","8","61.5","9","69.2"
"計(６２)","56","90.3","56","90.3","55","88.7","57","91.9"
