"","20年度","21年度","22年度","24年度","25年度"
"小学校男子体力合計点平均","52.97","53.32","53.54","54.1","54.12"
"小学校女子体力合計点平均","53.29","53.52","54.07","54.52","54.74"
"小学校男子都道府県順位","40","38","34","29","18"
"小学校女子都道府県順位","37","35","32","28","25"
