"月","1","2","3","4","5","6","7","8","9","10","11","12"
"検案数(人)","1496","1307","1239","1082","1009","888","950","989","842","973","1060","1466"
"検案のうち65歳以上の数(人)","1095","958","872","713","629","564","608","629","518","643","724","1064"
"検案のうち65歳以上の割合(%)","73.2","73.3","70.4","65.9","62.3","63.5","64.0","63.6","61.5","66.1","68.3","72.6"
"解剖数(人)","257","233","197","185","171","132","156","173","122","144","183","272"
